ЦУР,2016,2017,2018,2019,2020,2021,2022,Model,2023_forecast,2024_forecast,mape
10.5.1 (руб),26655.0,27741.0,29097.0,30866.0,31519.0,35050.0,40008.0,arch,31562.28569138561,31562.28569138561,0.10587400054000098
"10.7.1 (""Численность лиц, получивших временное убежище"")",4468.0,2490.0,1332.0,663.0,474.0,4742.0,4742.0,arima,2749.9278448279483,2749.9278448279483,1.4373692926005064
11.1.1,0.23,0.23,0.23,0.23,0.28,0.28,0.24,arch,0.24473130654512504,0.24473130654512504,0.07540423597173414
11.2.1(тыс. чел.),319955.3,349919.7,284717.3,298326.8,224416.2,261569.7,232982.6,arima,281698.22857142857,281698.22857142857,0.13173913516770264
11.2.1 (%),6.7,6.7,16.8,22.2,27.4,36.8,40.2,arch,20.027577011979908,20.027577011979908,0.7849994616176106
11.3.1,0.95,1.02,1.01,1.12,1.02,1.02,1.02,exp,1.0228571354118279,1.0228571354118279,0.026765815956131558
11.5.1 пострадавшие,135.0,648.0,50.0,61.0,281.0,235.0,235.0,exp,234.10556616214734,234.10556616214734,1.1524485922173309
11.5.1 погибшие,77.0,12.0,21.0,20.0,15.0,30.0,30.0,arch,21.25716870291367,21.25716870291367,0.36720973758382824
11.5.2,61340.0,3819811.8,1935543.9,51276.0,451548.0,16227.0,4027.89,exp,421914.7927626544,421914.7927626544,20.61793047354109
11.5.3,61340.0,3819811.8,1935543.9,51276.0,451548.0,16227.0,4027.89,exp,421914.7927626544,421914.7927626544,20.61793047354109
11.7.1 (%),20.4,20.8,20.8,20.8,20.9,21.2,23.7,arch,21.129631854220595,21.129631854220595,0.02943858537447918
11.7.1 (шт),189.0,189.0,189.0,189.0,356.0,495.0,633.0,arch,223.56673418814455,223.56673418814455,0.32839124107789935
11.а.1,61.2,63.0,64.3,67.5,66.97,68.74,73.74,arch,66.50194731742734,66.50194731742734,0.046993439596635246
11.с.1,9.0,9.0,9.0,13.0,17.0,35.0,43.0,arch,8.935964635725616,8.935964635725616,0.33502740591815
Т 11.2.2 (Доля городов с благоприятной средой от общего количества городов),9.0,9.0,9.0,13.0,17.0,35.0,35.0,arch,16.5827644494697,16.5827644494697,0.5543060204108017
"Т 11.2.3 (Количество граждан, расселенных из непригодного для проживания жилищного фонда)",1.746,1.784,0.967,1.44,2.9,5.673,5.673,arch,2.722912398564362,2.722912398564362,0.699095249970824
Т 11.2.4 (Доля эксплуатационных автобусов),6.7,6.7,16.8,22.2,27.4,36.8,36.8,arch,21.600995753073807,21.600995753073807,0.8283556420056443
Т 11.2.5 (Соотношение темпа ввода в действие жилых домов к темпу роста населения),0.95,1.02,1.01,1.12,1.02,1.02,1.02,exp,1.0228571354118279,1.0228571354118279,0.026765815956131558
Т 11.2.6 (Ассигновано средств на проведение работ по сохранению объектов культурного наследия),282103.1,238103.3,454566.8,1655487.2,1782577.8,1921180.3,1921180.3,arch,1179314.1142871424,1179314.1142871424,1.4465878788387199
Т 11.2.7 (Фактически освоено средств),282103.1,238103.3,454566.8,1655487.2,1782577.8,1921180.3,1921180.3,arch,1179314.1142871424,1179314.1142871424,1.4465878788387199
Т 11.2.8 (Доля уловленных и обезвреженных загрязняющих атмосферу веществ),2.28,2.28,2.28,84.31,80.67,82.96,82.96,arch,65.86028090494742,65.86028090494742,12.067560047783049
Т 11.5 (Доля площади зеленых насаждений в пределах городской черты ),20.4,20.8,20.8,20.8,20.9,21.2,23.7,arch,21.129631854220595,21.129631854220595,0.02943858537447918
Т 11.6 (Доля протяженности освещенных частей городских улиц),56.4,56.2,56.1,57.2,56.9,56.9,59.5,arch,56.92880820250985,56.92880820250985,0.012297846807408985
12.1.1 (%),122.0178,122.0178,122.0178,122.0178,100.96,166.05,113.01,arch,122.1307777460305,122.1307777460305,0.07980000321464716
12.2.2 (млн кВт/час),3838.4,3900.3,4008.7,3969.2,4166.4,4430.0,4317.2,arch,4090.028446013489,4090.028446013489,0.04466044341120244
12.3.1 (млн. куб. м),703.0,764.0,758.0,693.0,659.0,561.0,561.0,arch,673.7936619682974,673.7936619682974,0.10328377650075085
Т 12.2.1 (кол-во музеев),1.0,1.0,1.0,1.0,1.0,1.0,1.0,arch,1.0,1.0,0.0
Т 12.2.1 (визит-центров),1.0,1.0,1.0,1.0,1.0,1.0,1.0,arch,1.0,1.0,0.0
