ЦУР,Субъект РФ,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Т 9.2.1 (Перевезено грузов транспортом общего пользования1 – всего, млн тонн)",РФ,7 954,8 073,8 265,8 426,7 960,8 171,,,
"Т 9.2.1 (Перевезено грузов транспортом общего пользования1 – всего, млн тонн)",РО,"87,7",90,"91,9",85,"87,1","84,8",,,
Т 9.2.1 (железнодорожным),РФ,1 325,1 384,1 411,1 399,1 359,1 404,,,
Т 9.2.1 (железнодорожным),ЮФО,"86,8","98,6","99,3","94,4","86,4","92,8",,,
Т 9.2.1 (железнодорожным),РО,"18,3","25,3","30,1","27,6","24,1","25,3",,,
Т 9.2.1 (автомобильным),РФ,5 397,5 404,5 544,5 735,5 405,5 491,,,
Т 9.2.1 (автомобильным),ЮФО,"170,9","158,4","145,2","146,5",146,"152,5",,,
Т 9.2.1 (автомобильным),РО,"60,4","54,6","49,2","46,6","50,8","48,9",,,
"Т 9.2.2 (Перевезено пассажиров транспортом общего пользования1 – всего, млн чел.)",РФ,18 645,18 439,18 114,17 826,12 494,13 718,,,
"Т 9.2.2 (Перевезено пассажиров транспортом общего пользования1 – всего, млн чел.)",РО,"382,1","400,8","332,6","338,4","253,7","294,5",,,
Т 9.2.2 (железнодорожным),РФ,1 040,1 121,1 160,1 201,876,1 059,,,
Т 9.2.2 (железнодорожным),ЮФО,"41,4","37,1","38,1","39,6","28,7","40,9",,,
Т 9.2.2 (железнодорожным),РО,"13,3","10,2","10,1","10,2","7,7","9,9",,,
Т 9.2.2 (автомобильным),РФ,11 296,11 185,10 912,10 637,7 695,8 054,,,
Т 9.2.2 (автомобильным),ЮФО,"1 099,4","1 167,6","1 104,3","1 118,1","794,9","778,5",,,
Т 9.2.2 (автомобильным),РО,320,"349,9","284,7","298,3","224,4","261,6",,,
"Т 9.2.3 (Число абонентских станций (абонентских устройств), подключенных к сетям подвижной радиотелефонной (сотовой) связи)",РФ,"1 977,9","2 002,6","1 969,4","2 109,8","2 081,2","2 209,1",,,
"Т 9.2.3 (Число абонентских станций (абонентских устройств), подключенных к сетям подвижной радиотелефонной (сотовой) связи)",РО,"1 748,4","1 787,2","1 746,5","1 876,8","1 857,0","1 965,0",,,
"Т 9.2.3 (Число абонентских станций (абонентских устройств), подключенных к сетям подвижной радиотелефонной (сотовой) связи)",ЮФО,"1 897,7","1 892,6","1 852,5","1 944,3","1 907,2","1 997,7",,,
"Т 9.3.1 (Грузооборот по видам транспорта, млрд тонно-км)",РФ,5 198,5 488,5 635,5 678,5 401,5 701,,,
"Т 9.3.1 (Грузооборот по видам транспорта, млрд тонно-км)",РО,"55,8","55,9","59,5","60,5","62,4","64,5",,,
Т 9.3.2,РФ,"248,3","254,5","259,1","275,4","271,8","285,3",,,
Т 9.3.2,ЮФО,"16,6","16,8","18,3","18,9",19,"21,7",,,
Т 9.3.2,РО,"5,7","5,5",6,"6,4","6,5","6,9",,,
Т 9.3.3,РФ,"519,4","560,2","593,6","635,2","357,1","492,9",,,
Т 9.3.3,РО,"9,4","8,9","9,9",11,"6,8","10,9",,,
Т 9.3.4,РФ,"124,3","123,4","122,5","122,5","88,4","101,3",,,
Т 9.3.4,ЮФО,"19,9","20,2","19,8","20,2","13,7","11,9",,,
Т 9.3.4,РО,"3,6","3,5","3,1","3,3","2,3","3,3",,,
Т 9.3.5,РФ,50,51,51,51,51,51,,,
Т 9.3.5,ЮФО,160,162,163,165,165,165,,,
Т 9.3.5,РО,182,189,188,188,188,188,,,
Т 9.3.6,РФ,62,62,63,64,64,65,,,
Т 9.3.6,ЮФО,229,232,235,237,238,240,,,
Т 9.3.6,РО,262,263,264,265,267,269,,,
"Т 9.3.7 (Общая протяженность автомобильных дорог местного значения, км)",РФ,"933 973,8","943 749,5","966 807,0","976 734,3","987 778,9","999 089,5",,,
"Т 9.3.7 (Общая протяженность автомобильных дорог местного значения, км)",ЮФО,"93 122,7","94 141,3","98 235,7","100 334,4","104 649,6","107 606,3",,,
"Т 9.3.7 (Общая протяженность автомобильных дорог местного значения, км)",РО,"26 945,9","26 981,6","27 125,0","27 113,6","27 216,9","27 297,0",,,
Т 9.3.8,РФ,"14,4","14,2","14,1","14,3","14,2","14,2",,,
Т 9.3.8,ЮФО,,"11,6","11,6","11,5",,,,,
Т 9.3.8,РО,"13,1","13,3","13,5","13,7","13,2","13,4",,,
Т 9.3.9,РФ,"2 921,5","2 795,6","2 764,5","2 730,3","2 718,7","2 674,0",,,
Т 9.3.9,РО,"1 783,4","1 642,5","1 699,8","1 592,5","2 011,6","1 453,4",,,
Т 9.3.10,РФ,1 342,1 212,1 384,1 403,1 788,1 926,,,
Т 9.3.10,ЮФО,70,71,102,133,133,116,,,
Т 9.3.10,РО,24,15,17,15,13,30,,,
Т 9.3.11,РФ,"8,5","7,2","6,5","5,3","5,7",5,,,
Т 9.3.11,ЮФО,"8,4",9,"5,6","2,7","3,3","3,6",,,
Т 9.3.11,РО,"14,5","10,6","5,8","4,9","8,5","8,9",,,
Т 9.3.12,РФ,"1,83","1,55","1,7","1,59","1,62","1,34",,,
Т 9.3.12,ЮФО,"1,36","0,94","0,98","0,91","0,8","0,84",,,
Т 9.3.12,РО,"1,68","1,12","1,45","1,28","0,98","0,87",,,
Т 9.3.13,РФ,"43,3","43,9","43,9","44,2","44,3","43,9",,,
Т 9.3.13,ЮФО,"43,3","43,9","42,6","43,3","43,9","44,7",,,
Т 9.3.13,РО,48,"48,9","48,1","47,3",47,"47,8",,,
Т 9.3.14,РФ,"943 815,2","1 019 152,4","1 028 247,6","1 134 786,7","1 174 534,3","1 301 490,9",,,
Т 9.3.14,ЮФО,"25 797,0","25 231,9","25 983,2","29 163,0","29 806,4","33 898,1",,,
Т 9.3.14,РО,"13 663,8","13 102,3","12 944,3","15 960,6","14 614,3","14 299,9",,,
Т 9.3.15,РФ,127 089,131 440,132 863,136 893,117 815,122 981,,,
Т 9.3.15,ЮФО,8 088,9 847,9 629,10 739,8 038,8 270,,,
Т 9.3.15,РО,1 984,1 995,2 089,2 349,2 480,2 522,,,
Т 9.3.16,РФ,"70,7","72,6","73,2","73,6",77,"82,6",,,
Т 9.3.16,ЮФО,"74,9","74,5","73,3","72,7","76,6","85,3",,,
Т 9.3.16,РО,"79,6","77,9","78,1","72,7","78,1","82,2",,,
Т 9.3.17,РФ,"81,8","83,2","86,5","86,6","58,1","75,6",,,
Т 9.3.17,ЮФО,"78,4","80,8",86,"86,6","54,6","74,1",,,
Т 9.3.17,РО,"77,9","78,2","88,5","89,4","55,6","73,2",,,
Т 9.3.18,РФ,,,"30,3","44,3","64,3",100,,,
Т 9.3.18,РО,,,,,58,100,,,
Т 9.3.19,РФ,211 794,227 458,242 111,230 772,…,247 804,,,
Т 9.3.19,ЮФО,22 058,23 921,24 681,23 571,…,24 786,,,
Т 9.3.19,РО,5 362,5 160,5 329,5 278,5 890,5 864,,,
"Т 9.3.20 (Затраты на внедрение и использование цифровых технологий, тысяч рублей)",РФ,"1 249 224 758,0","1 487 638 589,1","1 676 161 289,2","2 316 831 416,5","2 472 598 471,7","3 515 787 381,2",,,
"Т 9.3.20 (Затраты на внедрение и использование цифровых технологий, тысяч рублей)",ЮФО,"42 381 444,0","57 414 574,9","56 322 177,0","46 606 970,8","91 213 363,3","80 865 120,7",,,
"Т 9.3.20 (Затраты на внедрение и использование цифровых технологий, тысяч рублей)",РО,"8 418 616,7","10 920 694,7","12 456 886,2","13 167 582,3","15 011 899,2","19 241 377,8",,,
Т 9.4.1,РФ,"41,5","43,1","42,4","44,2","45,8","48,2","50,1",,
Т 9.4.1,ЮФО,"44,2","44,3","44,8","46,2","47,2","51,6",,,
Т 9.4.1,РО,"51,2","51,7","52,2","52,7","53,2","53,7","56,1",,
Т 9.4.2,РФ,"53,5","53,2","52,8",52,"52,8",53,,,
Т 9.4.2,ЮФО,"70,6","69,9","67,5","63,7","63,2","56,4",,,
Т 9.4.2,РО,"55,3","55,8","54,2","54,5","54,8","56,1","57,5",,
Т 9.5.1 (Доля валовой добавленной стоимости отрасли «Обрабатывающее производство» ),РФ,13,"13,7","14,4","14,5","14,9","14,3","14,2",,
