ЦУР,Субъект РФ,2016,2017,2018,2019,2020,2021,2022,2023,2024
Т 9.5.2 (Доля валовой добавленной стоимости отрасли «Обрабатывающее производство» в ВРП),ЮФО,"13,6","13,9","14,3","13,4","13,1","12,1",,,
Т 9.5.2 (Доля валовой добавленной стоимости отрасли «Обрабатывающее производство» в ВРП),РО,"18,5","19,2","19,4","17,7","17,1","17,1",,,
Т 9.6 (ВДС обрабатывающих производств в пересчете на душу населения),РФ,"68,3",77,"90,7","96,9","98,5","128,2",,,
Т 9.6 (ВДС обрабатывающих производств в пересчете на душу населения),ЮФО,"44,8","46,3",47,"47,1","47,4","46,3",,,
Т 9.6 (ВДС обрабатывающих производств в пересчете на душу населения),РО,"60,2","64,1",69,"66,7","66,1","69,2",,,
Т 9.7 (Доля малого бизнеса в объеме продукции обрабатывающих производств),,"18,1","18,6","17,9","22,1","20,7","17,7",,,
"Т 9.7 (""Доля обрабатывающих производств в продукции 
малого бизнеса"")",,"11,6","13,3","12,9",13,"11,9","10,8",,,
9.а.1 (Обязательства в млн дол США),РФ,"32 538,77","28 557,45","8 784,86","31 974,74","9 478,81","40 450,12",,,
9.а.1 (Обязательства в млн дол США),ЮФО,"-140,61","360,22","565,76","-226,06","41,77","-539,17",,,
9.а.1 (Обязательства в млн дол США),РО,"-24,2","-277,67","181,02","-92,19","91,64","-79,31",,,
9.а.2 (Изьято в млн дол США),РФ,"105 223,84","121 875,77","131 293,88","153 572,02","197 427,84","147 784,09",,,
9.а.2 (Изьято в млн дол США),ЮФО,"2 234,62","2 082,57","1 599,08","1 664,64","1 378,91","2 640,75",,,
9.а.2 (Изьято в млн дол США),РО,"215,59","476,03","396,68","617,75","418,45","614,3",,,
9.а.3 (Поступило в млн дол США),РФ,"137 762,61","150 433,22","140 078,74","185 546,76","206 906,65","188 234,21",,,
9.а.3 (Поступило в млн дол США),ЮФО,2 094,"2 442,79","2 164,83","1 438,58","1 420,68","2 101,57",,,
9.а.3 (Поступило в млн дол США),РО,"191,39","198,36","577,69","525,56","510,09","534,99",,,
9.b.1 (Доля продукции высокотехнологичных и наукоемких отраслей в валовом внутреннем продукте (%)),РФ,"21,3","21,8","21,3","22,2",25,"23,4","22,2",,
9.b.1 (Доля продукции высокотехнологичных и наукоемких отраслей в валовом внутреннем продукте (%)),ЮФО,"15,6","15,6","16,1","16,2",17,"16,2",,,
9.b.1 (Доля продукции высокотехнологичных и наукоемких отраслей в валовом внутреннем продукте (%)),РО,19,"20,3","19,9","18,3","19,1","18,6",,,
"Т 9.9 (Расходы на научно-исследовательские и опытно-конструкторские работы, в % к ВВП )",РФ,"1,1","1,11",1,"1,04","1,1",1,,,
"Т 9.9 (Внутренние затраты на исследования и разработки, 
в % к ВРП)",РО,"0,99","0,91","0,84","0,98","0,86","0,71",,,
