ЦУР,Субъект РФ,2016,2017,2018,2019,2020,2021,2022
5.1.1,РФ ,,"53,9",,"53,2",,"53,2",
5.1.1,ЮФО,,"56,1",,"55,7",,"56,1",
5.1.1,РО,,"55,2",,"56,4",,"56,2",
5.2.1,РФ ,731 610,650 445,610 805,641 749,670 671,645 288,598 726
5.2.1,ЮФО,74 389,67 786,66 597,72 129,74 648,75 420,69 643
5.2.2,РО,18 852,18 418,16 713,20 060,19 394,17 836,16 560
5.3.1,РФ ,"44,5",6.2,"49,1","49,3",50,53,"56,1"
5.5.2,РФ ,,"48,5",,"49,7",,49,
5.5.2,ЮФО,,"52,2",,52,,"51,4",
5.5.2,РО,,"50,7",,"53,1",,"51,6",
5.6.2,РФ ,836611,779848,661045,621652,553495,517737,503809
5.6.2,ЮФО,74950,63180,53103,49207,45000,42675,42981
5.6.2,РО,15369,14414,11706,10875,9864,9291,9591
5.a.2,РФ ,,,,67,66,"67,1","67,9"
5.a.2,ЮФО,,,,"59,9","59,6","60,1","61,7"
5.a.2,РО,,,,"60,4","60,2","62,6","64,9"
5.b.1,РФ (м),,,95,97,"97,2","98,1","98,7"
5.b.1,РФ (ж),,,"94,6",97,"97,4","98,2","98,9"
5.c.1,РФ (ж),,35 034,"35 155,8","34 916,2","34 393,3","34 828,7","36 917,2"
5.c.1,ЮФО (ж),,,"3 676,7",,,,
5.c.1,РО (ж),,,967,,,,
5.c.1,РФ (м),,37 108,"37 198,6","36 848,4","36 208,1","36 890,8","35 056,4"
5.c.1,ЮФО (м),,,"4 071,2",,,,
5.c.1,РО (м),,,"1 053,2",,,,
