ЦУР,Субъект РФ,2016,2017,2018,2019,2020,2021,2022,2023,2024
1.2.2,РФ,"13,2","12,9","12,6","12,3","12,1",11,"9,8",,
1.2.2,ЮФО,,,,,,,,,
1.2.2,РО,"14,2","13,9","13,2","13,3",13,12,"10,5",,
1.3.1,РФ,230710,299752,308815,326293,604856,980845,909426,,
1.3.1,Республика Адыгея (Адыгея),139,112,118,128,143,,2715,,
1.3.1,Республика Калмыкия,40,46,35,30,17,,2566,,
1.3.1,Республика Крым,210,185,162,165,199,,3831,,
1.3.1,Краснодарский край,730,456,554,788,595,,34485,,
1.3.1,Астраханская область,,,248,334,83,,9876,,
1.3.1,Волгоградская область,3672,3621,3205,4140,2269,,15395,,
1.3.1,г. Севастополь,,17,9,6,,,1 285,,
1.3.1,ЮФО,4791,4437,4331,5591,3306,,68868,,
1.3.1,РО,2241,2029,4905,8689,6921,,23687,,
1.4.1,РФ,66,"66,6","67,2","68,6","69,46","70,49","71,66",,
1.4.1,ЮФО,61,"62,3","62,4",65,"65,91","66,82","69,41",,
1.4.1,РО,"61,2",63,"64,3","67,5","66,97","68,74","73,74",,
1.4.2,РФ,"114065,2","112930,9","112120,4","111145,4","110098,","109694,7","108718,4",,
1.4.2,Астраханская область,"906,1","911,1","912,4",914,"916,8","920,9","929,5",,
1.4.2,Волгоградская область,"6279,4","6251,5","6250,4","6231,2","6225,9","6219,6","6212,9",,
1.4.2,г. Севастополь,"10,5","10,5","10,5","10,5","10,5","10,5","9,9",,
1.4.2,Краснодарский край,"2966,3","2958,7","2953,2","2941,5","2901,9","2895,1","2892,6",,
1.4.2,Республика Адыгея,"207,1","204,3","204,5","204,4","204,6","206,4","205,8",,
1.4.2,Республика Калмыкия,"1512,8",1562,"1586,4","1608,7",1609,"1615,6","1623,4",,
1.4.2,Республика Крым,"1197,3","1193,8","1193,8","1195,6","1196,1","1196,1","1167,1",,
1.4.2,Ростовская область,"6227,1","6233,7","6246,6","6255,6","6241,6","6245,7","6271,7",,
1.4.2,ЮФО,"19306,6","19325,6","19357,8","19361,5","19306,4","19309,9","19312,9",,
1.4.2,РО,"6227,1","6233,7","6246,6","6255,6","6241,6","6245,7","6271,7",,
1.5.1 Пострадавшие,РФ,130959,36483,57477,120911,6257,93130,235274,,
1.5.1 Пострадавшие,ЮФО,5604,9102,6450,350,493,4113,,,
1.5.1 Пострадавшие,РО,135,648,50,61,281,235,,,
1.5.1 Погибшие,РФ,788,556,717,532,326,529,199,,
1.5.1 Погибшие,ЮФО,201,80,118,80,75,86,,,
1.5.1 Погибшие,РО,77,12,21,20,15,30,,,
1.5.2,РФ,9000002,"11232975,42",,20507880,163778093,47866554,"7828394,73",,
1.5.2,ЮФО,625962,,,81762,4015187,833728,"138443,3715",,
1.5.2,РО,61340,"3819811,8",,51276,451548,16227,"4027,89",,
1.а.1,РФ,"9,7","10,3","10,4","10,6","12,1","10,6","9,7",,
1.а.1,ЮФО,"9,9","10,2","10,6","9,7","11,8","10,6","9,9",,
1.а.1,РО,"10,1","11,4","9,7","9,6","10,1","9,3","10,1",,
1.а.2 Образование,РФ,"9,9","10,1","10,7","10,8","10,2",10,"9,9",,
1.а.2 Образование,ЮФО,"22,7","22,2","22,","21,5","19,9","20,3","20,5",,
1.а.2 Образование,РО,"23,4","24,1","27,4","24,5","22,5","21,8","22,3",,
1.а.2 Здравоохранение,РФ,"9,9","8,7","9,7","10,1","11,6","11,","10,1",,
1.а.2 Здравоохранение,ЮФО,"26,8","20,7","22,5","23,","25,","24,9","21,3",,
1.а.2 Здравоохранение,РО,"27,7","21,","26,","24,2","26,","26,","22,3",,
1.а.2 Социальная политика,РФ,"34,8","37,1","36,2","34,8","35,6","34,","32,3",,
1.а.2 Социальная политика,ЮФО,"14,9","18,9","18,5","17,9","20,2","19,9","19,1",,
1.а.2 Социальная политика,РО,17,"21,9","23,7","20,6","23,1","22,1","23,3",,
1.b.1,РФ,805788745,934553806,1074899354,1181674251,1345306748,1468709237,1731819426,,
1.b.1,ЮФО,55530433,63519318,71807839,72495797,85060895,93180574,113972322,,
1.b.1,РО,15733262,17898543,17562654,17324984,18886248,20262216,25792464,,
Т.1.5 Все население,РО,9565,9667,9675,10337,10793,11053,13085,,
Т.1.5 Трудоспособное население,РО,10170,10280,10282,11013,11481,11753,14263,,
Т.1.5 Пенсионеры,РО,7753,7832,7843,8384,8722,9445,11253,,
Т.1.5 Дети,РО,10021,10126,10153,10733,11329,11642,13319,,
Т.1.2,РО,"9,7","10,3","10,4","10,6","12,1","10,6","9,7",,
Т.1.2,ЮФО,"9,9","10,2","10,6","9,7","11,8","10,6","9,9",,
Т.1.2,РО,"10,1","11,4","9,7","9,6","10,1","9,3","10,1",,
Т.1.2.1 образование,РО,"9,9","10,1","10,7","10,8","10,2",10,"9,9",,
Т.1.2.1 образование,ЮФО,"22,7","22,2",22,"21,5","19,9","20,3","20,5",,
