ЦУР,Субъект РФ,2016,2017,2018,2019,2020,2021,2022,2023,2024
Т.1.2.1 образование,РО,"23,4","24,1","27,4","24,5","22,5","21,8","22,3",,
Т.1.2.2 здравоохранение,РО,"9,9","8,7","9,7","10,1","11,6",11,"10,1",,
Т.1.2.2 здравоохранение,ЮФО,"26,8","20,7","22,5",23,25,"24,9","21,3",,
Т.1.2.2 здравоохранение,РО,"27,7",21,26,"24,2",26,26,"22,3",,
Т.1.2.3 социальная политика,РО,"34,8","37,1","36,2","34,8","35,6",34,"32,3",,
Т.1.2.3 социальная политика,ЮФО,"14,9","18,9","18,5","17,9","20,2","19,9","19,1",,
Т.1.2.3 социальная политика,РО,17,"21,9","23,7","20,6","23,1","22,1","23,3",,
Т.1.3.1,РФ,"95,5","99,8","101,7","101,9","98,6","103,8","98,61",,
Т.1.3.1,ЮФО,"97,7","99,9","102,2","100,9","99,2","105,4","99,31",,
Т.1.3.1,РО,"96,7","100,6","102,3","101,2","98,6","103,5","100,71",,
Т.1.3.2,РФ,"13,2","12,9","12,6","12,3","12,1",11,"9,81",,
Т.1.3.2,ЮФО,,,,,,,,,
Т.1.3.2,РО,"14,2","13,9","13,2","13,3",13,12,"10,51",,
Т.1.4.1,РФ,30865,"31896,5",33361,35506,36240,40304,"44937,01",,
Т.1.4.1,ЮФО,"26434,6","27347,7","28650,","30204,","30910,","34994,","39 252,01",,
Т.1.4.1,РО,"26655,4","27741,4","29097,1","30865,8","31519,4","35049,7","40008,01",,
Т.1.4.2,РФ,102,"103,3","104,6","106,4","102,1","111,2","111,51",,
Т.1.4.2,ЮФО,"104,4","103,5","104,8","105,4","102,3","113,2","112,21",,
Т.1.4.2,РО,"103,2","104,1","104,9","106,1","102,1","111,2","114,11",,
Т.1.4.3,РФ,"137,32","104,9","100,8","103,2","100,4","98,6","102,4",,
Т.1.4.3,ЮФО,"140,22","105,2","100,7","103,9","100,","98,2","102,2",,
Т.1.4.3,РО,"141,62","105,6",101,"103,9","100,3","98,5","101,5",,
