ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
Т 14.2 (тонн),РФ,173 981,186 544,204 032,248 293,291 194,319 342,348 187,,
Т 14.2 (тонн),ЮФО,63 536,67 650,69 196,70 207,70 131,71 083,74 936,,
Т 14.2 (тонн),РО,20 529,22 126,23 535,24 396,24 395,24 537,24 617,,
Т 14.3 (тонн),РФ,4 811 976,4 951 685,5 109 775,4 983 272,4 974 818,5 053 369,,,
Т 14.3 (тонн),ЮФО,177 046,162 394,132 354,115 283,110 288,107 454,,,
Т 14.3 (тонн),РО,20 385,19 476,21 655,14 606,11 429,10 599,,,
Т 14.4 (тонн),РФ,4 028 658,4 167 423,4 250 086,4 242 091,4 313 510,4 402 306,4 138 535,,
Т 14.4 (тонн),ЮФО,100 606,156 033,148 660,143 620,146 363,153 147,146 575,,
Т 14.4 (тонн),РО,14 506,15 703,17 475,17 451,20 354,23 891,21 972,,
