ЦУР,1.5.1 Погибшие,Т.1.4.3,11.2.1(тыс. чел.),11.5.1 погибшие,13.1.1 погибшие,16.1.1 (чел),16.1.1 (%),"Т 16.7 (возрасте 15-72 лет, использующего многофункциональный центр (МФЦ))",2.1.1,2.b.1,Т2.2.1,Т2.3.4,Т2.4.2,Т2.6.4,Т2.7.2,Т2.7.3,Т2.7.4,Т2.8.1,Т2.8.3,3.3.2,3.3.4,3.4.2,3.5.2,3.6.1,3.7.1 (возраст 30-34 лет),3.7.1 (возраст 35-39 лет),Т3.6.2,Т3.6.4,Т3.6.5,Т3.6.8,Т3.6.11,Т3.7.3,Т3.7.4,Т3.8.3,Т3.8.4,Т.3.10.6 (в возрасте 15-19 лет),Т3.13.1,4.2.1 (III группа здоровья),Т4.2.6,Т4.5.1,Т4.6.3,Т4.7.1,Т4.7.3,8.3.1,8.6.1,"Т 9.2.2 (Перевезено пассажиров транспортом общего пользования1 – всего, млн чел.)",Т 9.2.2 (железнодорожным),Т 9.2.2 (автомобильным),Т 9.3.4,Т 9.3.12,Т 9.3.13
Т2.2.1,0.7984123422501896,0.8853798272681578,0.9443033200369871,0.7984123422501896,0.7984123422501896,0.9801568765225338,0.9799968647135994,0.987104048626668,1.0,0.7954273342982281,1.0,0.9417344660156327,0.8735090237534424,0.8360850538098595,0.9730836740739345,0.9831911291877498,0.8695936311947774,0.7177805156960653,0.9279900280367054,0.9631390672545489,0.9771581357480821,0.8217466833449314,0.9593706178536676,0.9696776541780382,0.9917344364253148,0.9458358096151832,0.9626380275182456,0.8263690171761187,0.8366218797070311,0.99039002162871,0.9500401744988956,0.9611825363022594,0.9598193022201373,0.7815605965961189,0.9446985750178767,0.9652953939916632,0.9697102798256134,0.895395665441783,0.8798099531283993,0.9876240270290095,0.9822697104244394,0.9152227203341625,0.978051177756856,0.961062549447965,0.9140513585005314,0.9453653180619687,0.8884055236215593,0.9224402348099129,0.7943984967517485,0.9753284896956794,0.8242107067648153
Т2.3.4,0.7502481250165436,0.858802389718959,0.9686069743810917,0.7502481250165436,0.7502481250165436,0.9326423183232031,0.9352544844071644,0.9768578698311743,0.9417344660156327,0.7407743105494348,0.9417344660156327,1.0,0.8941773923046319,0.9334786577821582,0.9777833572199134,0.9521604354312254,0.9670180257019896,0.7696986967381526,0.954128309547939,0.9783177550813298,0.9793461793816312,0.7991970075444929,0.9019039051977816,0.9585249604354886,0.9549705498344303,0.8668295315257758,0.9783330197200092,0.9129239372752933,0.9248803024419624,0.9616924361970349,0.908119840961163,0.9608858827292899,0.9479782650199863,0.7731792038061891,0.9319483424784191,0.963029277150847,0.9595751353708162,0.8598137903949886,0.8908283638761716,0.9701067880901586,0.906605626416691,0.9488775336947122,0.928531041183898,0.9172288992754445,0.9644865190955437,0.9755573086355414,0.854628021531766,0.9679888451403377,0.8317309370202803,0.8637553547353385,0.9073582056808908
Т2.4.2,0.7337157365293216,0.7612643658981245,0.8796268724768033,0.7337157365293216,0.7337157365293216,0.7974898807600361,0.800329752600689,0.8882758291451363,0.8735090237534424,0.9159473860265772,0.8735090237534424,0.8941773923046319,1.0,0.7175705231429402,0.9101369631919602,0.8826818513063689,0.9204438038785283,0.9321457309552368,0.8616322153727763,0.9282839722291196,0.9296393838616187,0.801568452029149,0.820036631907643,0.9310125753234918,0.8610295314950762,0.7480558308245245,0.9291407218236374,0.9267047534004342,0.9247028071221278,0.8788245625955222,0.8698459873698461,0.8944933727096107,0.8825322700200634,0.7947213078110088,0.9689866945478472,0.8775695059243065,0.9315496031489174,0.9028576105934498,0.9707165432618268,0.8585500922801936,0.8641848815606639,0.9545703272344639,0.8368524162549216,0.9330385698997747,0.8522109278371524,0.9067814861697213,0.8341448731639788,0.8939540869548416,0.8418755566074884,0.8195401461998351,0.9678795945154901
Т2.6.4,0.6847135117232319,0.8009221418635438,0.9041814836495929,0.6847135117232319,0.6847135117232319,0.8760654990287817,0.8786849322042674,0.8810453317824076,0.8360850538098595,0.5501189250183209,0.8360850538098595,0.9334786577821582,0.7175705231429402,1.0,0.8723497231430264,0.8454569646554548,0.894383399526048,0.6166363936645484,0.8912022011334035,0.8762559679910629,0.8698296479052178,0.7035695636123018,0.8309883692433283,0.8277918535925332,0.8785047106803546,0.8487715237786171,0.8760036780362523,0.7987856256223518,0.8574293538523464,0.8671965041016951,0.813365542071447,0.8702348597708638,0.856442879041948,0.6875407918520449,0.7650026378793973,0.8739513241994572,0.8285456294314404,0.7302617575170166,0.7106866009475676,0.8884140071347886,0.7893063201253008,0.838801072950383,0.8425138710657926,0.7579285211045932,0.9205898747883908,0.9020999172779501,0.7641819493687053,0.9097855283019706,0.7722396641558189,0.7650758650703602,0.7840282883673837
Т2.7.2,0.8338476277456246,0.9193385636467907,0.9342064187070767,0.8338476277456246,0.8338476277456246,0.9639577775811367,0.9662589658444855,0.9818667548814359,0.9730836740739345,0.814608103353971,0.9730836740739345,0.9777833572199134,0.9101369631919602,0.8723497231430264,1.0,0.9603055109217645,0.9493091795293264,0.785533257719318,0.9482802446145512,0.9763277385212974,0.9812580142033924,0.8663430513883947,0.9576948022681377,0.9952177513069432,0.9733462344528622,0.8795439103009695,0.9762678765580981,0.9128181434059299,0.8910602241711291,0.990614147385774,0.9390077010309839,0.9888214002797455,0.9861397270726486,0.8389070057777395,0.9574668012523502,0.9947692819569721,0.9954768928631905,0.8701320492140835,0.9236687975433427,0.9782045993483354,0.961194536843012,0.9328404004126033,0.9774227862545121,0.9548865034352958,0.9562792143843998,0.9508833959231553,0.9006487164089738,0.9288226240647897,0.8127586744658855,0.9285580868741986,0.8702439624394942
Т2.7.3,0.7021098899642858,0.8163187972175443,0.9550368014807736,0.7021098899642858,0.7021098899642858,0.9565944532144082,0.9566584034421203,0.9933274432997352,0.9831911291877498,0.7668237665179326,0.9831911291877498,0.9521604354312254,0.8826818513063689,0.8454569646554548,0.9603055109217645,1.0,0.8704000354219856,0.7186352299033207,0.9541853725465094,0.9716584481268659,0.9772361942213039,0.737285071698458,0.9019478734093402,0.950102776489285,0.9708991405168725,0.915968273069068,0.9709702737929786,0.8179828888898533,0.8443030718434773,0.9746482878956813,0.8970405073992229,0.9246936385133689,0.9179993417019148,0.6944704553963971,0.961047842234457,0.9390552094500428,0.95148606569185,0.869586121797812,0.9007675934535406,0.9880644132416753,0.9669530251367895,0.9134708947076059,0.9420885690458796,0.9449183621670996,0.9285358044654909,0.9469284479037945,0.8136565626513714,0.9306019147620807,0.7510928919434997,0.9370487860310726,0.8586933353780895
Т2.7.4,0.7882411381899316,0.8560878342597761,0.9055932711356866,0.7882411381899316,0.7882411381899316,0.8550004473570179,0.860123008023027,0.9084671865645888,0.8695936311947774,0.7982877333049505,0.8695936311947774,0.9670180257019896,0.9204438038785283,0.894383399526048,0.9493091795293264,0.8704000354219856,1.0,0.8648280979465797,0.9163626467898832,0.9460370277211633,0.9371648225549988,0.8381007035284587,0.8699107559804272,0.9402460779218312,0.8930420516631274,0.7771826093687769,0.9467965024272477,0.970807006739296,0.963814286357404,0.9109364077862095,0.8748378750177795,0.9473334614287359,0.934476741863622,0.8375471458416937,0.9087416203008533,0.9374452947261922,0.9405866488839822,0.825957729692987,0.9019837243094033,0.8925809284465939,0.8482206924281804,0.9445628907419915,0.8780655366129166,0.8745503242237457,0.9459401305728369,0.938951846755595,0.8646786587289336,0.9323802530077833,0.8616751022121464,0.7973536013826976,0.9298746198981366
Т2.8.1,0.7131084933716626,0.700273134858211,0.7358952815523744,0.7131084933716626,0.7131084933716626,0.635121702982535,0.6412119060545267,0.7310292353952493,0.7177805156960653,0.9460046498272405,0.7177805156960653,0.7696986967381526,0.9321457309552368,0.6166363936645484,0.785533257719318,0.7186352299033207,0.8648280979465797,1.0,0.7693468759344869,0.8242525481708446,0.8039278257626001,0.7639462169139017,0.707460351787688,0.812495458342251,0.7281022170750457,0.6196658433922503,0.8257725092119287,0.9289926755280611,0.9086021754198861,0.747005262257113,0.7378040055995215,0.7880475491156314,0.7752726929168815,0.7933139696640645,0.8546084900558184,0.7548790038181264,0.8119445794335617,0.7624779840055697,0.8767960488702817,0.688986117342856,0.7329436485566987,0.8721737297372203,0.6939577170148657,0.7731590085049944,0.7742127444986531,0.7973158020495877,0.7967952941687583,0.7893573316918732,0.8400188078002129,0.6903195436760814,0.9039216482637201
Т2.8.3,0.691814857517636,0.8189296985134308,0.9105683692089437,0.691814857517636,0.691814857517636,0.9206197411020393,0.9245623843941803,0.9571208870745563,0.9279900280367054,0.7709119757035918,0.9279900280367054,0.954128309547939,0.8616322153727763,0.8912022011334035,0.9482802446145512,0.9541853725465094,0.9163626467898832,0.7693468759344869,1.0,0.9732836396849963,0.9499583481537506,0.7070875947567895,0.878022277646063,0.9274174096634097,0.9412793158285131,0.8740607022374219,0.972766569767788,0.8655671725367943,0.8967004248804584,0.9567746181774808,0.8208718075210611,0.9117635550357098,0.9042558297167553,0.6897877047892608,0.9338987238459999,0.9304618924401874,0.9287750101967385,0.7535608202243738,0.8875916311977577,0.9452558832743726,0.9393077862309596,0.8928702991539007,0.9090499178243786,0.8551770426317898,0.9912364929491152,0.9294547974848579,0.7861242777957081,0.9169720789469429,0.7329438577326595,0.8895746881043894,0.8546131283155237
3.3.2,0.743642224302908,0.8441792169676708,0.9636994321043879,0.743642224302908,0.743642224302908,0.9278361546514053,0.9307593185492115,0.9811712744266965,0.9631390672545489,0.8269403145030316,0.9631390672545489,0.9783177550813298,0.9282839722291196,0.8762559679910629,0.9763277385212974,0.9716584481268659,0.9460370277211633,0.8242525481708446,0.9732836396849963,1.0,0.9943277157182764,0.7844774673769392,0.9098381353124102,0.967044544476712,0.9728409128069405,0.8987122611685096,0.9999935926192923,0.9125120919849076,0.9394081140779003,0.9755936413172991,0.9078221176172427,0.9570666937872956,0.9451435757705571,0.7633491564790328,0.9678583670390505,0.9537318702723764,0.9676828281645995,0.8688654308713886,0.9152317039450295,0.9654617013778936,0.9464779380196193,0.9669431094000116,0.9295441724200028,0.9275217764552414,0.9659454633602848,0.9817942632412247,0.8694668789295186,0.9694815472933931,0.841006264936698,0.9113191652471232,0.9167702399665946
