ЦУР,1.а.2 Социальная политика,Т.1.2,Т.1.2.2 здравоохранение,Т.1.2.3 социальная политика,Т.1.3.1,"10.3.1 (Численность отдельных категорий специалистов, имеющих право на меры социальной поддержки, человек)",11.1.1,Т 15.2.2 (Индекс физического объема природоохранных расходов),Т 16.6 (Доля потерпевших от преступных посягательств),Т2.3.1,Т2.3.3,Т2.3.5,Т2.3.6,Т2.4.3,Т2.5.1,Т2.5.6,Т2.6.5,Т2.6.6,3.3.3,Т3.6.3,Т3.12.1,Т3.13.2,Т3.13.3,Т3.13.4,Т3.13.5,Т3.13.6,Т4.6.1,Т 9.2.1 (железнодорожным),Т 9.3.5,Т 9.6 (ВДС обрабатывающих производств в пересчете на душу населения),9.а.2 (Изьято в млн дол США),9.а.3 (Поступило в млн дол США)
Т2.3.3,0.861864491017143,0.47896628104328876,0.284740812064319,0.861864491017143,0.8418161711081409,0.954986993574866,0.35276325255609325,0.9498231090741581,0.8386121307970245,0.5804713540059826,1.0,0.8645305633582335,0.506180794731714,0.9402529798380561,0.8808755415981663,0.8156068248621551,0.5931465315330293,0.6856932830302739,0.5647784686913827,0.5647784686913827,0.18156066223322617,0.24284501440781303,0.2407590982250759,0.27047271273718926,0.27680470172259086,0.2809535996409724,0.5345902848221626,0.9636457307040367,0.9511037708813355,0.8018710444670538,0.7500367685886955,0.6852219289812301
Т2.3.5,0.9388505557447484,0.6191452685740081,0.5278426514876319,0.9388505557447484,0.8182465150971379,0.9664401747449097,0.5805075375689589,0.9729182298063148,0.9496064285108139,0.6962064702935494,0.8645305633582335,1.0,0.6489396068407591,0.8701973107874506,0.8690741610335455,0.8392254186057837,0.7409547399096054,0.7617671953972778,0.5524062588942048,0.5524062588942048,0.49842642484236893,0.41062412846612967,0.41276445982137766,0.4401892532456434,0.45452880243877636,0.4407862165395405,0.7833970776152428,0.8436380777442399,0.9495865113472595,0.9280266223118506,0.8690559984989744,0.8555578288530834
Т2.3.6,0.5229827780133494,0.16166021068197614,0.819356504900398,0.5229827780133494,0.642526228848211,0.5707110674098204,0.7831641050638635,0.6168867343002274,0.6998938094403647,0.7971635282020285,0.506180794731714,0.6489396068407591,1.0,0.504137706888759,0.5393294900285646,0.7497852997836504,0.6476171841939603,0.6891458843008946,0.4850642921937004,0.4850642921937004,0.1691437618426988,0.030119603350673152,0.033309155580351364,0.04280871656255386,0.04677710589800195,0.03971696268598616,0.26709582008028115,0.5545753543773294,0.5519540653464677,0.7004006121957735,0.7559456245394255,0.7037476856514934
Т2.4.3,0.8232846917326745,0.6839760149127168,0.40728520162856396,0.8232846917326745,0.7050533226300774,0.9419680993382998,0.42320349555870085,0.9098564795831542,0.8903370088282869,0.5118530787113599,0.9402529798380561,0.8701973107874506,0.504137706888759,1.0,0.9397119562963737,0.7319957900554325,0.7209526511704409,0.7689606704937804,0.4495944493442264,0.4495944493442264,0.3756447104819588,0.4650917962983473,0.46294468738820715,0.49143334352972046,0.49057675341448553,0.5030616346289412,0.657625550400127,0.905300724497619,0.9168161903545976,0.7388473146868916,0.7072923508475858,0.7274399415679992
Т2.5.1,0.8631000177767024,0.6726319401295872,0.49247330656427324,0.8631000177767024,0.7278721033519677,0.8894155934456832,0.45910740069712,0.871631601159399,0.8421212610793528,0.5758300184725693,0.8808755415981663,0.8690741610335455,0.5393294900285646,0.9397119562963737,1.0,0.7306048212133366,0.8443964378231442,0.8798314532449251,0.65513790482478,0.65513790482478,0.3853145001503665,0.46858671144034164,0.46848977969629285,0.49149802223673705,0.5022061126856389,0.500392628235746,0.6557177304518872,0.9295972176913984,0.8346408424318505,0.835531475347702,0.6429486320163265,0.8784545490596549
Т2.5.6,0.7170709271520741,0.2552093718514837,0.37996728812957214,0.7170709271520741,0.9121063762448053,0.8212213065587312,0.38760284989391,0.8798434783995224,0.8822269837342653,0.9353105452248591,0.8156068248621551,0.8392254186057837,0.7497852997836504,0.7319957900554325,0.7306048212133366,1.0,0.6823091853519031,0.8010111684229135,0.6006206335317454,0.6006206335317454,0.10979311167166977,0.003901326596327143,0.002059176798477636,0.021740416725375203,0.02875410007714335,0.02426881912616558,0.4023069263675486,0.8504799804888586,0.8098280206992123,0.8980128629120034,0.9473229700642416,0.8067646756736593
Т2.6.5,0.619715181118726,0.691092901074927,0.6851957800061507,0.619715181118726,0.6554727180786544,0.6726234365986986,0.5931551288137475,0.6696542168403351,0.7794450910332673,0.6930328642138405,0.5931465315330293,0.7409547399096054,0.6476171841939603,0.7209526511704409,0.8443964378231442,0.6823091853519031,1.0,0.9124589732227413,0.6638762405718279,0.6638762405718279,0.4802464475914656,0.469892535301304,0.4729074527711233,0.4854329253422031,0.49434936302028043,0.48464927103960903,0.6403910345080078,0.7041721880949166,0.5891936601485803,0.7652367416365273,0.6275964133244277,0.9189111784792227
Т2.6.6,0.6697091067793116,0.49911026826648563,0.5535209225297737,0.6697091067793116,0.6627159986006839,0.7082120383233033,0.42111611783210157,0.731817630614349,0.8232970869837329,0.7932461388203111,0.6856932830302739,0.7617671953972778,0.6891458843008946,0.7689606704937804,0.8798314532449251,0.8010111684229135,0.9124589732227413,1.0,0.6187752592105287,0.6187752592105287,0.31955513993842033,0.3205038034958141,0.3225002673025011,0.3371742299403506,0.34205984300670383,0.3437921291846652,0.47982018957045297,0.8065576952048459,0.6389583593800319,0.818600189024302,0.7049699191969041,0.9416213284957979
3.3.3,0.6364372683744043,0.2750800749440836,0.43935692969889184,0.6364372683744043,0.7774115589700583,0.5227292363725098,0.44078806975053486,0.5569716128165376,0.41872504008467143,0.6109839074288572,0.5647784686913827,0.5524062588942048,0.4850642921937004,0.4495944493442264,0.65513790482478,0.6006206335317454,0.6638762405718279,0.6187752592105287,1.0,1.0,0.11468839930552584,0.12061238940684493,0.12367849395473468,0.12745713474215847,0.1589963050837367,0.12296209345497426,0.34079373183136324,0.709570816871938,0.47092246991257064,0.7644478044463437,0.4144602737803547,0.7445333969703225
Т3.6.3,0.6364372683744043,0.2750800749440836,0.43935692969889184,0.6364372683744043,0.7774115589700583,0.5227292363725098,0.44078806975053486,0.5569716128165376,0.41872504008467143,0.6109839074288572,0.5647784686913827,0.5524062588942048,0.4850642921937004,0.4495944493442264,0.65513790482478,0.6006206335317454,0.6638762405718279,0.6187752592105287,1.0,1.0,0.11468839930552584,0.12061238940684493,0.12367849395473468,0.12745713474215847,0.1589963050837367,0.12296209345497426,0.34079373183136324,0.709570816871938,0.47092246991257064,0.7644478044463437,0.4144602737803547,0.7445333969703225
Т3.12.1,0.46786740660104653,0.8408112354109594,0.5185578006272281,0.46786740660104653,0.08964540824957651,0.39399190852101323,0.5230889274397925,0.34048722328382913,0.4484872304619388,0.12099247780521849,0.18156066223322617,0.49842642484236893,0.1691437618426988,0.3756447104819588,0.3853145001503665,0.10979311167166977,0.4802464475914656,0.31955513993842033,0.11468839930552584,0.11468839930552584,1.0,0.9269957386205837,0.9297862866452976,0.9295427858137162,0.9329870033828401,0.921498142688658,0.8775403450135816,0.1257641653232562,0.3772742744472144,0.3212171488072996,0.29369803146962636,0.4225324127210908
Т3.13.2,0.4378106324255428,0.9035841100259134,0.43931199742733745,0.4378106324255428,0.01100019668805119,0.379055043574467,0.42069036605782906,0.29446442125894645,0.36714541162970205,0.05427331396348151,0.24284501440781303,0.41062412846612967,0.030119603350673152,0.4650917962983473,0.46858671144034164,0.003901326596327143,0.469892535301304,0.3205038034958141,0.12061238940684493,0.12061238940684493,0.9269957386205837,1.0,0.9999551733432063,0.9992219010344171,0.9976979563730437,0.9987210527159621,0.8106763480237471,0.19184543185380634,0.35090646752219345,0.2108477378848599,0.11769437160193183,0.35545647222877746
Т3.13.3,0.43931374787231414,0.9036883699300623,0.4429928573728136,0.43931374787231414,0.012740267183284916,0.3788995062106679,0.4240572483948223,0.29495412510764496,0.36839422642736863,0.05030670393336522,0.2407590982250759,0.41276445982137766,0.033309155580351364,0.46294468738820715,0.46848977969629285,0.002059176798477636,0.4729074527711233,0.3225002673025011,0.12367849395473468,0.12367849395473468,0.9297862866452976,0.9999551733432063,1.0,0.9992026624409749,0.9979605423442779,0.9985006827614286,0.8131890148150915,0.19092465887340027,0.3503889648886218,0.21456839457271684,0.11998778246680818,0.359537054821993
Т3.13.4,0.46264691353659765,0.9159201431981445,0.44201298833243535,0.46264691353659765,0.036322106987375084,0.409571779253523,0.42759745248565273,0.3252412030791419,0.3963379627935547,0.03750823505420534,0.27047271273718926,0.4401892532456434,0.04280871656255386,0.49143334352972046,0.49149802223673705,0.021740416725375203,0.4854329253422031,0.3371742299403506,0.12745713474215847,0.12745713474215847,0.9295427858137162,0.9992219010344171,0.9992026624409749,1.0,0.9988365591126155,0.9996285846169256,0.8296561306681165,0.21683474251629276,0.3812951179155472,0.2358828929827533,0.14464704824106314,0.37482142900208776
Т3.13.5,0.48508852541766573,0.9167255185802298,0.4493928155849348,0.48508852541766573,0.054649682748089116,0.41892179887637104,0.4386326287717897,0.33634867037386007,0.397469465744471,0.02971530252186479,0.27680470172259086,0.45452880243877636,0.04677710589800195,0.49057675341448553,0.5022061126856389,0.02875410007714335,0.49434936302028043,0.34205984300670383,0.1589963050837367,0.1589963050837367,0.9329870033828401,0.9976979563730437,0.9979605423442779,0.9988365591126155,1.0,0.997824767471958,0.8422834803269522,0.228256724351593,0.3892380741727956,0.25947592312194806,0.14680728554668124,0.3936305526253882
Т3.13.6,0.4648898079783659,0.9155091811868167,0.4339023782958909,0.4648898079783659,0.03461654648001582,0.4148179868642269,0.41684995889782267,0.32965098016637495,0.39992511836940325,0.04025490444133773,0.2809535996409724,0.4407862165395405,0.03971696268598616,0.5030616346289412,0.500392628235746,0.02426881912616558,0.48464927103960903,0.3437921291846652,0.12296209345497426,0.12296209345497426,0.921498142688658,0.9987210527159621,0.9985006827614286,0.9996285846169256,0.997824767471958,1.0,0.8234910980036224,0.22686884022083773,0.3864891695913275,0.2342222387101845,0.14373170207549876,0.37435905342672376
Т4.6.1,0.7406390703109788,0.908518596553376,0.481693381374798,0.7406390703109788,0.459085041767766,0.7229768803015576,0.5515582444896822,0.6756270813907963,0.7001719639535744,0.29858007129584957,0.5345902848221626,0.7833970776152428,0.26709582008028115,0.657625550400127,0.6557177304518872,0.4023069263675486,0.6403910345080078,0.47982018957045297,0.34079373183136324,0.34079373183136324,0.8775403450135816,0.8106763480237471,0.8131890148150915,0.8296561306681165,0.8422834803269522,0.8234910980036224,1.0,0.47323255391046587,0.7005574135674459,0.6121926135901775,0.5333122411249465,0.6238351075476104
Т 9.2.1 (железнодорожным),0.8489905909712047,0.4358901655852179,0.3280681716895711,0.8489905909712047,0.8696942139592682,0.9043696417809808,0.3406993076946513,0.9148179928714824,0.8152709372850669,0.6713279700894149,0.9636457307040367,0.8436380777442399,0.5545753543773294,0.905300724497619,0.9295972176913984,0.8504799804888586,0.7041721880949166,0.8065576952048459,0.709570816871938,0.709570816871938,0.1257641653232562,0.19184543185380634,0.19092465887340027,0.21683474251629276,0.228256724351593,0.22686884022083773,0.47323255391046587,1.0,0.8753074119533596,0.8649447804741067,0.7222738026400931,0.8018267771663193
Т 9.3.5,0.9133073135718853,0.5667120465648491,0.38007863709943607,0.9133073135718853,0.8191128972413246,0.9926098640389186,0.4802166053872283,0.985753263449979,0.9080443113664922,0.5883041598543278,0.9511037708813355,0.9495865113472595,0.5519540653464677,0.9168161903545976,0.8346408424318505,0.8098280206992123,0.5891936601485803,0.6389583593800319,0.47092246991257064,0.47092246991257064,0.3772742744472144,0.35090646752219345,0.3503889648886218,0.3812951179155472,0.3892380741727956,0.3864891695913275,0.7005574135674459,0.8753074119533596,1.0,0.8323619999223769,0.8349851156401548,0.6965624725012683
Т 9.6 (ВДС обрабатывающих производств в пересчете на душу населения),0.8983317501857354,0.4201158798394409,0.5077446867932187,0.8983317501857354,0.8952751564207152,0.8632817319355076,0.5239820895124617,0.9062970521691428,0.8526792501736882,0.832523893925719,0.8018710444670538,0.9280266223118506,0.7004006121957735,0.7388473146868916,0.835531475347702,0.8980128629120034,0.7652367416365273,0.818600189024302,0.7644478044463437,0.7644478044463437,0.3212171488072996,0.2108477378848599,0.21456839457271684,0.2358828929827533,0.25947592312194806,0.2342222387101845,0.6121926135901775,0.8649447804741067,0.8323619999223769,1.0,0.839460298842847,0.9314611278628498
9.а.2 (Изьято в млн дол США),0.7013110819892792,0.3466655087396369,0.4404723087942665,0.7013110819892792,0.8299771844379772,0.8281561001037293,0.48192161573267567,0.8751867007959151,0.9255874413760754,0.88289337509756,0.7500367685886955,0.8690559984989744,0.7559456245394255,0.7072923508475858,0.6429486320163265,0.9473229700642416,0.6275964133244277,0.7049699191969041,0.4144602737803547,0.4144602737803547,0.29369803146962636,0.11769437160193183,0.11998778246680818,0.14464704824106314,0.14680728554668124,0.14373170207549876,0.5333122411249465,0.7222738026400931,0.8349851156401548,0.839460298842847,1.0,0.7338032248003684
9.а.3 (Поступило в млн дол США),0.7978965112910051,0.5388959038605141,0.6229503667906873,0.7978965112910051,0.7534725696709919,0.7622220176607987,0.5486988367644199,0.7911249684364174,0.8276854714789692,0.8027322544430536,0.6852219289812301,0.8555578288530834,0.7037476856514934,0.7274399415679992,0.8784545490596549,0.8067646756736593,0.9189111784792227,0.9416213284957979,0.7445333969703225,0.7445333969703225,0.4225324127210908,0.35545647222877746,0.359537054821993,0.37482142900208776,0.3936305526253882,0.37435905342672376,0.6238351075476104,0.8018267771663193,0.6965624725012683,0.9314611278628498,0.7338032248003684,1.0
