ЦУР,1.2.2,Т.1.3.2,Т.1.4.3,11.2.1(тыс. чел.),2.1.1,Т2.2.1,3.3.2,3.3.4,3.5.2,3.6.1,3.7.1 (возраст 30-34 лет),3.7.1 (возраст 35-39 лет),3.c.1,Т3.6.2,Т3.6.4,Т3.6.5,Т3.6.8,Т3.6.11,Т3.4.5,Т3.5.2,Т3.7.3,Т3.7.4,Т3.8.4,Т3.13.1,4.2.1 (III группа здоровья),Т4.5.1,Т4.6.3,Т4.7.1,Т4.7.3
3.7.1 (возраст 30-34 лет),0.9357161579717234,0.9359526877938409,0.9030964606869745,0.9562586494874902,0.9835305901550386,0.9835305901550386,0.9731253011545117,0.9812177519320693,0.9651402782755836,0.9634488544434555,1.0,0.9628829393715622,0.9601438320598453,0.9727749079800593,0.8796957764838741,0.873534670156839,0.9912295159930579,0.9513146015005477,0.9601438320598453,0.9601438320598453,0.9710144213576846,0.9666594027787496,0.9263084708345465,0.9631013109870953,0.955963646076775,0.9464577857694481,0.9374185510576849,0.9300124743277765,0.908015750445737
3.7.1 (возраст 35-39 лет),0.9063927791116222,0.9065526625161139,0.8390551987164785,0.9146948928852592,0.9343570815883235,0.9343570815883235,0.8997728657636036,0.910455557769551,0.9206956202115913,0.8649272089752643,0.9628829393715622,1.0,0.9361821908968444,0.8990909409072914,0.7615676691916007,0.7979362846128395,0.9270654315992404,0.907074596740024,0.9361821908968444,0.9361821908968444,0.8904395756022199,0.8868166404731446,0.8263238548031818,0.8638524713350587,0.8564600380069871,0.8408614547685374,0.8595682668138636,0.8214715665334791,0.8278668228087172
3.c.1,0.9770190081865319,0.9771881562893877,0.8561929811668567,0.8985332565817936,0.9824256396454083,0.9824256396454083,0.9255357949738456,0.9258217606844519,0.9201370920142649,0.9139753921536439,0.9601438320598453,0.9361821908968444,1.0,0.9243136182555267,0.7853860976375194,0.7697294694015344,0.9659551627569328,0.859886931787239,1.0,1.0,0.902287713560909,0.9050026283951389,0.893664889138988,0.9149380854602336,0.9173720154859449,0.8983468566057647,0.9000522343179186,0.8928133796886605,0.8604768896390521
Т3.6.2,0.8963012642218322,0.8966096729364127,0.8560147393615084,0.9640649015450535,0.948293895699459,0.948293895699459,0.999993659712284,0.9944029645730972,0.9106091371715299,0.9674814519052162,0.9727749079800593,0.8990909409072914,0.9243136182555267,1.0,0.9391421569190845,0.9410490906417286,0.9754608265293202,0.9091417967939075,0.9243136182555267,0.9243136182555267,0.9577541375689536,0.9458790016531817,0.9682100520035098,0.9681012864005134,0.973769869299769,0.9564366283665361,0.9192555287995361,0.9785880714502407,0.872162424368669
Т3.6.4,0.7566203187491186,0.7569875717258381,0.8608712073379524,0.881041610139038,0.8434604580958214,0.8434604580958214,0.9381339378433223,0.928896775407228,0.8675045949483907,0.9417510434421121,0.8796957764838741,0.7615676691916007,0.7853860976375194,0.9391421569190845,1.0,0.9691247101833939,0.89922407421062,0.87751533704648,0.7853860976375193,0.7853860976375193,0.9419703966323234,0.9308850188878879,0.9210719543500301,0.9415771837028325,0.9342370022813674,0.9534974649402699,0.886491500657778,0.9495131010343854,0.8775275700047388
Т3.6.5,0.7338650709346168,0.7342526960332845,0.7857697830353538,0.9105248020181838,0.8078464868718301,0.8078464868718301,0.9400425840875557,0.9240615289311922,0.8139844297329305,0.8854502165567846,0.873534670156839,0.7979362846128395,0.7697294694015344,0.9410490906417286,0.9691247101833939,1.0,0.8672753130532413,0.8462437053358961,0.7697294694015344,0.7697294694015344,0.8963548501955494,0.8751580557383917,0.8896511664245063,0.8853526726684894,0.8857652291974757,0.8997392208320751,0.8158440089705142,0.9284850952108263,0.7941725091515526
Т3.6.8,0.938693635911816,0.938951626727935,0.9191657360051447,0.9347056032842487,0.9899548882237912,0.9899548882237912,0.975849205282563,0.979638410446229,0.9694061162539028,0.9835009429077973,0.9912295159930579,0.9270654315992404,0.9659551627569328,0.9754608265293202,0.89922407421062,0.8672753130532413,1.0,0.93661505415755,0.9659551627569328,0.9659551627569328,0.9788148891812897,0.9781648812661661,0.9484810273241009,0.9835499145132287,0.978486451052865,0.9671138803077598,0.9606300324820375,0.9479999078231793,0.930034182628157
Т3.6.11,0.8713896860562803,0.8714774335984293,0.9108927212579124,0.924823593718779,0.9311034704137722,0.9311034704137722,0.9087873310453344,0.9411074192857176,0.957693486291045,0.9468542110702557,0.9513146015005477,0.907074596740024,0.859886931787239,0.9091417967939075,0.87751533704648,0.8462437053358961,0.93661505415755,1.0,0.859886931787239,0.859886931787239,0.967184684200135,0.9641862049409627,0.8824555984606868,0.9453312975823842,0.9225843138870989,0.9280260303798499,0.9277470732237385,0.8825567429149919,0.9194439351819262
Т3.4.5,0.9770190081865319,0.9771881562893877,0.8561929811668567,0.8985332565817936,0.9824256396454083,0.9824256396454083,0.9255357949738456,0.9258217606844519,0.9201370920142649,0.9139753921536439,0.9601438320598453,0.9361821908968444,1.0,0.9243136182555267,0.7853860976375193,0.7697294694015344,0.9659551627569328,0.859886931787239,1.0,1.0,0.902287713560909,0.9050026283951389,0.893664889138988,0.9149380854602336,0.9173720154859449,0.8983468566057647,0.9000522343179186,0.8928133796886605,0.8604768896390521
Т3.5.2,0.9770190081865319,0.9771881562893877,0.8561929811668567,0.8985332565817936,0.9824256396454083,0.9824256396454083,0.9255357949738456,0.9258217606844519,0.9201370920142649,0.9139753921536439,0.9601438320598453,0.9361821908968444,1.0,0.9243136182555267,0.7853860976375193,0.7697294694015344,0.9659551627569328,0.859886931787239,1.0,1.0,0.902287713560909,0.9050026283951389,0.893664889138988,0.9149380854602336,0.9173720154859449,0.8983468566057647,0.9000522343179186,0.8928133796886605,0.8604768896390521
Т3.7.3,0.8826402574990831,0.8829123699216646,0.9489526131607023,0.9241814353441229,0.9560130275157127,0.9560130275157127,0.9575162572031356,0.9678932766272597,0.9774893549082585,0.9874188936435718,0.9710144213576846,0.8904395756022199,0.902287713560909,0.9577541375689536,0.9419703966323234,0.8963548501955494,0.9788148891812897,0.967184684200135,0.902287713560909,0.902287713560909,1.0,0.9982953549064886,0.9241845093674813,0.9865914106331816,0.9669171325851884,0.9856413329601875,0.9552466868562828,0.9413794428018044,0.9566551346577646
Т3.7.4,0.8825414628744971,0.8828067450232486,0.9595061494383988,0.9052400181387426,0.9578030200293959,0.9578030200293959,0.9457179885897137,0.9566370395008191,0.9854868013148763,0.9867646839798753,0.9666594027787496,0.8868166404731446,0.9050026283951389,0.9458790016531817,0.9308850188878879,0.8751580557383917,0.9781648812661661,0.9641862049409627,0.9050026283951389,0.9050026283951389,0.9982953549064886,1.0,0.9177891531779714,0.9857905903446779,0.9649938087400083,0.9817155047334748,0.9643295856444286,0.9281522367091932,0.966771065980442
Т3.8.4,0.879960505405171,0.8801569599722174,0.8215515132173953,0.9113049012586864,0.9277165149183866,0.9277165149183866,0.968194928640736,0.9671704244681414,0.8766682193254214,0.9674277295096384,0.9263084708345465,0.8263238548031818,0.893664889138988,0.9682100520035098,0.9210719543500301,0.8896511664245063,0.9484810273241009,0.8824555984606868,0.893664889138988,0.893664889138988,0.9241845093674813,0.9177891531779714,1.0,0.9685927309559289,0.9883305856685634,0.9276115461476234,0.9456360012750458,0.9656804687635676,0.8582132397626875
Т3.13.1,0.8996516193369004,0.8998883603334435,0.9218523437590395,0.9182030976319808,0.9642348068865597,0.9642348068865597,0.9680212278696823,0.9757097622977308,0.9572759651105851,0.9999687840367023,0.9631013109870953,0.8638524713350587,0.9149380854602336,0.9681012864005134,0.9415771837028325,0.8853526726684894,0.9835499145132287,0.9453312975823842,0.9149380854602336,0.9149380854602336,0.9865914106331816,0.9857905903446779,0.9685927309559289,1.0,0.9944141521286056,0.981948562862099,0.9751486458375953,0.9626787630155874,0.9434041439187424
4.2.1 (III группа здоровья),0.898433565407326,0.8986647396805365,0.8892436162431457,0.9151885910292427,0.958613132389102,0.958613132389102,0.9737750702350253,0.97696878916101,0.9341270793775905,0.9939571927150448,0.955963646076775,0.8564600380069871,0.9173720154859449,0.973769869299769,0.9342370022813674,0.8857652291974757,0.978486451052865,0.9225843138870989,0.9173720154859449,0.9173720154859449,0.9669171325851884,0.9649938087400083,0.9883305856685634,0.9944141521286056,1.0,0.9637795142069192,0.9746185097891528,0.9661003502909791,0.9171857954729513
Т4.5.1,0.8899638323743947,0.8902385301194872,0.927335094665262,0.9218978972157148,0.945303148516634,0.945303148516634,0.956265445390498,0.9609548298238416,0.9424048629421617,0.9816871127441811,0.9464577857694481,0.8408614547685374,0.8983468566057647,0.9564366283665361,0.9534974649402699,0.8997392208320751,0.9671138803077598,0.9280260303798499,0.8983468566057647,0.8983468566057647,0.9856413329601875,0.9817155047334748,0.9276115461476234,0.981948562862099,0.9637795142069192,1.0,0.9263765906648791,0.9697916071013448,0.9381922145139818
Т4.6.3,0.8674434444245891,0.8676427029462355,0.9212036324153167,0.8448043703721291,0.94548944201754,0.94548944201754,0.9193195232312684,0.9282860775498404,0.963044347208182,0.9759949079148409,0.9374185510576849,0.8595682668138636,0.9000522343179186,0.9192555287995361,0.886491500657778,0.8158440089705142,0.9606300324820375,0.9277470732237385,0.9000522343179186,0.9000522343179186,0.9552466868562828,0.9643295856444286,0.9456360012750458,0.9751486458375953,0.9746185097891528,0.9263765906648791,1.0,0.8901038523338388,0.9441369323443118
Т4.7.1,0.8935344283321248,0.893777493760951,0.8345689191671174,0.9518279479187302,0.9256897369910432,0.9256897369910432,0.9784787372146787,0.9759319093257195,0.8696700343281728,0.9610521031163753,0.9300124743277765,0.8214715665334791,0.8928133796886605,0.9785880714502407,0.9495131010343854,0.9284850952108263,0.9479999078231793,0.8825567429149919,0.8928133796886605,0.8928133796886605,0.9413794428018044,0.9281522367091932,0.9656804687635676,0.9626787630155874,0.9661003502909791,0.9697916071013448,0.8901038523338388,1.0,0.8580935327228343
Т4.7.3,0.8342875281826605,0.8345270974807101,0.9951776228272148,0.8162960919636391,0.9138190433087026,0.9138190433087026,0.8720642796923547,0.8842485733662038,0.9645810978675317,0.9448062546963001,0.908015750445737,0.8278668228087172,0.8604768896390521,0.872162424368669,0.8775275700047388,0.7941725091515526,0.930034182628157,0.9194439351819262,0.8604768896390521,0.8604768896390521,0.9566551346577646,0.966771065980442,0.8582132397626875,0.9434041439187424,0.9171857954729513,0.9381922145139818,0.9441369323443118,0.8580935327228343,1.0
