ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
11.1.1,РФ,,,,"0,66","0,48","0,51","0,57",,
11.1.1,Республика Адыгея (Адыгея),,,,"0,15","0,07","0,11","0,29",,
11.1.1,Республика Калмыкия,,,,"0,81","0,72","0,78","0,70",,
11.1.1,Республика Крым,,,,"0,24","0,32","0,43","0,27",,
11.1.1,Краснодарский край,,,,"0,09","0,04","0,08","0,08",,
11.1.1,Астраханская область,,,,"0,68","0,96","1,55","1,32",,
11.1.1,Волгоградская область,,,,"0,83","0,70","0,91","0,92",,
11.1.1,Ростовская область,,,,"0,23","0,28","0,28","0,24",,
11.1.1,Город федерального зачения Севастополь,,,,"0,19","0,06","0,07","0,13",,
11.1.1,РО,,,,"0,23","0,28","0,28","0,24",,
11.2.1(тыс. чел.),РФ,"11 295 838,3","11 184 850,1","10 912 120,6","10 637 242,8","7 695 445,9","8 031 370,1","8 457 946,7",,
11.2.1(тыс. чел.),ЮФО,"1 099 371,8","1 167 595,8","1 104 322,8","1 118 060,8","794 924,9","778 487,4","813 114,3",,
11.2.1(тыс. чел.),РО,"319 955,3","349 919,7","284 717,3","298 326,8","224 416,2","261 569,7","232 982,6",,
11.2.1 (%),РФ,"11,2",12,"14,1","18,7","22,9",34,"36,4",,
11.2.1 (%),ЮФО,"5,5","6,4","10,5","14,2","17,2","30,3","32,4",,
11.2.1 (%),РО,"6,7","6,7","16,8","22,2","27,4","36,8","40,2",,
11.3.1,РФ,"0,94","0,99","0,96","1,06","1,01","1,13","1,11",,
11.3.1,РО,"0,95","1,02","1,01","1,12","1,02","1,02",,,
11.3.1,"РФ,млн. кв. м. жил. пл.",,,"7,7661","7,2244","8,1487","5,6736","9,3336",,
11.3.1,Республика Калмыкия,,,,,,"0,0016","0,0018",,
11.3.1,Республика Крым,,,,,"0,0121","0,046","0,0389",,
11.3.1,Краснодарский край,,,"3,0485","1,4707","1,9582","0,2015","0,6447",,
11.3.1,Астраханская область,,,"0,0088",,,,"0,0148",,
11.3.1,Волгоградская область,,,"0,0688","0,0711","0,1153","0,0858","0,077",,
11.3.1,Ростовская область,,,,"0,422","0,1787","0,1368","0,2289",,
11.3.1,"РО, млн. кв. м. жил. пл.",,,,"0,422","0,1787","0,1368","0,2289",,
11.5.1 пострадавшие,РФ,130959,36483,57477,120911,6257,93130,235274,,
11.5.1 пострадавшие,ЮФО,5604,9102,6450,350,493,4113,,,
11.5.1 пострадавшие,РО,135,648,50,61,281,235,,,
11.5.1 погибшие,РФ,788,556,717,532,326,529,199,,
11.5.1 погибшие,ЮФО,201,80,118,80,75,86,,,
11.5.1 погибшие,РО,77,12,21,20,15,30,,,
11.5.2,РФ,9000002,"11232975,42",,20507880,163778093,47866554,"7828394,73",,
11.5.2,ЮФО,625962,,,81762,4015187,833728,"138443,3715",,
11.5.2,РО,61340,"3819811,8",,51276,451548,16227,"4027,89",,
11.5.3,РФ,9000002,"11232975,42",,20507880,163778093,47866554,"7828394,73",,
11.5.3,ЮФО,625962,,,81762,4015187,833728,"138443,3715",,
11.5.3,РО,61340,"3819811,8",,51276,451548,16227,"4027,89",,
11.7.1 (%),РФ,"25,50","24,10","23,50","23,60","23,80","24,20","24,70",,
11.7.1 (%),ЮФО,"17,70","17,50","17,40","17,90","17,40","17,60","18,20",,
11.7.1 (%),РО,"20,40","20,80","20,80","20,80","20,90","21,20","23,70",,
11.7.1 (шт),РФ,,,,7 085,13 063,17 344,22 609,,
11.7.1 (шт),Республика Адыгея (Адыгея),,,,"22,00","36,00","50,00","71,00",,
11.7.1 (шт),Республика Калмыкия,,,,"8,00","16,00","27,00","34,00",,
11.7.1 (шт),Республика Крым,,,,"22,00","148,00","220,00","288,00",,
11.7.1 (шт),Краснодарский край,,,,"370,00","681,00","898,00",1 117,,
11.7.1 (шт),Астраханская область,,,,"64,00","135,00","199,00","267,00",,
11.7.1 (шт),Волгоградская область,,,,"165,00","316,00","415,00","507,00",,
11.7.1 (шт),Ростовская область,,,,"189,00","356,00","495,00","633,00",,
11.7.1 (шт),Город федерального зачения Севастополь,,,,"8,00","13,00","19,00","23,00",,
11.7.1 (шт),РО,,,,"189,00","356,00","495,00","633,00",,
11.а.1,РФ,"66,00","66,60","67,20","68,60","69,46","70,49","71,66",,
11.а.1,ЮФО,"61,00","62,30","62,40","65,00","65,91","66,82","69,41",,
11.а.1,РО,"61,20","63,00","64,30","67,50","66,97","68,74","73,74",,
11.b.1,,,,,,,,,,
11.b.1,,,,,,,,,,
11.b.1,,,,,,,,,,
11.b.2,,,,,,,,,,
11.b.2,,,,,,,,,,
11.b.2,,,,,,,,,,
11.с.1,РФ,,,"23,50","26,80","33,60","44,00","54,00",,
11.с.1,Республика Адыгея (Адыгея),,,"50,00","50,00","100,00","100,00","100,00",,
11.с.1,Республика Калмыкия,,,"0,00","0,00","33,00","67,00","67,00",,
11.с.1,Республика Крым,,,"19,00","25,00","31,00","38,00","44,00",,
11.с.1,Краснодарский край,,,"23,00","23,00","27,00","35,00","38,00",,
11.с.1,Астраханская область,,,"0,00","17,00","17,00","33,00","50,00",,
11.с.1,Волгоградская область,,,"0,00","5,00","16,00","32,00","42,00",,
11.с.1,Ростовская область,,,"9,00","13,00","17,00","35,00","43,00",,
11.с.1,Город федерального зачения Севастополь,,,"0,00","0,00","0,00","100,00","100,00",,
11.с.1,РО,,,"9,00","13,00","17,00","35,00","43,00",,
