ЦУР,1.3.1,1.4.1,1.4.2,1.b.1,Т.1.4.1,Т.1.4.2,Т.1.5 Все население,Т.1.5 Трудоспособное население,Т.1.5 Пенсионеры,Т.1.5 Дети,11.2.1 (%),11.7.1 (%),11.7.1 (шт),11.а.1,11.с.1,3.1.1,3.2.2,3.4.1b,Т3.2.2,Т3.3.1,Т3.5.1,Т3.7.1,Т3.7.2,Т3.8.2,Т3.9.2,Т3.10.1,Т3.10.2,4.2.1 (I группа здоровья)
11.2.1 (%),0.9468212642378382,0.9600330136460961,0.854669673721506,0.8799973537085843,0.9635185992842892,0.8563234574697611,0.9203926514659121,0.9086200736978839,0.9241637300671577,0.9380058510552882,1.0,0.8124631646421195,0.9339181763604975,0.9600330136460961,0.9393056435781226,0.6056277129416158,0.5258692562077788,0.9109885069213349,0.9630780530503565,0.8978319321844157,0.8978319321844157,0.7181741663618348,0.8880632392630785,0.9233125706260225,0.8765351351077445,0.8430271670657253,0.8562919253070176,0.5113441730229449
11.7.1 (%),0.9331589769175453,0.9108326014731674,0.8901458186462833,0.98121405546714,0.9329525633870008,0.8883141665351967,0.9611528610818564,0.9689812988190193,0.9612018378891454,0.9461481599295523,0.8124631646421195,1.0,0.9003383117955044,0.9108326014731674,0.8970753300051136,0.38055646522900893,0.19698165496003622,0.7408681101763361,0.717837635845263,0.7656318169978025,0.7656318169978025,0.45920023333433924,0.7758544760899745,0.8129106655658641,0.7573757742147216,0.7839912082216175,0.8008402373964695,0.47480886226439156
11.7.1 (шт),0.95523968970775,0.9188900307633642,0.776981002834894,0.9527612117298931,0.9677701514229168,0.8906879296953841,0.960832957737673,0.9551234036040496,0.97364485130371,0.9731690329411559,0.9339181763604975,0.9003383117955044,1.0,0.9188900307633644,0.9872069358338742,0.5510342891364253,0.4295851405874617,0.95387963966538,0.8233173148605636,0.9569955047559457,0.9569955047559457,0.5846228343972425,0.9667891236132152,0.9815008867400832,0.8700998319642254,0.9523327168675269,0.8712557414748597,0.5820988071543675
11.а.1,0.9735541379036411,1.0,0.9456741344481546,0.9415778411944624,0.9852534688837107,0.8897227241858351,0.9694775280356852,0.9651221792435952,0.9644914045908934,0.9709196732401143,0.9600330136460961,0.9108326014731674,0.9188900307633644,1.0,0.9313775718443612,0.5204671701778624,0.41216321571193326,0.8251500656627536,0.9289102254047178,0.821256654128485,0.821256654128485,0.6487115472100334,0.810893502678961,0.865827483677749,0.8582107382344569,0.7782472488277777,0.847643076825074,0.5380396877372422
11.с.1,0.9781801667528441,0.9313775718443612,0.8073977325336589,0.9435417667417637,0.9767037770469846,0.9449591742813213,0.9537744975109398,0.948337910980242,0.9745561727198286,0.9639991410861708,0.9393056435781226,0.8970753300051136,0.9872069358338742,0.9313775718443612,1.0,0.6279337325920846,0.4894764048757939,0.9517203586064189,0.8335327115928362,0.9166931865045085,0.9166931865045085,0.5858508091019854,0.9409847968893894,0.9783797111039961,0.9218839814107406,0.945723515632159,0.9355827731108937,0.5875359002343574
3.1.1,0.5935309994664658,0.5204671701778624,0.4373169458031441,0.4383027444170072,0.5575351923474181,0.6739548368836874,0.4613927674740035,0.44944882048966667,0.5093999255043609,0.48207594519106445,0.6056277129416158,0.38055646522900893,0.5510342891364253,0.5204671701778624,0.6279337325920846,1.0,0.921793761348814,0.6676835793955993,0.5626348592709745,0.5182723076000529,0.5182723076000529,0.689606984020904,0.5738098232607957,0.637361454944746,0.7245601451292506,0.6214311767600871,0.7566603143575266,0.39831655841115743
3.2.2,0.44616946731968304,0.41216321571193326,0.2922266293491686,0.26365007776830685,0.4210427499609738,0.46347917009084405,0.3499367136020124,0.33231630380147315,0.3778958788961166,0.3768861501229713,0.5258692562077788,0.19698165496003622,0.4295851405874617,0.41216321571193326,0.4894764048757939,0.921793761348814,1.0,0.5890248368596206,0.5070264518611785,0.4444598023181814,0.4444598023181814,0.765300291017154,0.49711986413019243,0.5367344816108522,0.6697124704800962,0.5126442486135223,0.5911700344865244,0.5465598660702403
3.4.1b,0.8794596523232331,0.8251500656627536,0.6322905944113385,0.8287602792452974,0.8887457436898534,0.8389812995070423,0.8498971329642364,0.8366561604649498,0.876775440240123,0.8774066695815392,0.9109885069213349,0.7408681101763361,0.95387963966538,0.8251500656627536,0.9517203586064189,0.6676835793955993,0.5890248368596206,1.0,0.8029103487451872,0.9642945637949645,0.9642945637949645,0.5980872338688602,0.983638922136243,0.992709707811304,0.8866526662257985,0.9729546180265994,0.8741263794900809,0.6133517862940681
Т3.2.2,0.8648482164790045,0.9289102254047178,0.8586370115660696,0.7971391326854974,0.8947921142535278,0.7667869205879668,0.8337935641406806,0.8195313892528785,0.8276123448074589,0.8526768531108191,0.9630780530503565,0.717837635845263,0.8233173148605636,0.9289102254047178,0.8335327115928362,0.5626348592709745,0.5070264518611785,0.8029103487451872,1.0,0.8036286181518064,0.8036286181518064,0.6995393962297661,0.7587790002757713,0.8064082674300139,0.7753146710853109,0.6871042906643308,0.7561492181041368,0.4449959224566267
Т3.3.1,0.8443294082424979,0.821256654128485,0.6268296294100265,0.8588078857513409,0.8792407182833089,0.7584773234147213,0.8624135418065504,0.8502437900273565,0.8737936140663498,0.8897950052791954,0.8978319321844157,0.7656318169978025,0.9569955047559457,0.821256654128485,0.9166931865045085,0.5182723076000529,0.4444598023181814,0.9642945637949645,0.8036286181518064,1.0,1.0,0.5678415483924856,0.983018922735447,0.9650169285550345,0.7699324067545562,0.9377482110564641,0.7571034988804485,0.5568018658748108
Т3.5.1,0.8443294082424979,0.821256654128485,0.6268296294100265,0.8588078857513409,0.8792407182833089,0.7584773234147213,0.8624135418065504,0.8502437900273565,0.8737936140663498,0.8897950052791954,0.8978319321844157,0.7656318169978025,0.9569955047559457,0.821256654128485,0.9166931865045085,0.5182723076000529,0.4444598023181814,0.9642945637949645,0.8036286181518064,1.0,1.0,0.5678415483924856,0.983018922735447,0.9650169285550345,0.7699324067545562,0.9377482110564641,0.7571034988804485,0.5568018658748108
Т3.7.1,0.6198570267734126,0.6487115472100334,0.588031615143469,0.4880622837142397,0.6218273454177202,0.4865716563369202,0.6051696003674174,0.5930671548653127,0.5897489505753667,0.6191860313637078,0.7181741663618348,0.45920023333433924,0.5846228343972425,0.6487115472100334,0.5858508091019854,0.689606984020904,0.765300291017154,0.5980872338688602,0.6995393962297661,0.5678415483924856,0.5678415483924856,1.0,0.5868677572757978,0.5937839355175714,0.6619587359667536,0.5353365490979615,0.5457241332898208,0.4168984594056717
Т3.7.2,0.8671259103187949,0.810893502678961,0.6176119078255451,0.8513802260675517,0.8825565245042097,0.8013231948154405,0.8694236759947825,0.8590266057826574,0.8888194656320245,0.8936237114884047,0.8880632392630785,0.7758544760899745,0.9667891236132152,0.810893502678961,0.9409847968893894,0.5738098232607957,0.49711986413019243,0.983638922136243,0.7587790002757713,0.983018922735447,0.983018922735447,0.5868677572757978,1.0,0.9868777519774271,0.8390142744063922,0.9824363846550932,0.8204989338789543,0.5940667978301061
Т3.8.2,0.9206168791209263,0.865827483677749,0.6917746275052116,0.8844391751815199,0.9275147949811279,0.8764859972393577,0.9010569659849613,0.8911401332201316,0.9247498378059014,0.9220936441865063,0.9233125706260225,0.8129106655658641,0.9815008867400832,0.865827483677749,0.9783797111039961,0.637361454944746,0.5367344816108522,0.992709707811304,0.8064082674300139,0.9650169285550345,0.9650169285550345,0.5937839355175714,0.9868777519774271,1.0,0.8982455073297043,0.980808429062678,0.8928920357548642,0.6093582459826395
Т3.9.2,0.9149544670815937,0.8582107382344569,0.7479083588651974,0.7847018902435161,0.8843650736235242,0.8986699515776971,0.855458454294354,0.8479285140465452,0.8790274148712266,0.8638349689254642,0.8765351351077445,0.7573757742147216,0.8700998319642254,0.8582107382344569,0.9218839814107406,0.7245601451292506,0.6697124704800962,0.8866526662257985,0.7753146710853109,0.7699324067545562,0.7699324067545562,0.6619587359667536,0.8390142744063922,0.8982455073297043,1.0,0.8697212261303213,0.9518389977113091,0.701972464680099
Т3.10.1,0.8699066166489705,0.7782472488277777,0.5996218738583521,0.8409144437239243,0.8657240232992058,0.848751526376575,0.8506349667928752,0.8435643944165174,0.8821191246844591,0.8697327535795818,0.8430271670657253,0.7839912082216175,0.9523327168675269,0.7782472488277777,0.945723515632159,0.6214311767600871,0.5126442486135223,0.9729546180265994,0.6871042906643308,0.9377482110564641,0.9377482110564641,0.5353365490979615,0.9824363846550932,0.980808429062678,0.8697212261303213,1.0,0.8745807207392307,0.5947504663428964
Т3.10.2,0.9305818476751141,0.847643076825074,0.7766895167231904,0.8251849310719788,0.8936847758397661,0.9774745127638474,0.8372780660414364,0.8335552640138391,0.8775867452939092,0.8427740680827807,0.8562919253070176,0.8008402373964695,0.8712557414748597,0.847643076825074,0.9355827731108937,0.7566603143575266,0.5911700344865244,0.8741263794900809,0.7561492181041368,0.7571034988804485,0.7571034988804485,0.5457241332898208,0.8204989338789543,0.8928920357548642,0.9518389977113091,0.8745807207392307,1.0,0.5279434040331284
4.2.1 (I группа здоровья),0.5339783109153683,0.5380396877372422,0.3690300918052627,0.5015986106879815,0.5350622429190613,0.47319677072496763,0.5909846268736475,0.5838610665399968,0.5826780724435187,0.5967002513792745,0.5113441730229449,0.47480886226439156,0.5820988071543675,0.5380396877372422,0.5875359002343574,0.39831655841115743,0.5465598660702403,0.6133517862940681,0.4449959224566267,0.5568018658748108,0.5568018658748108,0.4168984594056717,0.5940667978301061,0.6093582459826395,0.701972464680099,0.5947504663428964,0.5279434040331284,1.0
