ЦУР,2016,2017,2018,2019,2020,2021,2022,AgglomerativeClustering,KMeans
Т3.4.5,89.5,88.5,88.2,88.2,87.6,85.4,85.4,4,0
Т3.5.1,37.4,37.5,37.5,37.1,38.7,39.1,39.1,0,2
Т3.5.2,89.5,88.5,88.2,88.2,87.6,85.4,85.4,4,0
Т3.7.1,184.5,177.9,184.1,188.3,188.9,188.1,188.1,2,2
Т3.7.2,639.8,620.0,621.9,610.0,675.0,711.7,711.7,0,2
Т3.7.3,15.9,12.7,10.9,10.4,8.7,9.7,9.7,4,0
Т3.7.4,2.1,1.5,1.3,1.2,1.0,1.1,1.1,4,0
Т3.8.1,10.7,11.6,10.9,11.5,11.4,10.8,10.8,1,4
Т3.8.2,39.8,33.3,32.2,34.1,60.3,96.6,96.6,0,2
Т3.8.3,6.9,3.7,3.7,3.3,2.9,4.6,4.6,2,1
Т3.8.4,7.73,7.73,7.73,6.14,6.21,6.26,6.26,4,0
Т3.9.1,7.8,7.7,6.5,5.7,6.5,7.8,7.8,2,1
Т3.9.2,1.88,1.49,1.46,2.15,1.78,2.59,2.59,0,2
Т3.10.1,489.5,448.2,444.5,428.7,493.0,579.9,579.9,0,2
Т3.10.2,8.2,4.6,7.3,13.3,2.7,27.9,27.9,0,2
Т3.10.3,7.8,7.7,6.5,5.7,6.5,7.8,7.8,2,1
Т3.10.4,6.6,6.5,5.1,4.8,5.5,6.5,6.5,2,1
Т3.13.1,16.8,14.2,13.2,10.5,10.23,10.6,10.3,4,0
Т3.13.2,6108.0,5838.0,4860.0,3861.0,28423.0,2695.0,2991.0,1,4
Т3.13.3,4979.0,4626.0,3925.0,3065.0,23513.0,2281.0,2492.0,1,4
Т3.13.4,258.0,317.0,244.0,192.0,1803.0,118.0,124.0,1,4
Т3.13.5,93.0,114.0,112.0,56.0,673.0,63.0,58.0,1,4
Т3.13.6,303.0,399.0,317.0,264.0,2143.0,104.0,152.0,1,4
4.2.1 (I группа здоровья),108986.0,108211.0,40435.0,113799.0,113799.0,113799.0,113799.0,0,2
4.2.1 (II группа здоровья),252743.0,259078.0,260946.0,261005.0,261005.0,261005.0,261005.0,0,4
4.2.1 (III группа здоровья),51585.0,50639.0,50478.0,48494.0,48494.0,48494.0,48494.0,4,0
4.2.1 (IV группа здоровья),1789.0,2648.0,2657.0,2327.0,2327.0,2327.0,2327.0,0,4
4.2.1 (V группа здоровья),7027.0,7373.0,7576.0,7804.0,7804.0,7804.0,7804.0,0,4
4.3.1,23585.0,31949.0,38350.0,50535.0,50535.0,50535.0,50535.0,0,4
4.4.1.a,80.7,80.1,83.2,80.4,80.4,80.4,80.4,2,3
4.4.1.b,99.2,95.0,96.2,97.7,97.7,97.7,97.7,2,1
Т4.3.3,12139.0,12232.0,12281.0,12307.0,12307.0,12307.0,12307.0,0,4
