ЦУР,1.2.2,1.5.1 Пострадавшие,1.5.2,1.а.1,Т.1.3.2,11.2.1(тыс. чел.),11.5.1 пострадавшие,11.5.2,11.5.3,13.1.1 пострадавшие,2.1.1,Т2.2.1,3.3.1,3.3.2,3.3.4,3.5.1,3.5.2,3.6.1,3.7.1 (возраст 30-34 лет),3.7.1 (возраст 35-39 лет),3.c.1,Т3.6.1,Т3.6.2,Т3.6.4,Т3.6.5,Т3.6.8,Т3.6.10,Т3.6.11,Т3.4.5,Т3.5.2,Т3.7.3,Т3.7.4,Т3.8.4,Т3.13.1,4.2.1 (III группа здоровья),Т4.5.1,Т4.6.3,Т4.7.1
2.1.1,0.9741745921412169,0.26911965236818697,0.4550931267146365,0.4501934481197688,0.9743233259660833,0.9287830932499483,0.26911965236818697,0.4550931267146365,0.4550931267146365,0.26911965236818697,1.0,1.0,0.8441821337351039,0.9490385259317228,0.9615425050406118,0.8721790673252621,0.9603938170361559,0.9638434997314016,0.9835305901550386,0.9343570815883235,0.9824256396454083,0.8683079119696258,0.948293895699459,0.8434604580958214,0.8078464868718301,0.9899548882237912,0.8702606861833206,0.9311034704137722,0.9824256396454083,0.9824256396454083,0.9560130275157127,0.9578030200293959,0.9277165149183866,0.9642348068865597,0.958613132389102,0.945303148516634,0.94548944201754,0.9256897369910432
Т2.2.1,0.9741745921412169,0.26911965236818697,0.4550931267146365,0.4501934481197688,0.9743233259660833,0.9287830932499483,0.26911965236818697,0.4550931267146365,0.4550931267146365,0.26911965236818697,1.0,1.0,0.8441821337351039,0.9490385259317228,0.9615425050406118,0.8721790673252621,0.9603938170361559,0.9638434997314016,0.9835305901550386,0.9343570815883235,0.9824256396454083,0.8683079119696258,0.948293895699459,0.8434604580958214,0.8078464868718301,0.9899548882237912,0.8702606861833206,0.9311034704137722,0.9824256396454083,0.9824256396454083,0.9560130275157127,0.9578030200293959,0.9277165149183866,0.9642348068865597,0.958613132389102,0.945303148516634,0.94548944201754,0.9256897369910432
3.3.1,0.849216150161828,0.3974842256944204,0.6715155813055271,0.6081826301644192,0.8494860514997705,0.9168332851858865,0.3974842256944204,0.6715155813055271,0.6715155813055271,0.3974842256944204,0.8441821337351039,0.8441821337351039,1.0,0.9035589457663329,0.8868661206001122,0.8862903533373598,0.7438883001180564,0.7796751010990809,0.8844652642616784,0.8960025547134299,0.8813908984799228,0.997463281414045,0.9027878450900215,0.7406732927215496,0.8337883598858684,0.8520518754223391,0.8811053431608811,0.7449136147983076,0.8813908984799228,0.8813908984799228,0.77924829833858,0.756980930881828,0.8196202471983095,0.7812801382910782,0.801275361755519,0.7767555835935454,0.7147730868234574,0.8502050373672823
3.3.2,0.8975136765461287,0.415525026122966,0.6054403494027588,0.6058258736815594,0.8978213862132646,0.9640795427629806,0.415525026122966,0.6054403494027588,0.6054403494027588,0.415525026122966,0.9490385259317228,0.9490385259317228,0.9035589457663329,1.0,0.9943871113652055,0.9149340494731508,0.9107822386075684,0.9673896277806207,0.9731253011545117,0.8997728657636036,0.9255357949738456,0.9155992844767187,0.999993659712284,0.9381339378433223,0.9400425840875557,0.975849205282563,0.9124077457123536,0.9087873310453344,0.9255357949738456,0.9255357949738456,0.9575162572031356,0.9457179885897137,0.968194928640736,0.9680212278696823,0.9737750702350253,0.956265445390498,0.9193195232312684,0.9784787372146787
3.3.4,0.914876882474686,0.39106991591251583,0.5804749902469365,0.5540117107299023,0.9151111772157174,0.9769911859470097,0.39106991591251583,0.5804749902469365,0.5804749902469365,0.39106991591251583,0.9615425050406118,0.9615425050406118,0.8868661206001122,0.9943871113652055,1.0,0.917364719909463,0.9245472959858746,0.9752585350798717,0.9812177519320693,0.910455557769551,0.9258217606844519,0.9004749519054679,0.9944029645730972,0.928896775407228,0.9240615289311922,0.979638410446229,0.9166532370392382,0.9411074192857176,0.9258217606844519,0.9258217606844519,0.9678932766272597,0.9566370395008191,0.9671704244681414,0.9757097622977308,0.97696878916101,0.9609548298238416,0.9282860775498404,0.9759319093257195
3.5.1,0.8392193675971845,0.20374720471820834,0.6457830808915028,0.4045309025066624,0.8393528435809439,0.8894355283121036,0.20374720471820834,0.6457830808915028,0.6457830808915028,0.20374720471820834,0.8721790673252621,0.8721790673252621,0.8862903533373598,0.9149340494731508,0.917364719909463,1.0,0.7915308635490566,0.859813622800419,0.8950984454389103,0.8671040862916409,0.8609152187379955,0.9036120852737963,0.914563923210612,0.7747230376081613,0.8105987771811629,0.8808409314782822,0.9997900050737829,0.8231003410197438,0.8609152187379955,0.8609152187379955,0.8167628236914573,0.8042768769838511,0.9297632524943903,0.8606723462692375,0.897474573337922,0.7830125513251495,0.8574374338586094,0.8580301520325829
3.5.2,0.8879083490558095,0.14379004352187447,0.2458629630175124,0.330713404492174,0.8881402425562178,0.8713788928640467,0.14379004352187447,0.2458629630175124,0.2458629630175124,0.14379004352187447,0.9603938170361559,0.9603938170361559,0.7438883001180564,0.9107822386075684,0.9245472959858746,0.7915308635490566,1.0,0.9588990725674854,0.9651402782755836,0.9206956202115913,0.9201370920142649,0.7740878843943962,0.9106091371715299,0.8675045949483907,0.8139844297329305,0.9694061162539028,0.7897238537578128,0.957693486291045,0.9201370920142649,0.9201370920142649,0.9774893549082585,0.9854868013148763,0.8766682193254214,0.9572759651105851,0.9341270793775905,0.9424048629421617,0.963044347208182,0.8696700343281728
3.6.1,0.8980487605196974,0.33675657500822714,0.4735285641482543,0.4987808846944788,0.8982869716897209,0.917409282422802,0.33675657500822714,0.4735285641482543,0.4735285641482543,0.33675657500822714,0.9638434997314016,0.9638434997314016,0.7796751010990809,0.9673896277806207,0.9752585350798717,0.859813622800419,0.9588990725674854,1.0,0.9634488544434555,0.8649272089752643,0.9139753921536439,0.8027399434756314,0.9674814519052162,0.9417510434421121,0.8854502165567846,0.9835009429077973,0.8591351388772588,0.9468542110702557,0.9139753921536439,0.9139753921536439,0.9874188936435718,0.9867646839798753,0.9674277295096384,0.9999687840367023,0.9939571927150448,0.9816871127441811,0.9759949079148409,0.9610521031163753
3.7.1 (возраст 30-34 лет),0.9357161579717234,0.2603597437240242,0.4539686494595655,0.46010778299616883,0.9359526877938409,0.9562586494874902,0.2603597437240242,0.4539686494595655,0.4539686494595655,0.2603597437240242,0.9835305901550386,0.9835305901550386,0.8844652642616784,0.9731253011545117,0.9812177519320693,0.8950984454389103,0.9651402782755836,0.9634488544434555,1.0,0.9628829393715622,0.9601438320598453,0.9050142889588689,0.9727749079800593,0.8796957764838741,0.873534670156839,0.9912295159930579,0.8929865145376236,0.9513146015005477,0.9601438320598453,0.9601438320598453,0.9710144213576846,0.9666594027787496,0.9263084708345465,0.9631013109870953,0.955963646076775,0.9464577857694481,0.9374185510576849,0.9300124743277765
3.7.1 (возраст 35-39 лет),0.9063927791116222,0.11309895196950596,0.34000368773888934,0.30902537837177546,0.9065526625161139,0.9146948928852592,0.11309895196950596,0.34000368773888934,0.34000368773888934,0.11309895196950596,0.9343570815883235,0.9343570815883235,0.8960025547134299,0.8997728657636036,0.910455557769551,0.8671040862916409,0.9206956202115913,0.8649272089752643,0.9628829393715622,1.0,0.9361821908968444,0.9142097860209645,0.8990909409072914,0.7615676691916007,0.7979362846128395,0.9270654315992404,0.8646368365649514,0.907074596740024,0.9361821908968444,0.9361821908968444,0.8904395756022199,0.8868166404731446,0.8263238548031818,0.8638524713350587,0.8564600380069871,0.8408614547685374,0.8595682668138636,0.8214715665334791
