ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
4.1.1,РФ,,,,"74,89","76,96",,,,
4.1.1,Республика Адыгея (Адыгея),,,,"71,9","71,83",,,,
4.1.1,Республика Калмыкия,,,,"63,44","68,66",,,,
4.1.1,Республика Крым,,,,"68,24","68,91",,,,
4.1.1,Краснодарский край,,,,"72,78","72,55",,,,
4.1.1,Астраханская область,,,,"77,5","78,09",,,,
4.1.1,Волгоградская область,,,,"77,42","78,16",,,,
4.1.1,Ростовская область,,,,"75,44","76,25",,,,
4.1.1,Город федерального зачения Севастополь,,,,"68,59","73,72",,,,
4.1.1,РО,,,,"75,44","76,25",,,,
4.1.1,ЮФО (среднее),,,,"73,34","74,32",,,,
4.2.1 (I группа здоровья),РФ,3527846,3682063,1563055,3862113,2665509,3840840,4097475,,
4.2.1 (II группа здоровья),РФ,7910727,8155863,8431870,8868158,6143385,8371567,8868734,,
4.2.1 (III группа здоровья),РФ,2061625,2106588,2163611,2212944,1626887,2075458,2125754,,
4.2.1 (IV группа здоровья),РФ,101871,75164,91298,86648,62769,85371,80080,,
4.2.1 (V группа здоровья),РФ,193965,237244,238921,253935,228294,269429,285059,,
4.2.1 (I группа здоровья),ЮФО,417712,446849,173418,421434,213662,419454,450407,,
4.2.1 (II группа здоровья),ЮФО,913591,962469,1063729,1059382,584344,1013609,1037502,,
4.2.1 (III группа здоровья),ЮФО,210173,212297,224945,223772,107175,209834,217510,,
4.2.1 (IV группа здоровья),ЮФО,11209,10822,11532,10741,4901,10374,9653,,
4.2.1 (V группа здоровья),ЮФО,14657,26424,27989,29950,19292,33005,33071,,
4.2.1 (I группа здоровья),РО,108986,108211,40435,113799,97040,116275,120197,,
4.2.1 (II группа здоровья),РО,252743,259078,260946,261005,213056,250857,239182,,
4.2.1 (III группа здоровья),РО,51585,50639,50478,48494,43735,51245,45504,,
4.2.1 (IV группа здоровья),РО,1789,2648,2657,2327,1101,2245,1978,,
4.2.1 (V группа здоровья),РО,7027,7373,7576,7804,6964,9276,8652,,
4.2.2,РФ,,,,"89,05","90,83","92,12",,,
4.2.2,Республика Адыгея (Адыгея),,,,"83,38","81,97","78,89",,,
4.2.2,Республика Калмыкия,,,,"85,55","84,1","81,69",,,
4.2.2,Республика Крым,,,,"92,88","94,77","93,31",,,
4.2.2,Краснодарский край,,,,"85,94","88,21","85,09",,,
4.2.2,Астраханская область,,,,"79,85","80,75","78,54",,,
4.2.2,Волгоградская область,,,,"84,46","86,48","86,6",,,
4.2.2,Ростовская область,,,,"84,54","87,63","89,31",,,
4.2.2,Город федерального зачения Севастополь,,,,"83,74","84,88","82,27",,,
4.2.2,ЮФО,,,,"85,49","86,62","85,31",,,
4.2.2,РО,,,,"84,54","87,63","89,31",,,
4.3.1,РФ,1114592,1165924,1243363,1390292,1394301,,,,
4.3.1,Республика Адыгея (Адыгея),7039,7794,7189,9472,9163,,,,
4.3.1,Республика Калмыкия,1895,1638,743,1436,1746,,,,
4.3.1,Республика Крым,23886,22597,21028,22956,20329,,,,
4.3.1,Краснодарский край,71317,67362,61784,70598,70934,,,,
4.3.1,Астраханская область,6275,8508,9238,12396,12005,,,,
4.3.1,Волгоградская область,25150,23725,20690,34075,34176,,,,
4.3.1,Ростовская область,23585,31949,38350,50535,48605,,,,
4.3.1,г. Севастополь,891,1464,1255,730,2632,,,,
4.3.1,ЮФО,"20004,75","20629,625","20034,625","25274,75","24948,75",,,,
4.3.1,РО,23585,31949,38350,50535,48605,,,,
4.4.1.a,РФ,"74,3","75,5","77,3","75,5","75,4","77,5","79,1",,
4.4.1.a,ЮФО,"74,3","77,5","77,3",73,"74,7","77,3","80,3",,
4.4.1.a,РО,"80,7","80,1","83,2","80,4","80,2","78,8","80,8",,
4.4.1.b,РФ,"94,7","94,1","94,2","92,9","92,2","93,3","94,2",,
4.4.1.b,ЮФО,"96,4","95,5","94,8","93,7","93,6","92,2","95,6",,
4.4.1.b,РО,"99,2",95,"96,2","97,7","96,7","95,5","97,2",,
4.5.1,РФ,,,,"99,05","99,17","99,58","99,66",,
4.5.1,Республика Адыгея (Адыгея),,,,"99,91",100,100,,,
