ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
4.5.1,Республика Калмыкия,,,,100,100,100,,,
4.5.1,Республика Крым,,,,"93,8","97,23","98,23",,,
4.5.1,Краснодарский край,,,,100,100,100,,,
4.5.1,Астраханская область,,,,100,100,100,,,
4.5.1,Волгоградская область,,,,100,100,100,,,
4.5.1,Ростовская область,,,,100,100,100,,,
4.5.1,Город федерального зачения Севастополь,,,,100,100,"99,99",,,
4.5.1,ЮФО,,,,"99,21","99,65","99,78",,,
4.5.1,РО,,,,100,100,100,,,
4.6.1,РФ,,,,"26,4","17,8","18,4",,,
4.6.1,Республика Адыгея (Адыгея),,,,"22,8","15,6","14,2",,,
4.6.1,Республика Калмыкия,,,,"14,3","7,2","6,4",,,
4.6.1,Республика Крым,,,,"21,2","12,5","11,4",,,
4.6.1,Краснодарский край,,,,"31,2","21,8","22,4",,,
4.6.1,Астраханская область,,,,"23,9","17,2","14,5",,,
4.6.1,Волгоградская область,,,,"20,2","12,5","12,8",,,
4.6.1,Ростовская область,,,,"22,6","15,2","15,5",,,
4.6.1,г. Севастополь,,,,"34,2","23,4","24,2",,,
4.6.1,ЮФО,,,,,,,,,
4.6.1,РО,,,,"22,6","15,2","15,5",,,
4.7.1,РФ,,,,,,,,,
4.7.1,ЮФО,,,,,,,,,
4.7.1,РО,,,,,,,,,
4.7.1,РФ,"92,3","93,4","93,9","93,5",94,"94,3","94,1",,
4.b.1,"РФ, тыс. руб.",13087376,16241989,17587646,24220486,23134611,31311621,45873733,,
4.b.1,"ЮФО, тыс. руб.",,363677,638732,1660063,2577418,2216352,3258118,,
4.b.1,"РО, тыс. руб.",,23725,48792,92165,81981,106168,495011,,
4.c.1.a,РФ,,,,"94,9","94,53","94,29",,,
4.c.1.a,Республика Адыгея (Адыгея),,,,"95,71","93,37","93,69",,,
4.c.1.a,Республика Калмыкия,,,,97,"97,45","97,25",,,
4.c.1.a,Республика Крым,,,,"96,51","95,58","95,03",,,
4.c.1.a,Краснодарский край,,,,"96,91","96,64","96,61",,,
4.c.1.a,Астраханская область,,,,"97,56","97,02","96,93",,,
4.c.1.a,Волгоградская область,,,,"96,66","96,1","96,49",,,
4.c.1.a,Ростовская область,,,,"94,9","94,87","94,39",,,
4.c.1.a,Город федерального зачения Севастополь,,,,"98,38","96,5","94,84",,,
4.c.1.a,ЮФО,,,,"96,70","95,94","95,65",,,
4.c.1.a,РО,,,,"94,9","94,87","94,39",,,
4.c.1.b,РФ,,,,"97,75","97,6","97,16",,,
4.c.1.b,Республика Адыгея (Адыгея),,,,"97,86","98,46","96,78",,,
4.c.1.b,Республика Калмыкия,,,,"97,91","97,21","95,45",,,
4.c.1.b,Республика Крым,,,,"98,24","96,99","97,77",,,
4.c.1.b,Краснодарский край,,,,"98,23","97,71","96,51",,,
4.c.1.b,Астраханская область,,,,"98,68","98,86","98,67",,,
4.c.1.b,Волгоградская область,,,,"98,38","98,47","97,94",,,
4.c.1.b,Ростовская область,,,,"97,38","97,21","97,21",,,
4.c.1.b,Город федерального зачения Севастополь,,,,"99,74","97,89","98,8",,,
4.c.1.b,ЮФО,,,,"98,30","97,85","97,39",,,
4.c.1.b,РО,,,,"97,38","97,21","97,21",,,
Т4.2.1,РФ,…,…,…,…,"2,42","3,78",,,
Т4.2.1,РО,…,…,…,…,"2,05","2,76",,,
Т4.2.2,РФ,"20,1","20,9","22,2","24,2","25,2","26,92",,,
Т4.2.2,ЮФО,…,…,"19,5","20,4","20,2","22,02",,,
Т4.2.2,РО,…,…,"20,9","21,1","20,8","22,32",,,
Т4.2.3,РФ,…,…,"43,3","43,6","45,9","46,2",,,
Т4.2.3,ЮФО,…,…,"46,5","47,1","49,3","49,3",,,
Т4.2.3,РО,…,…,"51,2","51,5","54,3","53,9",,,
Т4.2.4,РФ,…,…,"32,7","32,2","32,3",32,,,
Т4.2.4,ЮФО,…,…,"29,4",29,"28,5","27,6",,,
Т4.2.4,РО,…,…,"37,4","37,1","37,2","36,6",,,
Т4.2.5,РФ,…,…,…,…,"26,4","17,8",,,
Т4.2.5,РО,…,…,…,…,"22,6","15,2",,,
Т4.2.6,РФ,"92,3","93,4","93,9","93,5",94,"94,3",,,
Т4.2.6,ЮФО,…,…,"92,5","92,3",93,"93,9",,,
Т4.2.6,РО,…,…,"96,1","94,7","95,3","95,3",,,
Т4.3.1,РФ,1508,1510,1499,1483,1515,1592,1453,,
Т4.3.2,РФ,"177,5","182,1","185,8","185,2","179,3","177,8","169,5",,
Т4.3.3,РФ,15715,15873,15989,16097,15955,16189,15745,,
Т4.3.3,РО,12139,12232,12281,12307,12153,12082,11711,,
Т4.4.1,РФ,"90,5","90,4","92,5","94,5","91,3","96,3",,,
Т4.4.2,РФ,92,"95,2","96,7","97,1","95,4","96,6",,,
Т4.4.3,РФ,"23,6","26,7",28,"29,3","31,8","31,8",,,
Т4.4.4,РФ,"83,3","87,9","90,2","91,4","90,3","89,1",,,
Т4.5.1,РО,1264,1259,1249,1247,1240,1236,1229,,
Т4.5.2,РО,407,"417,9","425,5","433,4","439,6","449,6","464,4",,
Т4.5.3,РО,51964,52657,53002,53155,53289,51873,51494,,
Т4.6.1,РО,21752,22476,22379,22311,23538,22908,22492,,
Т4.6.2,РО,72088,74047,76115,80214,85465,87634,89723,,
Т4.6.3,РО,138584,134514,136425,133154,132256,129812,130472,,
Т4.7.1,РО,7345,7567,6983,6652,5764,6596,6594,,
Т4.7.2,РО,15040,16930,17117,17223,18025,18311,20022,,
Т4.7.3,РО,39524,32096,31641,30497,29257,27648,26427,,
Т4.9.1,РФ,"74,3","75,5","77,3","75,5","75,4","77,5",,,
Т4.9.1,ЮФО,"74,3","77,5","77,3",73,"74,7","77,3",,,
Т4.9.1,РО,"80,7","80,1","83,2","80,4","80,2","78,8",,,
Т4.9.2,РФ,"94,7","94,1","94,2","92,9","92,2","93,3",,,
Т4.9.2,ЮФО,"96,4","95,5","94,8","93,7","93,6","92,2",,,
Т4.9.2,РО,"99,2",95,"96,2","97,7","96,7","95,5",,,
