ЦУР,2016,2017,2018,2019,2020,2021,2022,Model,2023_forecast,2024_forecast
3.7.1 (возраст 25-29 лет),82.7,78.4,80.2,84.0,80.1,80.1,80.1,arch,80.74371222314852,80.74371222314852
3.7.1 (возраст 30-34 лет),67.1,62.7,60.7,61.0,54.2,54.2,54.2,arch,58.85657492718087,58.85657492718087
3.7.1 (возраст 35-39 лет),33.1,31.7,31.9,33.4,29.9,29.9,29.9,arch,31.444660864404824,31.444660864404824
3.c.1,89.5,88.5,88.2,88.2,87.6,85.4,85.4,arch,87.75477214041723,87.75477214041723
Т3.2.1,35.4,39.7,42.2,47.2,26.2,29.8,44.4,arima,37.84285714285714,37.84285714285714
Т3.2.2,34.9,39.2,44.8,48.7,49.6,52.4,52.4,arch,51.04898836061349,51.04898836061349
Т3.2.3,58.0,58.0,58.0,58.0,57.1,57.0,59.0,exp,57.87144352664878,57.87144352664878
Т3.2.4,72.2,73.0,73.2,73.7,72.0,69.8,72.01,arima,72.27285714285715,72.27285714285715
Т3.2.5,12.2,12.2,12.2,12.2,7.5,23.7,9.7,arch,12.49127014769083,12.49127014769083
Т3.6.1,36.8,49.6,39.9,45.0,22.9,14.5,23.4,exp,22.03875410062804,22.03875410062804
Т3.6.2,39.9,40.5,35.0,30.9,25.3,25.2,28.4,arch,31.484923942011793,31.484923942011793
Т3.6.3,1.0,0.0,7.0,1.0,1.0,5.0,2.0,arima,2.4285714285714284,2.4285714285714284
Т3.6.4,2.15,2.08,1.49,1.07,1.0,1.3,1.7,arima,1.754724959166723,1.8988481262938994
Т3.6.5,116.0,143.0,88.0,77.0,33.0,64.0,109.0,arch,89.54012856776575,89.54012856776575
Т3.6.6,9.0,9.0,18.0,15.0,5.0,6.0,5.0,exp,9.571425217015372,9.571425217015372
Т3.6.7,6.0,1.0,4.0,10.0,5.5,1.0,4.0,arima,4.5,4.5
Т3.6.8,600.0,423.0,356.0,280.0,174.0,103.0,125.0,exp,124.99999967217447,124.99999967217447
Т3.6.9,23.2,24.5,24.5,31.1,21.2,23.2,23.9,arch,24.511337840725915,24.511337840725915
Т3.6.10,9.3,9.7,10.6,8.9,7.4,7.9,7.7,arch,8.79816123510555,8.79816123510555
Т3.6.11,37.2,30.7,29.7,29.9,23.2,30.1,25.2,arima,29.428571428571427,29.428571428571427
Т3.3.1,37.4,37.5,37.5,37.1,38.7,39.1,39.1,arch,37.613736895771524,37.613736895771524
Т3.4.5,89.5,88.5,88.2,88.2,87.6,85.4,85.4,arch,87.75477214041723,87.75477214041723
Т3.5.1,37.4,37.5,37.5,37.1,38.7,39.1,39.1,arch,37.613736895771524,37.613736895771524
Т3.5.2,89.5,88.5,88.2,88.2,87.6,85.4,85.4,arch,87.75477214041723,87.75477214041723
Т3.7.1,184.5,177.9,184.1,188.3,188.9,188.1,188.1,exp,188.05143121151013,188.05143121151013
Т3.7.2,639.8,620.0,621.9,610.0,675.0,711.7,711.7,arch,631.9883355202509,631.9883355202509
Т3.7.3,15.9,12.7,10.9,10.4,8.7,9.7,9.7,arch,10.158206591887618,10.158206591887618
Т3.7.4,2.1,1.5,1.3,1.2,1.0,1.1,1.1,exp,1.1,1.1
Т3.8.1,10.7,11.6,10.9,11.5,11.4,10.8,10.8,arch,11.094920887944541,11.094920887944541
Т3.8.2,39.8,33.3,32.2,34.1,60.3,96.6,96.6,arch,53.77705966946002,53.77705966946002
Т3.8.3,6.9,3.7,3.7,3.3,2.9,4.6,4.6,arch,4.144631041398843,4.144631041398843
Т3.8.4,7.73,7.73,7.73,6.14,6.21,6.26,6.26,exp,6.259896942819049,6.259896942819049
Т3.9.1,7.8,7.7,6.5,5.7,6.5,7.8,7.8,arch,7.1163865856777,7.1163865856777
Т3.9.2,1.88,1.49,1.46,2.15,1.78,2.59,2.59,arch,1.9656498735674606,1.9656498735674606
Т3.10.1,489.5,448.2,444.5,428.7,493.0,579.9,579.9,arima,524.8169633335415,490.71720580908163
Т3.10.2,8.2,4.6,7.3,13.3,2.7,27.9,27.9,arch,10.118478946847071,10.118478946847071
Т3.10.3,7.8,7.7,6.5,5.7,6.5,7.8,7.8,arch,7.1163865856777,7.1163865856777
Т3.10.4,6.6,6.5,5.1,4.8,5.5,6.5,6.5,exp,6.5,6.5
Т3.13.1,16.8,14.2,13.2,10.5,10.23,10.6,10.3,exp,10.300000004470348,10.300000004470348
Т3.13.2,6108.0,5838.0,4860.0,3861.0,28423.0,2695.0,2991.0,exp,6167.39732945376,6167.39732945376
Т3.13.3,4979.0,4626.0,3925.0,3065.0,23513.0,2281.0,2492.0,exp,5028.574198278696,5028.574198278696
Т3.13.4,258.0,317.0,244.0,192.0,1803.0,118.0,124.0,exp,419.151079252771,419.151079252771
Т3.13.5,93.0,114.0,112.0,56.0,673.0,63.0,58.0,exp,158.32885009335945,158.32885009335945
Т3.13.6,303.0,399.0,317.0,264.0,2143.0,104.0,152.0,exp,512.8196063714875,512.8196063714875
4.2.1 (I группа здоровья),108986.0,108211.0,40435.0,113799.0,113799.0,113799.0,113799.0,exp,108741.81022248675,108741.81022248675
4.2.1 (II группа здоровья),252743.0,259078.0,260946.0,261005.0,261005.0,261005.0,261005.0,exp,261005.0,261005.0
