ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
3.5.2,РО,"7,73","6,14","6,21","6,26","5,68",,,,
3.6.1,РФ,"13,8579","13,0023","12,409","11,5715","10,8","10,2186","9,6596",,
3.6.1,ЮФО,"17,8031","15,7714","15,321","13,4823","12,6","11,6825","11,2709",,
3.6.1,РО,"16,8083","14,1326","13,1832","10,5293","10,2","10,6169","10,3388",,
3.7.1 (возраст 25-29 лет),РФ,"96,5","91,2","92,6","94,8","90,1",-,-,,
3.7.1 (возраст 25-29 лет),ЮФО,"93,9","89,5","90,1","93,6",87,-,-,,
3.7.1 (возраст 25-29 лет),РО,"82,7","78,4","80,2",84,"80,1",-,-,,
3.7.1 (возраст 30-34 лет),РФ,"76,1","71,6","70,8",71,"65,4",-,-,,
3.7.1 (возраст 30-34 лет),ЮФО,"72,8",69,"68,3",69,"61,4",-,-,,
3.7.1 (возраст 30-34 лет),РО,"67,1","62,7","60,7",61,"54,2",-,-,,
3.7.1 (возраст 35-39 лет),РФ,"39,7","38,7","39,2","40,1","37,6",-,-,,
3.7.1 (возраст 35-39 лет),ЮФО,"36,9","36,2","36,7",38,35,-,-,,
3.7.1 (возраст 35-39 лет),РО,"33,1","31,7","31,9","33,4","29,9",-,-,,
3.7.2  (10-14 лет),РФ,"0,08","0,07","0,06","0,1","0,1","0,1","0,1",,
3.7.2  (15-19 лет),РФ,"21,5","18,4","16,1","14,6","14,1","13,5","13,4",,
3.8.2,РФ,,,,"1,3","0,9","1,3","1,2",,
3.8.2,РФ,,,,"7,2","7,7","8,2","7,4",,
3.8.2,РФ,,,,"1,3","0,9","1,3","1,2",,
3.8.2,РФ,,,,"7,2","7,7","8,2","7,4",,
3.b.3,"РФ, ед.",6559,6381,6228,5985,5842,5720,5578,,
3.b.3,"ЮФО, ед.",698,690,664,654,642,637,,,
3.b.3,"РО, ед.",175,172,168,167,162,161,153,,
3.c.1,РФ,"104,8","103,8","101,6","101,6",102,"100,8",,,
3.c.1,ЮФО,"96,3","96,6","94,2","93,4","93,7","91,9",,,
3.c.1,РО,"89,5","88,5","88,2","88,2","87,6","85,4",,,
Т3.2.1,РФ,...,"39,7","42,2","47,2","26,3","34,7",...,,
Т3.2.1,ЮФО,...,"37,3",38,"46,7",...,...,...,,
Т3.2.1,РО,"35,4","39,7","42,2","47,2","26,2","29,8","44,4",,
Т3.2.2,РФ,"34,2","36,8","39,8",43,"45,4","49,4",...,,
Т3.2.2,ЮФО,...,...,...,"45,4","47,4",...,...,,
Т3.2.2,РО,"34,9","39,2","44,8","48,7","49,6","52,4",...,,
Т3.2.3,РФ,...,...,...,"60,3","58,9","59,4","59,8",,
Т3.2.3,ЮФО,...,...,...,60,"58,8","59,6","60,2",,
Т3.2.3,РО,...,...,...,58,"57,1",57,59,,
Т3.2.4,РФ,"71,9","72,7","72,9","73,3","71,5","70,1","72,81",,
Т3.2.4,ЮФО,"72,3","73,2","73,5","73,7","72,1","70,2","72,71",,
Т3.2.4,РО,"72,2",73,"73,2","73,7",72,"69,8","72,01",,
Т3.2.5,РФ,–,–,–,12,"9,1","7,3","7,2",,
Т3.2.5,ЮФО,–,–,–,"17,2","12,1","13,4","10,7",,
Т3.2.5,РО,–,–,–,"12,2","7,5","23,7","9,7",,
Т3.6.1,РФ,"59,2","58,4","58,6","54,6","41,1","40,3",...,,
Т3.6.1,ЮФО,...,...,"41,7","41,8",...,...,...,,
Т3.6.1,РО,"36,8","49,6","39,9",45,"22,9","14,5","23,4",,
Т3.6.2,РФ,"53,3","48,3","44,4","41,2","32,4","31,1",...,,
Т3.6.2,ЮФО,"50,8","48,5","43,2","42,3","32,3","31,6",...,,
Т3.6.2,РО,"39,9","40,5",35,"30,9","25,3","25,2","28,4",,
Т3.6.3,РФ,100,93,148,108,58,94,...,,
Т3.6.3,РО,1,0,7,1,1,5,2,,
Т3.6.4,РФ,"0,94","0,86","0,67","0,57","0,3","0,3",...,,
Т3.6.4,ЮФО,"1,4","1,47","0,94","0,86",...,...,...,,
Т3.6.4,РО,"2,15","2,08","1,49","1,07",1,"1,3","1,7",,
Т3.6.5,РФ,22450,19510,18626,16981,9516,8783,...,,
Т3.6.5,РО,116,143,88,77,33,64,109,,
Т3.6.6,РФ,413,16,489,451,233,281,...,,
Т3.6.6,РО,9,9,18,15,5,6,5,,
Т3.6.7,РФ,20846,18755,19077,19597,9932,8909,...,,
Т3.6.7,РО,6,1,4,10,-,1,4,,
Т3.6.8,РО,600,423,356,280,174,103,125,,
Т3.6.9,РФ,41,"40,4","40,3",40,"34,5","36,9",...,,
Т3.6.9,РО,"23,2","24,5","24,5","31,1","21,2","23,2","23,9",,
Т3.6.10,РФ,"11,1","11,2","10,2","9,9","8,5","9,5",...,,
Т3.6.10,ЮФО,...,"7,9","7,8","6,5","5,5","5,9",...,,
Т3.6.10,РО,"9,3","9,7","10,6","8,9","7,4","7,9","7,7",,
Т3.6.11,РФ,"64,8","53,2","51,6","48,3","37,6","36,6",...,,
Т3.6.11,ЮФО,...,"38,3","35,3","39,1",...,...,...,,
Т3.6.11,РО,"37,2","30,7","29,7","29,9","23,2","30,1","25,2",,
Т3.3.1,РФ,"46,4","47,5","47,9","48,7","50,4",51,...,,
Т3.3.1,ЮФО,42,"43,2","43,6","43,3","44,6","44,8",...,,
Т3.3.1,РО,"37,4","37,5","37,5","37,1","38,7","39,1",...,,
Т3.4.1,РФ,...,...,726,429,125,...,...,,
Т3.4.1,РО,...,...,7,3,8,...,...,,
Т3.4.2,РФ,...,...,...,...,...,"99,73",...,,
Т3.4.2,РО,...,...,...,...,...,"99,44",...,,
Т3.4.5,РФ,"104,8","103,8","101,6","101,6",102,"100,8",...,,
Т3.4.5,ЮФО,"96,3","96,6","94,2","93,4","93,7","91,9",...,,
Т3.4.5,РО,"89,5","88,5","88,2","88,2","87,6","85,4",...,,
Т3.5.1,РО,"37,4","37,5","37,5","37,1","38,7","39,1",...,,
Т3.5.2,РО,"89,5","88,5","88,2","88,2","87,6","85,4",...,,
Т3.7.1,РФ,"204,3","200,6",203,"203,5",202,"194,1",...,,
Т3.7.1,ЮФО,"203,3","198,9","200,3","196,4","197,2","192,9",...,,
Т3.7.1,РО,"184,5","177,9","184,1","188,3","188,9","188,1",...,,
Т3.7.2,РФ,"616,4","587,6","583,1","573,2","640,8","640,3",...,,
Т3.7.2,ЮФО,"647,1","634,3","612,3","597,4","667,1",669,...,,
Т3.7.2,РО,"639,8",620,"621,9",610,675,"711,7",...,,
Т3.7.3,РФ,"7,8","6,5","5,9","5,1","4,7","4,3",...,,
Т3.7.3,ЮФО,"10,9","9,1","8,2","7,4","6,5","6,7",...,,
Т3.7.3,РО,"15,9","12,7","10,9","10,4","8,7","9,7",...,,
Т3.7.4,РФ,"5,2","4,6","4,2",4,"3,7","4,2",...,,
Т3.7.4,ЮФО,"2,8",2,"1,5","1,8","1,6","1,7",...,,
Т3.7.4,РО,"2,1","1,5","1,3","1,2",1,"1,1",...,,
Т3.8.1,РФ,"21,5","25,2","27,4",28,"35,4","30,5",...,,
Т3.8.1,ЮФО,15,"17,5","17,5","22,1","27,2","27,1",...,,
Т3.8.1,РО,"10,7","11,6","10,9","11,5","11,4","10,8",...,,
Т3.8.2,РФ,48,"42,2","41,6","40,3","65,9","78,7",...,,
Т3.8.2,ЮФО,"36,6",32,"33,6","35,7","59,1","88,4",...,,
Т3.8.2,РО,"39,8","33,3","32,2","34,1","60,3","96,6",...,,
Т3.8.3,РФ,"15,8","13,8","12,4","11,7","11,3","10,7",...,,
Т3.8.3,ЮФО,"10,4","8,4","7,3","7,7","6,5","6,8",...,,
Т3.8.3,РО,"6,9","3,7","3,7","3,3","2,9","4,6",...,,
Т3.8.4,РФ,...,...,"9,43","9,06","9,13","9,03",...,,
Т3.8.4,ЮФО,...,...,"7,06","6,94","7,01","6,9",...,,
Т3.8.4,РО,...,...,"7,73","6,14","6,21","6,26",...,,
Т3.9.1,РФ,"7,4","6,9","6,3",6,"5,5","5,8",...,,
Т3.9.1,ЮФО,7,"6,4","5,6","5,4","5,7","6,2",...,,
Т3.9.1,РО,"7,8","7,7","6,5","5,7","6,5","7,8",...,,
Т3.9.2,РФ,"2,18","1,94","1,72","1,67","1,59","1,56",...,,
Т3.9.2,ЮФО,"1,78","1,59","1,54","1,51","1,82","1,94",...,,
Т3.9.2,РО,"1,88","1,49","1,46","2,15","1,78","2,59",...,,
Т3.10.1,РФ,"525,3","484,5","482,2",470,"548,2","604,6",...,,
Т3.10.1,ЮФО,"498,3","453,5","445,9","441,4","510,6","583,6",...,,
Т3.10.1,РО,"489,5","448,2","444,5","428,7",493,"579,9",...,,
Т3.10.2,РФ,10,"8,8","9,1",9,"11,2","34,5",...,,
Т3.10.2,ЮФО,"7,9",6,"6,3","8,7","11,5",42,...,,
Т3.10.2,РО,"8,2","4,6","7,3","13,3","2,7","27,9",...,,
Т3.10.3,РФ,"7,4","6,9","6,3",6,"5,5","5,8",...,,
Т3.10.3,ЮФО,7,"6,4","5,6","5,4","5,7","6,2",...,,
Т3.10.3,РО,"7,8","7,7","6,5","5,7","6,5","7,8",...,,
Т3.10.4,РФ,6,"5,6","5,1","4,9","4,5","4,6",...,,
Т3.10.4,ЮФО,"5,6","5,1","4,6","4,3","4,6","5,1",...,,
Т3.10.4,РО,"6,6","6,5","5,1","4,8","5,5","6,5",...,,
Т3.13.1,РФ,"13,8",13,"12,4","11,6","10,83","10,2","9,7",,
Т3.13.1,ЮФО,"17,8","15,8","15,3","13,5","12,63","11,7","11,3",,
Т3.13.1,РО,"16,8","14,2","13,2","10,5","10,23","10,6","10,3",,
Т3.13.2,РФ,221140,215374,214853,210877,1751703,167856,159635,,
Т3.13.2,ЮФО,23637,23277,23284,23145,193133,18401,17972,,
Т3.13.2,РО,6108,5838,4860,3861,28423,2695,2991,,
Т3.13.3,РФ,173694,169432,168099,164358,1376623,133331,126705,,
Т3.13.3,ЮФО,19100,18518,18290,17793,152153,14603,14352,,
Т3.13.3,РО,4979,4626,3925,3065,23513,2281,2492,,
Т3.13.4,РФ,15669,14972,15166,14689,140013,11760,11729,,
Т3.13.4,РО,258,317,244,192,1803,118,124,,
Т3.13.5,РФ,4569,4336,4296,4050,39703,3411,3445,,
Т3.13.5,РО,93,114,112,56,673,63,58,,
Т3.13.6,РФ,21315,20300,20629,20044,185013,15372,15115,,
Т3.13.6,РО,303,399,317,264,2143,104,152,,
