ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
3.1.1,РФ,10,"8,8","9,1",9,"11,2","34,5",13,,
3.1.1,ЮФО,"7,9",6,"6,3","8,7","11,5",42,"9,9",,
3.1.1,РО,"8,2","4,6","7,3","13,3","2,7","27,9","12,3",,
3.1.2,РФ,"99,7","99,7","99,7","99,7","99,6","99,7","99,7",,
3.2.1,РФ,"7,4","6,9","6,3",6,"5,5","5,8","5,6",,
3.2.1,ЮФО,7,"6,4","5,6","5,4","5,7","6,2","5,7",,
3.2.1,РО,"7,8","7,7","6,5","5,7","6,5","7,8","6,3",,
3.2.2,РФ,"2,18","1,94","1,72","1,67","1,59","1,56","1,43",,
3.2.2,ЮФО,"1,78","1,59","1,54","1,51","1,82","1,94","1,8",,
3.2.2,РО,"1,88","1,49","1,46","2,15","1,78","2,59","1,66",,
3.3.1,РФ,"59,3","58,4","58,6","54,6","41,2","40,2","38,1",,
3.3.1,ЮФО,"41,9",-,"41,7","41,8","30,4",-,-,,
3.3.1,РО,"36,8","49,5","39,9",45,28,"22,2",29,,
3.3.2,РФ,"53,3","48,3","44,4","41,2","32,3","31,1",31,,
3.3.2,ЮФО,"50,9","48,5","43,2","42,3","32,3","31,5",-,,
3.3.2,РО,"39,9","40,5",35,"30,9","25,3","25,1","28,3",,
3.3.3,РФ,100,93,148,108,58,94,113,,
3.3.3,ЮФО,3,13,21,16,6,12,20,,
3.3.3,РО,1,0,7,1,1,5,2,,
3.3.4,РФ,"0,94","0,86","0,6728","0,57","0,35","0,31","0,29",,
3.3.4,ЮФО,"1,4","1,47","0,9431","0,86","0,36","0,3","0,42",,
3.3.4,РО,"2,15","2,08","1,4908","1,07","0,31","0,6","0,53",,
3.4.1a,РФ,"21,5","25,2","27,4",28,"35,4","30,5",,,
3.4.1a,ЮФО,15,"17,5","17,5","22,1","27,2","27,1",,,
3.4.1a,РО,"10,7","11,6","10,9","11,5","11,4","10,8",,,
3.4.1b,РФ,"47,95","42,24","41,6","40,3","65,9","78,65","55,55",,
3.4.1b,ЮФО,"36,63","32,01","33,6","35,7","59,1","88,39","58,48",,
3.4.1b,РО,"39,8","33,3","32,2","34,1","60,3","96,6","83,5",,
3.4.2,РФ,"15,76","13,81","12,4","11,7","11,3","10,71","9,24",,
3.4.2,ЮФО,"10,38","8,45","7,3","7,7","6,5","6,84","6,13",,
3.4.2,РО,"6,9","3,71","3,7","3,3","2,9","4,56","3,97",,
3.5.1,РФ,"11,1","11,2","10,2","9,9","8,5","9,5","9,5",,
3.5.1,ЮФО,"7,9","7,9","7,8","6,5","5,5","5,9",,,
3.5.1,РО,"9,3","9,7","10,6","8,9","7,4","7,8","7,7",,
3.5.2,РФ,"9,43","9,06","9,13","9,03","8,62",,,,
3.5.2,ЮФО,"7,06","6,94","7,01","6,9","6,4",,,,
