ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
13.1.1 пострадавшие,РФ,130959,36483,57477,120911,6257,93130,235274,,
13.1.1 пострадавшие,ЮФО,5604,9102,6450,350,493,4113,,,
13.1.1 пострадавшие,РО,135,648,50,61,281,235,,,
13.1.1 погибшие,РФ,788,556,717,532,326,529,199,,
13.1.1 погибшие,ЮФО,201,80,118,80,75,86,,,
13.1.1 погибшие,РО,77,12,21,20,15,30,,,
13.2.2,"РФ, млн тонн эквивалента CO₂",2034,"2082,6","2145,2","2136,5","2061,1","2156,6",,,
13.2.2,"РФ, тыс. тонн",17349,17477,17068,17295,16952,17208,,,
13.2.2,"ЮФО, тыс. тонн",748,909,1097,885,930,992,,,
13.2.2,"РО, тыс. тонн",169,195,57,158,175,177,,,
13.2.2,"РФ, тыс. тонн",49237,50741,46749,52014,44126,47214,,,
13.2.2,"ЮФО, тыс. тонн",2480,2625,1001,2138,2037,2042,,,
13.2.2,"РО, тыс. тонн",978,1165,58,849,730,861,,,
13.2.2 (Число исследованных проб воздуха - всего ),"РФ, ед.",1205020,1144356,1096879,1219080,1416763,1337684,,,
13.2.2 (Число исследованных проб воздуха - всего ),"ЮФО, ед.",156150,147296,152028,165215,171434,176423,,,
13.2.2 (Число исследованных проб воздуха - всего ),"РО, ед.",42248,41584,30779,31215,32570,30586,,,
"13.2.2(из них превышающих предельно допустимую концентрацию, ВСЕГО)","РФ, ед.",10056,7850,7442,7053,10978,10529,,,
"13.2.2(из них превышающих предельно допустимую концентрацию, ВСЕГО)","ЮФО, ед.",685,645,599,412,456,117,,,
"13.2.2(из них превышающих предельно допустимую концентрацию, ВСЕГО)","РО, ед.",242,343,194,175,88,43,,,
13.2.2 (в процентах от общего числа исследован-ных проб),"РФ, %","0,8","0,7","0,7","0,6","0,8","0,8",,,
13.2.2 (в процентах от общего числа исследован-ных проб),"ЮФО, %","0,4","0,4","0,4","0,2","0,3","0,1",,,
13.2.2 (в процентах от общего числа исследован-ных проб),"РО, %","0,6","0,8","0,6","0,6","0,3","0,1",,,
"13.3.2 (Площадь лесных земель, пройденная пожарами)","РФ, га",2 118 268,3 257 698,7 332 215,8 641 138,6 945 493,8 122 090,,,
"13.3.2 (Площадь лесных земель, пройденная пожарами)","ЮФО, га","256,23","5 637,77","453,69","3 799,16","4 703,86","734,47",,,
"13.3.2 (Площадь лесных земель, пройденная пожарами)","РО, га","1,3","4 535,01","86,8",,"2 314,29","47,8",,,
"13.3.2 (Площадь нелесных земель, пройденная пожарами)","РФ, га",298 387,1 346 923,1 210 070,1 368 634,2 181 870,1 806 065,,,
"13.3.2 (Площадь нелесных земель, пройденная пожарами)","ЮФО, га","23,78","384,82","32,33","23,29","94,86","25,64",,,
"13.3.2 (Площадь нелесных земель, пройденная пожарами)","РО, га",,"300,5","2,2",,"39,5",,,,
