ЦУР,1.3.1,1.4.1,1.4.2,1.а.2 Социальная политика,1.b.1,Т.1.3.1,Т.1.4.1,Т.1.4.2,Т.1.5 Все население,Т.1.5 Трудоспособное население,Т.1.5 Пенсионеры,Т.1.5 Дети,11.1.1,11.2.1 (%),11.7.1 (%),11.7.1 (шт),11.а.1,11.с.1,3.4.1b,Т3.2.2,Т3.3.1,Т3.5.1,Т3.7.2,Т3.8.2,Т3.9.2,Т3.10.1,Т3.10.2,4.2.1 (I группа здоровья),4.2.1 (II группа здоровья),4.2.1 (IV группа здоровья),4.2.1 (V группа здоровья),4.3.1,Т4.3.3,Т4.5.2,Т4.5.3,Т4.6.1,Т4.6.2,Т4.7.2
11.2.1 (%),0.9468212642378382,0.9600330136460961,0.854669673721506,0.7296879642978885,0.8799973537085843,0.68469441472933,0.9635185992842892,0.8563234574697611,0.9203926514659121,0.9086200736978839,0.9241637300671577,0.9380058510552882,0.7573327897584727,1.0,0.8124631646421195,0.9339181763604975,0.9600330136460961,0.9393056435781226,0.9109885069213349,0.9630780530503565,0.8978319321844157,0.8978319321844157,0.8880632392630785,0.9233125706260225,0.8765351351077445,0.8430271670657253,0.8562919253070176,0.5113441730229449,0.7782503889389502,0.5066004822600099,0.8658305186846095,0.884877484403768,0.8386305382742387,0.8696069386707346,0.831042495521943,0.619546091075535,0.8896615999187335,0.760008608707413
11.7.1 (%),0.9331589769175453,0.9108326014731674,0.8901458186462833,0.6841899412805946,0.98121405546714,0.5373056572706123,0.9329525633870008,0.8883141665351967,0.9611528610818564,0.9689812988190193,0.9612018378891454,0.9461481599295523,0.495347975004539,0.8124631646421195,1.0,0.9003383117955044,0.9108326014731674,0.8970753300051136,0.7408681101763361,0.717837635845263,0.7656318169978025,0.7656318169978025,0.7758544760899745,0.8129106655658641,0.7573757742147216,0.7839912082216175,0.8008402373964695,0.47480886226439156,0.6497924746260557,0.5155370904161007,0.6896675905178896,0.6981364801130711,0.6761154330994773,0.6902466174201367,0.6726361982804302,0.5835971103112957,0.699023385628043,0.6466224777568623
11.7.1 (шт),0.95523968970775,0.9188900307633642,0.776981002834894,0.6778458447651363,0.9527612117298931,0.5766419921405045,0.9677701514229168,0.8906879296953841,0.960832957737673,0.9551234036040496,0.97364485130371,0.9731690329411559,0.7224177854905894,0.9339181763604975,0.9003383117955044,1.0,0.9188900307633644,0.9872069358338742,0.95387963966538,0.8233173148605636,0.9569955047559457,0.9569955047559457,0.9667891236132152,0.9815008867400832,0.8700998319642254,0.9523327168675269,0.8712557414748597,0.5820988071543675,0.6618054943628623,0.4531343360228953,0.7421238775048402,0.7660478617741521,0.7129502720202353,0.7446776071665869,0.7058345307375264,0.5532516499786406,0.7720454948506059,0.6546630826276435
11.а.1,0.9735541379036411,1.0,0.9456741344481546,0.7334507147555392,0.9415778411944624,0.6586169413605473,0.9852534688837107,0.8897227241858351,0.9694775280356852,0.9651221792435952,0.9644914045908934,0.9709196732401143,0.640076377041476,0.9600330136460961,0.9108326014731674,0.9188900307633644,1.0,0.9313775718443612,0.8251500656627536,0.9289102254047178,0.821256654128485,0.821256654128485,0.810893502678961,0.865827483677749,0.8582107382344569,0.7782472488277777,0.847643076825074,0.5380396877372422,0.7827354190745863,0.5402311281216562,0.8548214205276525,0.8692699616500986,0.8316695630040634,0.856693381454594,0.8254184215819442,0.6537810417661256,0.8714054190896908,0.7724519116350407
11.с.1,0.9781801667528441,0.9313775718443612,0.8073977325336589,0.6530061944202362,0.9435417667417637,0.6334620452519002,0.9767037770469846,0.9449591742813213,0.9537744975109398,0.948337910980242,0.9745561727198286,0.9639991410861708,0.6889419062211701,0.9393056435781226,0.8970753300051136,0.9872069358338742,0.9313775718443612,1.0,0.9517203586064189,0.8335327115928362,0.9166931865045085,0.9166931865045085,0.9409847968893894,0.9783797111039961,0.9218839814107406,0.945723515632159,0.9355827731108937,0.5875359002343574,0.6659441672492643,0.45264698033493034,0.748043127728415,0.772497482537302,0.7182227729102524,0.7506534709944586,0.7109492828386669,0.5549837939035238,0.7786280770743187,0.6586434154682054
3.4.1b,0.8794596523232331,0.8251500656627536,0.6322905944113385,0.6200804056238842,0.8287602792452974,0.6099008070248815,0.8887457436898534,0.8389812995070423,0.8498971329642364,0.8366561604649498,0.876775440240123,0.8774066695815392,0.8111293464862881,0.9109885069213349,0.7408681101763361,0.95387963966538,0.8251500656627536,0.9517203586064189,1.0,0.8029103487451872,0.9642945637949645,0.9642945637949645,0.983638922136243,0.992709707811304,0.8866526662257985,0.9729546180265994,0.8741263794900809,0.6133517862940681,0.6287053629304395,0.41171901222103613,0.7212102709412042,0.7514769972715846,0.6867213435337022,0.7245671451107284,0.6784800643285023,0.5142917278709159,0.7599079531256128,0.6207965252118385
Т3.2.2,0.8648482164790045,0.9289102254047178,0.8586370115660696,0.7916572637389057,0.7971391326854974,0.756908897534661,0.8947921142535278,0.7667869205879668,0.8337935641406806,0.8195313892528785,0.8276123448074589,0.8526768531108191,0.750037249057287,0.9630780530503565,0.717837635845263,0.8233173148605636,0.9289102254047178,0.8335327115928362,0.8029103487451872,1.0,0.8036286181518064,0.8036286181518064,0.7587790002757713,0.8064082674300139,0.7753146710853109,0.6871042906643308,0.7561492181041368,0.4449959224566267,0.8683932880735191,0.6109877234432085,0.9278437427059835,0.9317580951828606,0.9129739263092351,0.9296009300419776,0.9079899791883229,0.7218471778657607,0.9305537394881929,0.8522816525478287
Т3.3.1,0.8443294082424979,0.821256654128485,0.6268296294100265,0.703625782510403,0.8588078857513409,0.5597028999391988,0.8792407182833089,0.7584773234147213,0.8624135418065504,0.8502437900273565,0.8737936140663498,0.8897950052791954,0.8324930699391253,0.8978319321844157,0.7656318169978025,0.9569955047559457,0.821256654128485,0.9166931865045085,0.9642945637949645,0.8036286181518064,1.0,1.0,0.983018922735447,0.9650169285550345,0.7699324067545562,0.9377482110564641,0.7571034988804485,0.5568018658748108,0.664821215862251,0.47227955209398403,0.7351582549458368,0.7550193236844683,0.7099079437824626,0.7371743883387913,0.7036935874568838,0.5658240375689942,0.7596031381381436,0.6586866128036992
Т3.5.1,0.8443294082424979,0.821256654128485,0.6268296294100265,0.703625782510403,0.8588078857513409,0.5597028999391988,0.8792407182833089,0.7584773234147213,0.8624135418065504,0.8502437900273565,0.8737936140663498,0.8897950052791954,0.8324930699391253,0.8978319321844157,0.7656318169978025,0.9569955047559457,0.821256654128485,0.9166931865045085,0.9642945637949645,0.8036286181518064,1.0,1.0,0.983018922735447,0.9650169285550345,0.7699324067545562,0.9377482110564641,0.7571034988804485,0.5568018658748108,0.664821215862251,0.47227955209398403,0.7351582549458368,0.7550193236844683,0.7099079437824626,0.7371743883387913,0.7036935874568838,0.5658240375689942,0.7596031381381436,0.6586866128036992
Т3.7.2,0.8671259103187949,0.810893502678961,0.6176119078255451,0.621640352741087,0.8513802260675517,0.5243400549458898,0.8825565245042097,0.8013231948154405,0.8694236759947825,0.8590266057826574,0.8888194656320245,0.8936237114884047,0.8011208321942499,0.8880632392630785,0.7758544760899745,0.9667891236132152,0.810893502678961,0.9409847968893894,0.983638922136243,0.7587790002757713,0.983018922735447,0.983018922735447,1.0,0.9868777519774271,0.8390142744063922,0.9824363846550932,0.8204989338789543,0.5940667978301061,0.5925885079991418,0.38797483772254115,0.6852998362486268,0.7168227250323576,0.6507121043317499,0.6891766178032729,0.6424406227481173,0.4805269310762568,0.726290465635447,0.583264822433104
