ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022,2023,2024
15.1.1,РФ %,"46,4","46,4","46,5","46,4","46,4","46,4","46,4",,
15.1.1,ЮФО %,"6,5","6,5","6,4","6,5","6,5","6,5","6,5",,
15.1.1,РО %,"2,4","2,4","2,4","2,4","2,4","2,4","2,4",,
15.1.2,РФ %,"12,4","12,4","13,9","13,9",14,"14,1","14,3",,
15.1.2,ЮФО %,9,9,"9,1","8,9","9,2","9,4","9,3",,
15.1.2,РО %,"2,3","2,3","2,3","2,3","2,3","2,3","2,3",,
15.2.1,РФ %,"60,5","68,9",73,"80,7","94,3","110,7309","119,24",,
15.2.1,ЮФО %,,,"84,3","129,7","161,5","238,097","286,4097",,
15.2.1,РО %,,,"37,7","102,9","256,4","578,0347","283,38",,
15.3.1,"РФ, га","92 051,8081","98 672,87","59 397,4533",102225,"106 750,322","139 752,7132","193 691,7",,
15.3.1,Республика Адыгея (Адыгея),"4,055",0,"31,7371","539,37","56,1882","55,5615","186,1312",,
15.3.1,Республика Калмыкия,"310,7296","59,97","63,88","70,722","73,1139","98,2004","93,0849",,
15.3.1,Республика Крым,0,"9,17",0,"5 410,864","214,074","41,0646","190,7076",,
15.3.1,Краснодарский край,621,"546,67","515,4351","4 063,552","516,4932","350,1287","63 530,98",,
15.3.1,Астраханская область,"68,0236","151,28","46,3709","886,6431","478,532","153,5528","138,931",,
15.3.1,Волгоградская область,"368,531","1 477,07","183,61",,"642,289","1 111,8585","1 547,824",,
15.3.1,Ростовская область,0,"380,26","91,31","3 194,276","138,0392","157,044","201,0237",,
15.3.1,Город федерального зачения Севастополь,0,,,"10,84",0,"23,7",6,,
15.3.1,"РО, га",0,"380,26","91,31","3 194,276","138,0392","157,044","201,0237",,
15.а.1,"РФ, тыс. руб.",,422 125,513 894,639 317,738 129,1 023 371,,,
15.а.1,"ЮФО, тыс. руб.",,42 919,27 676,57 290,5 929,21 444,,,
15.а.1,"РО, тыс. руб.",,0,0,0,,,,,
15.а.2,"РФ, тыс. руб.",,422 125,513 894,639 317,738 129,1 023 371,,,
15.а.2,"ЮФО, тыс. руб.",,42 919,27 676,57 290,5 929,21 444,,,
15.а.2,"РО, тыс. руб.",,0,0,0,,,,,
