ЦУР,Субъект,2016,2017,2018,2019,2020,2021,2022
6.5.2 (Сбор и очистка сточных вод ),ЮФО,1 153 993,890 728,1 041 937,1 010 150,1 121 381,1 468 792,815 367
6.5.2 (Сбор и очистка сточных вод ),РО,331 835,403 291,439 433,330 915,316 808,331 498,351 056
6.5.2 (Системы оборотного водоснабжения на действующих предприятиях							),РФ,6 314 147,,,,,,
6.5.2 (Системы оборотного водоснабжения на действующих предприятиях							),ЮФО,456 441,,,,,,
6.5.2 (Системы оборотного водоснабжения на действующих предприятиях							),РО,23 541,,,,,,
6.6.1,РФ,,,,"3,3965","8,513","12,8296","17,219"
6.6.1,Волгоградская область,,,,,"0,0277","0,0277","0,0277"
6.6.1,РО,,,,,"0,0085","0,0085","0,0085"
"6.a.1 (Защита и реабилитация земель, поверхностных и подземных вод)",РФ,,1 253 266,1 163 345,1 248 880,1 527 654,1 680 349,
"6.a.1 (Защита и реабилитация земель, поверхностных и подземных вод)",ЮФО,,11 394,12 142,10 606,15 631,29 623,
"6.a.1 (Защита и реабилитация земель, поверхностных и подземных вод)",РО,,720,0,0,,2 079,
6.a.1 (Сбор и очистка сточных вод						),РФ,,61 266 894,64 206 028,66 603 378,69 720 632,71 302 874,
6.a.1 (Сбор и очистка сточных вод						),ЮФО,,6 022 869,6 382 604,7 164 287,7 215 996,7 632 384,
6.a.1 (Сбор и очистка сточных вод						),РО,,2 269 956,2 308 517,2 216 109,2 359 758,2 525 459,
"6.a.1 (Защита и реабилитация земель, поверхностных и подземных вод )",РФ,,15 451 648,15 347 105,16 348 088,16 356 295,17 545 184,
"6.a.1 (Защита и реабилитация земель, поверхностных и подземных вод )",ЮФО,,277 314,313 590,429 869,365 242,359 425,
"6.a.1 (Защита и реабилитация земель, поверхностных и подземных вод )",РО,,16 368,16 736,20 161,13 988,15 333,
6.a.1 (Сбор и очистка сточных вод ),РФ,,163 260 613,173 687 961,174 921 136,181 660 513,187 764 731,
6.a.1 (Сбор и очистка сточных вод ),ЮФО,,10 717 234,11 678 806,12 643 104,12 334 329,12 958 014,
6.a.1 (Сбор и очистка сточных вод ),РО,,2 762 847,2 843 841,2 733 515,2 887 001,3 223 615,
6.b.1,РФ,,,,"0,9348","0,8227","1,142","1,3423"
6.b.1,Республика Адыгея (Адыгея),,,,"0,005",0,,
6.b.1,Республика Калмыкия,,,,0,0,,
6.b.1,Республика Крым,,,,"0,0105","0,0012",,
6.b.1,Краснодарский край,,,,"0,0 127","0,0 105",,
6.b.1,Астраханская область,,,,"0,0091","0,002",,
6.b.1,Волгоградская область,,,,"0,0206","0,0053",,
6.b.1,Ростовская область,,,,"0,0146","0,0027",,
6.b.1,Город федерального зачения Севастополь,,,,0,0,,
6.b.1,РО,,,,"0,0146","0,0027",,
"Т.6.2.5 (Площадь восстановленных водных объектов5, 
тыс. га)",РФ,,,,"3,3965","8,5134","12,8296","17,2190"
"Т.6.2.5 (Площадь восстановленных водных объектов5, 
тыс. га)",РО,,,,,"0,0085","0,0085","0,0085"
"Т.6.2.4 (Доля нормативно очищенной сточной воды3, в %)",РФ,"11,8","12,5","13,4","14,8","18,7","20,4",
"Т.6.2.4 (Доля нормативно очищенной сточной воды3, в %)",РО,"5,81","13,61","14,95","7,74","14,97","20,00","19,00"
Т.6.2.3,РФ,"89,20",,"90,30",,"89,70",,
Т.6.2.3,РО,"91,92",,"92,53",,"87,52",,
Т.6.2.2,РФ,,,"93,21","93,20","93,51","94,00","94,30"
Т.6.2.2,РО,,,"95,90","90,29","89,87","89,90","89,90"
Т.6.2.1,РФ,,,"85,65","85,53","86,54","87,35","87,80"
Т.6.2.1,РО,,,"87,56","78,49","77,97","78,00","78,00"
