ЦУР,1.а.2 Социальная политика,11.1.1,11.3.1,3.4.1a,Т3.8.1,Т3.13.2,Т3.13.3,Т3.13.4,Т3.13.5,Т3.13.6,4.2.1 (II группа здоровья),4.2.1 (IV группа здоровья),4.2.1 (V группа здоровья),4.3.1,Т4.3.3,Т4.5.2,Т4.5.3,Т4.6.1,Т4.6.2,Т4.7.2
1.а.2 Социальная политика,1.0,0.7797351290041349,0.6280095292191871,0.7088721763064881,0.7088721763064881,0.7144429495409509,0.7152061495565069,0.727053458049145,0.7384480841728535,0.7281922774768373,0.963909294296148,0.938709617771052,0.9120572117640231,0.8772788995379391,0.9381305592918027,0.9082589517834238,0.9430717480790934,0.953344904026558,0.8634132689954623,0.9624789051158187
11.1.1,0.7797351290041349,1.0,0.529871674909219,0.6310477892285695,0.6310477892285695,0.8324305271062594,0.8349024877236858,0.837501700946563,0.8456037129729314,0.829610905181813,0.7913547046784818,0.6558852569789841,0.8434974497081209,0.8590289153956551,0.8245579266142607,0.8451553326163427,0.8199383828823443,0.720881480389243,0.8629225825743635,0.7867178464719626
11.3.1,0.6280095292191871,0.529871674909219,1.0,0.8165332502549759,0.8165332502549759,0.6100798410504196,0.6094261484307234,0.6202572197381169,0.6129795883768785,0.6249115579548905,0.7372948338282707,0.6590909222175109,0.7411576098633766,0.7350867074688893,0.7412783757053232,0.7394170824440124,0.7410392971779818,0.7085067180428668,0.730516895129115,0.7396268382498881
3.4.1a,0.7088721763064881,0.6310477892285695,0.8165332502549759,1.0,1.0,0.7932406982015394,0.7905786676046276,0.8006397747206575,0.7887095184468789,0.8070343480481551,0.7588287586864304,0.8032828035513343,0.7162073319831378,0.6997893672877902,0.7281177218458624,0.7099777592761118,0.7318486488702878,0.8284799854963284,0.6899486083775971,0.7822021329546223
Т3.8.1,0.7088721763064881,0.6310477892285695,0.8165332502549759,1.0,1.0,0.7932406982015394,0.7905786676046276,0.8006397747206575,0.7887095184468789,0.8070343480481551,0.7588287586864304,0.8032828035513343,0.7162073319831378,0.6997893672877902,0.7281177218458624,0.7099777592761118,0.7318486488702878,0.8284799854963284,0.6899486083775971,0.7822021329546223
Т3.13.2,0.7144429495409509,0.8324305271062594,0.6100798410504196,0.7932406982015394,0.7932406982015394,1.0,0.9999777040188723,0.9996129874254955,0.9988550044787391,0.9993638743875206,0.684575869514607,0.6348379113237362,0.7060924816523271,0.713399313305442,0.697764281862786,0.7067177087255258,0.6958379186577092,0.6602213491036456,0.7153016667159247,0.6836812477772649
Т3.13.3,0.7152061495565069,0.8349024877236858,0.6094261484307234,0.7905786676046276,0.7905786676046276,0.9999777040188723,1.0,0.9996034184915844,0.9989856100665258,0.9992542662949515,0.6853694795940856,0.6336180952107121,0.7078252590905109,0.715430429270909,0.6991871293344273,0.7085167004953259,0.6971780879416194,0.6596112427057321,0.7174489117441643,0.684237682956217
Т3.13.4,0.727053458049145,0.837501700946563,0.6202572197381169,0.8006397747206575,0.8006397747206575,0.9996129874254955,0.9996034184915844,1.0,0.9994213252130812,0.9998152646000418,0.699696381412475,0.6473749822268691,0.7194881879270731,0.7255232319842377,0.7119591573862092,0.7198744140064145,0.7101967154651413,0.6751285026113601,0.7267989564689985,0.6991828123311022
Т3.13.5,0.7384480841728535,0.8456037129729314,0.6129795883768785,0.7887095184468789,0.7887095184468789,0.9988550044787391,0.9989856100665258,0.9994213252130812,1.0,0.9989180780619689,0.7061757789046132,0.6531602090951263,0.7245535963741689,0.729459657938601,0.7180111904720945,0.7250030365013572,0.7163914291031085,0.6794113222512222,0.7304622436904145,0.7046976137959607
Т3.13.6,0.7281922774768373,0.829610905181813,0.6249115579548905,0.8070343480481551,0.8070343480481551,0.9993638743875206,0.9992542662949515,0.9998152646000418,0.9989180780619689,1.0,0.7012312732318067,0.6519232754740024,0.7189243442876156,0.7240502593653962,0.7122513436352252,0.7192009242308411,0.7106796557070776,0.6783854361750175,0.725010430940909,0.7008683412405289
4.2.1 (II группа здоровья),0.963909294296148,0.7913547046784818,0.7372948338282707,0.7588287586864304,0.7588287586864304,0.684575869514607,0.6853694795940856,0.699696381412475,0.7061757789046132,0.7012312732318067,1.0,0.9157527833390724,0.9751385613166323,0.9499763662032525,0.9905430194873265,0.9721267967428604,0.9930584658696986,0.9610595461150987,0.9386790585778236,0.9978107642479506
4.2.1 (IV группа здоровья),0.938709617771052,0.6558852569789841,0.6590909222175109,0.8032828035513343,0.8032828035513343,0.6348379113237362,0.6336180952107121,0.6473749822268691,0.6531602090951263,0.6519232754740024,0.9157527833390724,1.0,0.8137941267717541,0.7632780963795134,0.8564117965016557,0.8065514339348684,0.8657625356890638,0.9804051797052672,0.7433818985215963,0.9267144848117543
4.2.1 (V группа здоровья),0.9120572117640231,0.8434974497081209,0.7411576098633766,0.7162073319831378,0.7162073319831378,0.7060924816523271,0.7078252590905109,0.7194881879270731,0.7245535963741689,0.7189243442876156,0.9751385613166323,0.8137941267717541,1.0,0.9953071817918479,0.995963655046853,0.9998620074208348,0.9939889242937825,0.8884967508044278,0.99135221352974,0.9672091638946998
4.3.1,0.8772788995379391,0.8590289153956551,0.7350867074688893,0.6997893672877902,0.6997893672877902,0.713399313305442,0.715430429270909,0.7255232319842377,0.729459657938601,0.7240502593653962,0.9499763662032525,0.7632780963795134,0.9953071817918479,1.0,0.9826920257805574,0.9962643261911274,0.9788467115384665,0.8489003173228915,0.9993569197715728,0.9408884185603217
Т4.3.3,0.9381305592918027,0.8245579266142607,0.7412783757053232,0.7281177218458624,0.7281177218458624,0.697764281862786,0.6991871293344273,0.7119591573862092,0.7180111904720945,0.7122513436352252,0.9905430194873265,0.8564117965016557,0.995963655046853,0.9826920257805574,1.0,0.9948681754750693,0.9997969723211714,0.918728007931002,0.9758129888233754,0.983607773272687
Т4.5.2,0.9082589517834238,0.8451553326163427,0.7394170824440124,0.7099777592761118,0.7099777592761118,0.7067177087255258,0.7085167004953259,0.7198744140064145,0.7250030365013572,0.7192009242308411,0.9721267967428604,0.8065514339348684,0.9998620074208348,0.9962643261911274,0.9948681754750693,1.0,0.9926385150555164,0.8816216040064169,0.9928152743121049,0.9632815849512062
Т4.5.3,0.9430717480790934,0.8199383828823443,0.7410392971779818,0.7318486488702878,0.7318486488702878,0.6958379186577092,0.6971780879416194,0.7101967154651413,0.7163914291031085,0.7106796557070776,0.9930584658696986,0.8657625356890638,0.9939889242937825,0.9788467115384665,0.9997969723211714,0.9926385150555164,1.0,0.9254152927303336,0.9713006737699722,0.9866019127287519
Т4.6.1,0.953344904026558,0.720881480389243,0.7085067180428668,0.8284799854963284,0.8284799854963284,0.6602213491036456,0.6596112427057321,0.6751285026113601,0.6794113222512222,0.6783854361750175,0.9610595461150987,0.9804051797052672,0.8884967508044278,0.8489003173228915,0.918728007931002,0.8816216040064169,0.9254152927303336,1.0,0.8314604482628243,0.9738398256861612
Т4.6.2,0.8634132689954623,0.8629225825743635,0.730516895129115,0.6899486083775971,0.6899486083775971,0.7153016667159247,0.7174489117441643,0.7267989564689985,0.7304622436904145,0.725010430940909,0.9386790585778236,0.7433818985215963,0.99135221352974,0.9993569197715728,0.9758129888233754,0.9928152743121049,0.9713006737699722,0.8314604482628243,1.0,0.9286041308092157
Т4.7.2,0.9624789051158187,0.7867178464719626,0.7396268382498881,0.7822021329546223,0.7822021329546223,0.6836812477772649,0.684237682956217,0.6991828123311022,0.7046976137959607,0.7008683412405289,0.9978107642479506,0.9267144848117543,0.9672091638946998,0.9408884185603217,0.983607773272687,0.9632815849512062,0.9866019127287519,0.9738398256861612,0.9286041308092157,1.0
