ЦУР,2016,2017,2018,2019,2020,2021,2022,AgglomerativeClustering,KMeans
12.3.1 (млн. куб. м),703.0,764.0,758.0,693.0,659.0,561.0,561.0,0,3
Т 12.2.1 (кол-во музеев),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
Т 12.2.1 (визит-центров),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
Т 12.2.1 (экотроп и маршрутов),3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0
Т 12.2.6 (Виды экотроп и маршрутов  в государственных природных заповедниках -  пешие),3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0
Т 12.2.10 (Количество посетителей объектов),256.0,256.0,256.0,1240.0,560.0,2938.0,2938.0,1,4
13.1.1 пострадавшие,135.0,648.0,50.0,61.0,281.0,235.0,235.0,0,0
13.1.1 погибшие,77.0,12.0,21.0,20.0,15.0,30.0,30.0,3,2
Т 14.2 (тонн),20529.0,22126.0,23535.0,24396.0,24395.0,24537.0,24617.0,1,1
Т 14.3 (тонн),20385.0,19476.0,21655.0,14606.0,11429.0,10599.0,10599.0,0,3
Т 14.4 (тонн),14506.0,15703.0,17475.0,17451.0,20354.0,23891.0,21972.0,1,4
15.1.1 (%),2.4,2.4,2.4,2.4,2.4,2.4,2.4,0,0
15.1.2 (%),2.3,2.3,2.3,2.3,2.3,2.3,2.3,0,0
15.2.1 (%),37.7,37.7,37.7,102.9,256.4,578.0347,283.38,1,4
15.3.1 (га),0.0,380.26,91.31,3194.276,138.0392,157.044,201.0237,0,1
"15.7.1 (тыс, руб)",35561.4,38851.5,42346.0,45377.1,53892.4,54587.7,58702.7,1,4
15.9.1 (Ввод молодняков в категорию хозяйственно-ценных лесных насаждений),0.6,0.6,0.4,1.3,0.5,0.5,0.5,0,1
15.9.1 (Площадь лесовосстановления),1145.3,1200.0,1200.0,1861.0,1500.0,1600.0,1700.0,1,1
Т 15.2.1 ( Отношение площади лесовосстановления и лесоразведения к площади вырубленных и погибших лесных насаждений в %),37.7,37.7,37.7,102.9,256.4,578.0,578.0,1,4
Т 15.2.2 (Индекс физического объема природоохранных расходов),79.8,107.4,108.9,108.5,105.5,108.7,108.7,2,1
16.1.1 (чел),308.0,252.0,236.0,245.0,223.0,194.0,178.0,3,3
16.1.1 (%),7.3,6.0,5.6,5.8,5.3,4.6,4.3,3,3
16.7.1 (чел),6.6,6.6,6.6,6.7,6.8,7.8,8.1,1,4
Т 16.5 (Количество преступлений экономической направленности),2960.0,2265.0,2178.0,2064.0,1866.0,3396.0,3509.0,4,2
Т 16.6 (Доля потерпевших от преступных посягательств),2.6,2.9,2.9,3.1,3.0,3.0,3.0,2,1
"Т 16.7 (возрасте 15-72 лет,  использующего сеть Интернет для получения государственных )",42.2,48.7,60.1,59.3,60.9,72.2,76.3,1,4
"Т 16.7 (возрасте 15-72 лет, использующего многофункциональный центр (МФЦ))",35.7,34.8,30.7,28.5,25.3,24.2,22.3,3,3
"Т 16.7 (возрасте 15-72 лет, использовавших механизм получения государственных и муниципальных услуг в электронной форме)",56.6,66.1,78.4,80.4,86.3,90.9,93.9,1,4
17.8.1 (%),78.1,80.0,82.3,83.3,87.6,88.0,91.4,1,4
17.13.1 (руб),324802.1,341163.4,367627.9,389521.4,409240.7,483970.4,483970.4,1,4
"17.16.1 (Количество граждан, принимающих участие в добровольческой деятельности)",2150.0,2150.0,2150.0,2150.0,3014.0,6403.0,10703.0,1,4
"Т 17.2 (Доля населения, пользующегося информационно-телекоммуникационной сетью «Интернет»)",78.1,80.0,82.3,83.3,87.6,88.0,91.4,1,4
Т 17.3 (в возрасте 15-74) использовавшего сеть Интернет в %,82.7,85.0,88.3,89.4,90.9,91.1,94.5,1,4
"Т 17.4 (ВРП на душу населения, руб)",324802.1,341163.4,367627.9,389521.4,409240.7,483970.4,483970.4,1,4
Т 17.4 (Фактическое конечное потребление домашних хозяйств в единой валюте на душу населения),313200.7,328334.0,349235.6,361083.1,368512.4,427258.2,427258.2,1,4
Т 17.4 (Индекс физического объема валового регионального продукта на душу населения),103.3,102.7,102.5,102.1,97.8,106.8,106.8,4,2
2.1.1,0.6,0.4,0.4,0.3,0.1,0.1,0.0,3,3
2.5.2,98.3,98.3,98.3,98.75,99.2,94.8,96.2,0,0
2.a.1,115.8,107.6,91.4,105.8,97.1,108.4,110.11,4,2
2.b.1,3856159.0,2959757.2,4125960.0,2184380.0,2017583.371,2625833.643,3426166.359,3,2
Т2.2.1,0.6,0.4,0.4,0.3,0.1,0.1,0.0,3,3
Т2.2.2,98.3,98.3,98.3,98.75,99.2,94.8,96.2,0,0
Т2.2.3,115.8,107.6,91.4,105.8,97.1,108.4,110.11,4,2
Т2.3.1,72.0,72.0,73.0,74.0,72.0,74.0,74.0,2,1
Т2.3.2,257.0,254.0,256.0,257.0,258.0,262.0,262.0,1,4
Т2.3.3,316.0,339.0,341.0,338.0,332.0,333.0,333.0,2,1
Т2.3.4,71.0,72.0,65.0,65.0,63.0,63.0,63.0,3,3
Т2.3.5,132.0,138.0,139.0,139.0,140.0,140.0,140.0,2,1
Т2.3.6,65.0,65.0,66.0,68.0,66.0,68.0,68.0,2,4
Т2.4.1,436.9,474.1,404.9,450.3,463.0,500.0,500.0,1,4
Т2.4.2,85.8,88.8,87.0,60.5,59.3,73.5,73.5,3,3
Т2.4.3,97.2,98.7,98.9,99.1,98.9,98.3,98.3,2,1
Т2.4.4,141.2,135.0,121.6,116.2,115.9,94.1,94.1,0,3
Т2.5.1,110.9,116.1,122.6,120.5,120.6,117.4,117.4,2,1
Т2.5.2,188.3,182.0,188.7,189.2,182.1,189.2,189.2,4,2
Т2.5.3,4786.0,5418.0,5479.0,5230.0,5233.0,4699.0,4699.0,0,0
Т2.5.4,1214.9,1109.2,1126.4,1169.7,1142.8,856.3,856.3,0,3
Т2.5.5,1064.1,1161.0,1111.8,1043.9,1148.0,948.7,948.7,0,0
Т2.5.6,257.5,300.1,316.7,339.3,283.0,331.4,331.4,2,1
Т2.6.1,11.7,13.5,10.9,12.1,12.5,13.6,15.3,1,4
Т2.6.2,1.3,1.4,1.3,1.8,1.4,1.9,1.8,1,4
Т2.6.3,265.9,309.5,338.9,355.4,326.6,335.3,388.9,1,1
Т2.6.4,582.1,597.2,521.7,575.0,549.4,532.8,545.2,3,3
Т2.6.5,101.3,97.5,116.0,119.7,117.9,117.3,107.4,2,1
Т2.6.6,18.2,17.5,28.0,30.6,25.5,24.1,26.2,2,1
Т2.7.1,580.6,592.7,606.9,614.7,621.5,625.0,627.4,1,4
Т2.7.2,481.1,433.8,387.3,351.0,338.0,331.9,331.8,3,3
Т2.7.3,1220.5,1225.5,1181.8,1096.1,1029.7,982.7,936.6,3,3
Т2.7.4,21.4,21.8,15.0,13.7,13.2,14.4,17.0,3,3
Т2.8.1,367.5,378.5,379.6,263.0,254.3,315.5,393.6,3,2
Т2.8.2,1089.3,1091.1,1096.0,1096.2,1096.7,1098.6,1101.9,1,4
Т2.8.3,2021.8,2085.7,1857.0,1744.3,1698.9,1374.4,1673.6,3,3
3.1.1,8.2,4.6,7.3,13.3,2.7,27.9,12.3,4,4
3.2.1,7.8,7.7,6.5,5.7,6.5,7.8,6.3,4,2
3.2.2,1.88,1.49,1.46,2.15,1.78,2.59,1.66,4,2
3.3.1,36.8,49.5,39.9,45.0,28.0,22.2,29.0,0,3
3.3.2,39.9,40.5,35.0,30.9,25.3,25.1,28.3,3,3
3.3.3,1.0,0.0,7.0,1.0,1.0,5.0,2.0,2,1
3.3.4,2.15,2.08,1.4908,1.07,0.31,0.6,0.53,3,3
3.4.1a,10.7,11.6,10.9,11.5,11.4,10.8,10.8,0,0
3.4.1b,39.8,33.3,32.2,34.1,60.3,96.6,83.5,1,4
3.4.2,6.9,3.71,3.7,3.3,2.9,4.56,3.97,3,2
3.5.1,9.3,9.7,10.6,8.9,7.4,7.8,7.7,0,3
