ЦУР,1.5.1 Погибшие,1.а.2 Здравоохранение,Т.1.2.2 здравоохранение,Т.1.4.3,"10.7.1 (""Численность лиц, получивших временное убежище"")",11.5.1 погибшие,12.1.1 (%),13.1.1 погибшие,Т 16.5 (Количество преступлений экономической направленности),Т 17.4 (Индекс физического объема валового регионального продукта на душу населения),2.a.1,2.b.1,Т2.2.3,Т2.5.2,Т2.8.1,3.2.1,3.2.2,3.4.2,3.7.1 (возраст 25-29 лет),Т3.2.3,Т3.2.5,Т3.6.4,Т3.8.3,Т3.9.1,Т3.10.3,Т3.10.4,4.2.1 (I группа здоровья),4.4.1.b,8.1.1,Т 9.2.2 (железнодорожным),Т 9.3.3,Т 9.3.4,Т 9.3.10,Т 9.3.11,Т 9.3.16
2.a.1,0.8594178116799146,0.11965174067352896,0.11965174067352896,0.8437724421684981,0.9193801926386246,0.8594178116799146,0.7772728650829253,0.8594178116799146,0.8921187752152016,0.8586747340534818,1.0,0.6522698247404851,1.0,0.7634369794713516,0.7178732224252573,0.8354180532082583,0.803448924920531,0.8751188709844047,0.2890535372441399,0.29263477913826363,0.770756826168177,0.8309436571246205,0.8905684282298841,0.8859064510760072,0.8859064510760072,0.913403796491338,0.9452957534418513,0.35404684217822524,0.8529332221208484,0.8624477855923389,0.8017584191752266,0.8769246301556879,0.8691121692702579,0.903647662096253,0.7822418159205284
2.b.1,0.7968871237997571,0.2949406213408695,0.2949406213408695,0.7733304858426494,0.7833453233679938,0.7968871237997571,0.6363722633022274,0.7968871237997571,0.7540736514541023,0.7704657255658032,0.6522698247404851,1.0,0.6522698247404851,0.7730713243701911,0.9460046498272405,0.7266892124741738,0.46770439324404744,0.8186653025934565,0.16286130488233466,0.48638693390069104,0.6241646345247612,0.8695397682226595,0.8318276213954259,0.7751794463820707,0.7751794463820707,0.7291297048869124,0.4643952764690122,0.32541171412926345,0.7627711948792639,0.8480514728341153,0.7249530341321847,0.7935594443091256,0.7510089432208913,0.7483065462893074,0.7659997451278434
Т2.2.3,0.8594178116799146,0.11965174067352896,0.11965174067352896,0.8437724421684981,0.9193801926386246,0.8594178116799146,0.7772728650829253,0.8594178116799146,0.8921187752152016,0.8586747340534818,1.0,0.6522698247404851,1.0,0.7634369794713516,0.7178732224252573,0.8354180532082583,0.803448924920531,0.8751188709844047,0.2890535372441399,0.29263477913826363,0.770756826168177,0.8309436571246205,0.8905684282298841,0.8859064510760072,0.8859064510760072,0.913403796491338,0.9452957534418513,0.35404684217822524,0.8529332221208484,0.8624477855923389,0.8017584191752266,0.8769246301556879,0.8691121692702579,0.903647662096253,0.7822418159205284
Т2.5.2,0.7836082818736378,0.30919402013823016,0.30919402013823016,0.6788904859832192,0.8234729793627551,0.7836082818736378,0.8307946238004436,0.7836082818736378,0.8659595792811775,0.8973880452327804,0.7634369794713516,0.7730713243701911,0.7634369794713516,1.0,0.7031864836776772,0.6334445792940301,0.8232713864000155,0.7652922083467381,0.41617230774182246,0.3161325631971798,0.821881604467497,0.615355428144206,0.7846819432159446,0.6927738064908432,0.6927738064908432,0.6710443171860565,0.6927471508929356,0.3530082570782859,0.8857687061999974,0.7937420872110573,0.9572065217973058,0.7957343139080285,0.8859998379314248,0.6321501222897382,0.7389131364337349
Т2.8.1,0.7131084933716626,0.06384519841706238,0.06384519841706238,0.700273134858211,0.8405473319770413,0.7131084933716626,0.6513345118104453,0.7131084933716626,0.8066864521137672,0.8339975840837045,0.7178732224252573,0.9460046498272405,0.7178732224252573,0.7031864836776772,1.0,0.7682946521262395,0.4515757944946764,0.7639462169139017,0.0019779918079016303,0.5497072613045185,0.637264601604131,0.9289926755280611,0.7933139696640645,0.8664997272361847,0.8664997272361847,0.8288933652310422,0.5672250690610707,0.17772160576128215,0.7990846439895579,0.7967952941687583,0.7371591030150753,0.8400188078002129,0.7860117161909878,0.7755740138696311,0.8182414780833247
3.2.1,0.7899748024752483,0.24171289582696787,0.24171289582696787,0.7917902440343569,0.8771385602248848,0.7899748024752483,0.8531731365262204,0.7899748024752483,0.8134662039575066,0.7828947790104777,0.8354180532082583,0.7266892124741738,0.8354180532082583,0.6334445792940301,0.7682946521262395,1.0,0.7465426603927503,0.8600418337464218,0.0022416599397670667,0.02205809881604746,0.8545236149634529,0.8562025683507637,0.8403524864922252,0.9339899679856543,0.9339899679856543,0.9333345582541585,0.7508335083433488,0.07892275979655078,0.8480418110677699,0.7933285065633358,0.6552558741459074,0.782248098029475,0.7978092656681708,0.932176804631825,0.8591448332379238
3.2.2,0.6993070706980755,0.33597932293152943,0.33597932293152943,0.6186144243347883,0.782737399156629,0.6993070706980755,0.9199562301299581,0.6993070706980755,0.8094010146647989,0.7979408201055347,0.803448924920531,0.46770439324404744,0.803448924920531,0.8232713864000155,0.4515757944946764,0.7465426603927503,1.0,0.7015667766421775,0.3472479027017171,0.06880383138414543,0.9248634245636562,0.48697341087800244,0.6909361155115035,0.7022537723431508,0.7022537723431508,0.7191857430539886,0.8475697410827164,0.19676493523834412,0.8421436797642792,0.6492309168593239,0.8174869027789486,0.6675693138430977,0.8262827137053607,0.6794074059372281,0.7237703571815476
3.4.2,0.98460716717829,0.4647276486427107,0.4647276486427107,0.9544008644375086,0.8786527858553849,0.98460716717829,0.737912977942439,0.98460716717829,0.8258735796965234,0.770797966652697,0.8751188709844047,0.8186653025934565,0.8751188709844047,0.7652922083467381,0.7639462169139017,0.8600418337464218,0.7015667766421775,1.0,0.37195046195746406,0.2664976387436521,0.7320895465236719,0.8633404556821901,0.9935129237460505,0.8431014847220302,0.8431014847220302,0.8433402849875129,0.7055686948621527,0.5114925325543294,0.8129174159060404,0.9585379367130924,0.7019716553831021,0.8424940956958282,0.8175881182668394,0.9166541734159517,0.7705000813440952
3.7.1 (возраст 25-29 лет),0.4551516889843638,0.6341243835594012,0.6341243835594012,0.4466061832637969,0.10699905394062824,0.4551516889843638,0.1519241813331536,0.4551516889843638,0.13258620099759302,0.1329826877613893,0.2890535372441399,0.16286130488233466,0.2890535372441399,0.41617230774182246,0.0019779918079016303,0.0022416599397670667,0.3472479027017171,0.37195046195746406,1.0,0.39181179414085865,0.14790749718261434,0.09678145026820678,0.3554802389821581,0.047730514599869704,0.047730514599869704,0.01925213762429412,0.24841234986262664,0.8662440753097381,0.16530000524687663,0.44153029690944845,0.3213430680301078,0.31154719420322347,0.151130382165557,0.1197953425356746,0.07017980639126871
Т3.2.3,0.2893207505953803,0.0008818965354963546,0.0008818965354963546,0.2945472483135732,0.2868618476169131,0.2893207505953803,0.007945581808875122,0.2893207505953803,0.3006798177841701,0.3454400871065796,0.29263477913826363,0.48638693390069104,0.29263477913826363,0.3161325631971798,0.5497072613045185,0.02205809881604746,0.06880383138414543,0.2664976387436521,0.39181179414085865,1.0,0.02958402463696069,0.46409224595531634,0.3316895474944538,0.24240819985734688,0.24240819985734688,0.22698468972037167,0.20039986566922421,0.5438612140236395,0.21918427222126993,0.3908931346098923,0.3628523865724973,0.4585376766948219,0.27512672050632453,0.1829553557513892,0.18937034061794
