ЦУР,1.5.1 Пострадавшие,1.а.1,Т.1.2,Т.1.2,10.1.1 (в расчете на одно домохозяйство)                                                 ,10.1.2 (в расчете на одного члена домашнего хозяйства),11.5.1 пострадавшие,Т 12.2.1 (кол-во музеев),Т 12.2.1 (визит-центров),Т 12.2.1 (экотроп и маршрутов),Т 12.2.6 (Виды экотроп и маршрутов  в государственных природных заповедниках -  пешие),13.1.1 пострадавшие,15.1.1 (%),15.1.2 (%),2.5.2,Т2.2.2,Т2.5.3,Т2.5.5,3.4.1a,Т3.8.1,Т3.10.5 (в возрасте 10-14 лет),Т3.12.1,Т3.13.2,Т3.13.3,Т3.13.4,Т3.13.5,Т3.13.6,Т4.5.3,Т4.6.1,Т 9.3.9,9.а.1 (Обязательства в млн дол США)
Т 12.2.6 (Виды экотроп и маршрутов  в государственных природных заповедниках -  пешие),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.1.1 пострадавшие,1.0,0.8515791646908804,0.059734161996764186,0.8515791646908804,0.4770514203428489,0.41736585295377115,1.0,,,,,1.0,,0.0,0.019104645240558722,0.019104645240558722,0.1835023272392223,0.36299088348258857,0.488213472318298,0.488213472318298,0.5514941508670609,0.1477130003348149,0.11197549109814423,0.10849556011980693,0.12067495212403116,0.11401396314899388,0.1193183686802853,0.06030610535983556,0.20295159783443695,0.004138436770267191,0.6522181653787149
15.1.1 (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.1.2 (%),0.0,2.2079425200240586e-17,0.3838859479749573,2.2079425200240586e-17,7.785041774307051e-16,7.327098140524283e-16,0.0,,,,,0.0,,1.0,2.6168207644729585e-15,2.6168207644729585e-15,5.626164643616861e-16,9.5513957903263e-16,3.035512086788632e-15,3.035512086788632e-15,1.7009334969074232e-16,0.3838859479749568,0.3838859479749572,0.38388594797495723,0.3838859479749572,0.38388594797495723,0.38388594797495723,7.850462293418876e-16,0.38388594797495623,5.364482567169565e-16,1.2429898631246554e-16
2.5.2,0.019104645240558722,0.36418617882118354,0.29203370706203724,0.36418617882118354,0.42506055764670564,0.6595011731184298,0.019104645240558722,,,,,0.019104645240558722,,2.6168207644729585e-15,1.0,1.0,0.7185911531778384,0.8419107368800578,0.5844707930550308,0.5844707930550308,0.5350321546439153,0.09041642991188778,0.4183157902942196,0.4112606428296478,0.40772118448680583,0.38058423951002396,0.42783184957925485,0.7808790322328019,0.05350811897000194,0.7788762768032751,0.22558994449804892
Т2.2.2,0.019104645240558722,0.36418617882118354,0.29203370706203724,0.36418617882118354,0.42506055764670564,0.6595011731184298,0.019104645240558722,,,,,0.019104645240558722,,2.6168207644729585e-15,1.0,1.0,0.7185911531778384,0.8419107368800578,0.5844707930550308,0.5844707930550308,0.5350321546439153,0.09041642991188778,0.4183157902942196,0.4112606428296478,0.40772118448680583,0.38058423951002396,0.42783184957925485,0.7808790322328019,0.05350811897000194,0.7788762768032751,0.22558994449804892
Т2.5.3,0.1835023272392223,0.3698836658891211,0.322871765616207,0.3698836658891211,0.0004859825479763031,0.279157937229085,0.1835023272392223,,,,,0.1835023272392223,,5.626164643616861e-16,0.7185911531778384,0.7185911531778384,1.0,0.8383086261216767,0.6916215857375572,0.6916215857375572,0.18661913769014637,0.10937847648857103,0.2172393272458163,0.20981386079688774,0.22857956089289472,0.21978551360584142,0.24937587235308087,0.8634718613712593,0.10256838656002999,0.4363315742077799,0.7447005010209562
Т2.5.5,0.36299088348258857,0.5905036318310487,0.3633635769741131,0.5905036318310487,0.44991307347506015,0.7196883609151161,0.36299088348258857,,,,,0.36299088348258857,,9.5513957903263e-16,0.8419107368800578,0.8419107368800578,0.8383086261216767,1.0,0.6246927889229583,0.6246927889229583,0.6805935912194101,0.12085672451510539,0.44479078419064844,0.43737900439349664,0.44001593933629735,0.4262854652770853,0.45485468868778384,0.7548766044940652,0.10627022027790588,0.7678030799768557,0.5828470419860122
3.4.1a,0.488213472318298,0.4979585031634313,0.42592177506431345,0.4979585031634313,0.44512097141256,0.4788389740039712,0.488213472318298,,,,,0.488213472318298,,3.035512086788632e-15,0.5844707930550308,0.5844707930550308,0.6916215857375572,0.6246927889229583,1.0,1.0,0.325669473639464,0.14823562612105612,0.3038796282255803,0.29730737432631693,0.3221471152935872,0.29269265545172124,0.33793459705075685,0.7245012685068365,0.2736689434636351,0.3027086729434561,0.566621488562377
Т3.8.1,0.488213472318298,0.4979585031634313,0.42592177506431345,0.4979585031634313,0.44512097141256,0.4788389740039712,0.488213472318298,,,,,0.488213472318298,,3.035512086788632e-15,0.5844707930550308,0.5844707930550308,0.6916215857375572,0.6246927889229583,1.0,1.0,0.325669473639464,0.14823562612105612,0.3038796282255803,0.29730737432631693,0.3221471152935872,0.29269265545172124,0.33793459705075685,0.7245012685068365,0.2736689434636351,0.3027086729434561,0.566621488562377
Т3.10.5 (в возрасте 10-14 лет),0.5514941508670609,0.6817754290943532,0.20224244932814991,0.6817754290943532,0.8576343804686152,0.9331245857747573,0.5514941508670609,,,,,0.5514941508670609,,1.7009334969074232e-16,0.5350321546439153,0.5350321546439153,0.18661913769014637,0.6805935912194101,0.325669473639464,0.325669473639464,1.0,0.33896521015565917,0.4673978278068942,0.46320963781568236,0.44700990152982834,0.42868771500540026,0.4467918115226873,0.19262361497031574,0.05206147483940658,0.7162924333577496,0.14721790865583123
Т3.12.1,0.1477130003348149,0.0019035828347542532,0.8408112354109594,0.0019035828347542532,0.5878566202559927,0.5065173074878512,0.1477130003348149,,,,,0.1477130003348149,,0.3838859479749568,0.09041642991188778,0.09041642991188778,0.10937847648857103,0.12085672451510539,0.14823562612105612,0.14823562612105612,0.33896521015565917,1.0,0.9269957386205837,0.9297862866452976,0.9295427858137162,0.9329870033828401,0.921498142688658,0.1405008433953442,0.8775403450135816,0.4646047031509629,0.2383652088614046
Т3.13.2,0.11197549109814423,0.10304498190754656,0.9035841100259134,0.10304498190754656,0.6016922195618454,0.6494236076162861,0.11197549109814423,,,,,0.11197549109814423,,0.3838859479749572,0.4183157902942196,0.4183157902942196,0.2172393272458163,0.44479078419064844,0.3038796282255803,0.3038796282255803,0.4673978278068942,0.9269957386205837,1.0,0.9999551733432063,0.9992219010344171,0.9976979563730437,0.9987210527159621,0.4347180518831791,0.8106763480237471,0.6994993205798145,0.06987393596157337
Т3.13.3,0.10849556011980693,0.09676043649728618,0.9036883699300623,0.09676043649728618,0.5999117557114908,0.6456972940918454,0.10849556011980693,,,,,0.10849556011980693,,0.38388594797495723,0.4112606428296478,0.4112606428296478,0.20981386079688774,0.43737900439349664,0.29730737432631693,0.29730737432631693,0.46320963781568236,0.9297862866452976,0.9999551733432063,1.0,0.9992026624409749,0.9979605423442779,0.9985006827614286,0.4291773665369018,0.8131890148150915,0.6965569727118077,0.07625985807432852
Т3.13.4,0.12067495212403116,0.09928687712912024,0.9159201431981445,0.09928687712912024,0.5910491442347531,0.6352726751095605,0.12067495212403116,,,,,0.12067495212403116,,0.3838859479749572,0.40772118448680583,0.40772118448680583,0.22857956089289472,0.44001593933629735,0.3221471152935872,0.3221471152935872,0.44700990152982834,0.9295427858137162,0.9992219010344171,0.9992026624409749,1.0,0.9988365591126155,0.9996285846169256,0.4452630053999859,0.8296561306681165,0.6841880477163177,0.052453908621983444
Т3.13.5,0.11401396314899388,0.08247643413458135,0.9167255185802298,0.08247643413458135,0.567961882000448,0.6146137553114707,0.11401396314899388,,,,,0.11401396314899388,,0.38388594797495723,0.38058423951002396,0.38058423951002396,0.21978551360584142,0.4262854652770853,0.29269265545172124,0.29269265545172124,0.42868771500540026,0.9329870033828401,0.9976979563730437,0.9979605423442779,0.9988365591126155,1.0,0.997824767471958,0.43046242853216127,0.8422834803269522,0.6754049733354023,0.05179157346931959
Т3.13.6,0.1193183686802853,0.10842692173764822,0.9155091811868167,0.10842692173764822,0.5875729908279785,0.6372093166010441,0.1193183686802853,,,,,0.1193183686802853,,0.38388594797495723,0.42783184957925485,0.42783184957925485,0.24937587235308087,0.45485468868778384,0.33793459705075685,0.33793459705075685,0.4467918115226873,0.921498142688658,0.9987210527159621,0.9985006827614286,0.9996285846169256,0.997824767471958,1.0,0.4622121624062959,0.8234910980036224,0.6894046374693118,0.039354495706882424
Т4.5.3,0.06030610535983556,0.06061202203850393,0.5727121717783432,0.06061202203850393,0.20964692986059066,0.4259374113888481,0.06030610535983556,,,,,0.06030610535983556,,7.850462293418876e-16,0.7808790322328019,0.7808790322328019,0.8634718613712593,0.7548766044940652,0.7245012685068365,0.7245012685068365,0.19262361497031574,0.1405008433953442,0.4347180518831791,0.4291773665369018,0.4452630053999859,0.43046242853216127,0.4622121624062959,1.0,0.2722143170941399,0.6252664908468601,0.36918956659785546
Т4.6.1,0.20295159783443695,0.0708565295497987,0.908518596553376,0.0708565295497987,0.2990364537348637,0.2413786801744025,0.20295159783443695,,,,,0.20295159783443695,,0.38388594797495623,0.05350811897000194,0.05350811897000194,0.10256838656002999,0.10627022027790588,0.2736689434636351,0.2736689434636351,0.05206147483940658,0.8775403450135816,0.8106763480237471,0.8131890148150915,0.8296561306681165,0.8422834803269522,0.8234910980036224,0.2722143170941399,1.0,0.2471878847111381,0.060485987754479366
Т 9.3.9,0.004138436770267191,0.20377390518367428,0.5158919044643663,0.20377390518367428,0.6600485770488489,0.8557041558248479,0.004138436770267191,,,,,0.004138436770267191,,5.364482567169565e-16,0.7788762768032751,0.7788762768032751,0.4363315742077799,0.7678030799768557,0.3027086729434561,0.3027086729434561,0.7162924333577496,0.4646047031509629,0.6994993205798145,0.6965569727118077,0.6841880477163177,0.6754049733354023,0.6894046374693118,0.6252664908468601,0.2471878847111381,1.0,0.03428106915284448
9.а.1 (Обязательства в млн дол США),0.6522181653787149,0.6646598978369237,0.0381502542834616,0.6646598978369237,0.10543203483897777,0.05710476057900681,0.6522181653787149,,,,,0.6522181653787149,,1.2429898631246554e-16,0.22558994449804892,0.22558994449804892,0.7447005010209562,0.5828470419860122,0.566621488562377,0.566621488562377,0.14721790865583123,0.2383652088614046,0.06987393596157337,0.07625985807432852,0.052453908621983444,0.05179157346931959,0.039354495706882424,0.36918956659785546,0.060485987754479366,0.03428106915284448,1.0
