ЦУР,1.а.2 Социальная политика,Т.1.2.1 образование,Т.1.2.3 социальная политика,Т.1.3.1,10.2.1 (децильный коэффициент),10.2.2 ( коэффициент фондов),10.2.3 (Индекс концентрации доходов (коэффициент Джини)),"10.3.1 (Численность отдельных категорий специалистов, имеющих право на меры социальной поддержки, человек)",11.3.1,Т 11.2.5 (Соотношение темпа ввода в действие жилых домов к темпу роста населения),Т 14.2 (тонн),15.3.1 (га),15.9.1 (Ввод молодняков в категорию хозяйственно-ценных лесных насаждений),15.9.1 (Площадь лесовосстановления),Т 15.2.2 (Индекс физического объема природоохранных расходов),Т 16.6 (Доля потерпевших от преступных посягательств),Т2.3.1,Т2.3.3,Т2.3.5,Т2.4.3,Т2.5.1,Т2.5.6,Т2.6.3,Т2.6.5,Т2.6.6,3.3.3,Т3.2.1,Т3.6.3,Т3.6.7,Т3.6.9,4.3.1,Т 8.10.1,Т 9.2.1 (железнодорожным),Т 9.3.5,Т 9.3.8,Т 9.3.14,Т 9.6 (ВДС обрабатывающих производств в пересчете на душу населения),9.а.2 (Изьято в млн дол США),9.а.3 (Поступило в млн дол США)
Т 14.2 (тонн),0.7813634434058406,0.351228339299303,0.7813634434058406,0.6990504154667915,0.17287699670810622,0.2307105305975082,0.20523250517959107,0.8117918866221338,0.6383208238991638,0.6383208238991638,1.0,0.33708902276033403,0.19215450220311764,0.8316792953080273,0.8367313632870821,0.9062465058220178,0.7412314687205401,0.6683352034816382,0.9103927436207235,0.7262746695056492,0.783218732982904,0.799563842954338,0.8920840281588668,0.7935466323201473,0.8143589617529576,0.46120474032329817,0.11590474169512942,0.46120474032329817,0.15206081713339284,0.23514775917569225,0.9841265976538673,0.7634718198555168,0.7065141988923257,0.7689313115750586,0.6063545351962641,0.6237635931909554,0.8819522901210206,0.8271996694173691,0.8910502615031811
15.3.1 (га),0.04881981191863796,0.702480189465508,0.04881981191863796,0.19738405624616667,0.4579295547083586,0.5427662050543237,0.5330489702181078,0.2510719634395115,0.9012685521503713,0.9012685521503713,0.33708902276033403,1.0,0.9780096235970197,0.6394709742674071,0.2573553566454455,0.45761892477871746,0.4013441281355706,0.3101318866894606,0.18853133519389098,0.4212954570121388,0.30101565192506885,0.43678568169380916,0.3532729149961884,0.36736014282828394,0.4826092583570145,0.1375115826565298,0.6010516982299582,0.1375115826565298,0.7571832330921784,0.9469505721774515,0.43227298145687265,0.6620473885658538,0.3200286410191134,0.225970669101827,0.7756349969530689,0.7539058001345195,0.11931198314335988,0.4145726158973488,0.22796487586114006
15.9.1 (Ввод молодняков в категорию хозяйственно-ценных лесных насаждений),0.1967743377614466,0.5880113860560182,0.1967743377614466,0.07081257736324531,0.35809425760091507,0.44297334337036276,0.43986400344694254,0.11103287107430763,0.8090948780116287,0.8090948780116287,0.19215450220311764,0.9780096235970197,1.0,0.5786512370455679,0.11367797318484998,0.33953730569824025,0.31879641874163833,0.16925755799741965,0.04900596665924391,0.29092948764100124,0.14696847520547246,0.3176323872797137,0.21239400969373015,0.2622371863995734,0.3579318777692627,0.24646600489905846,0.5523339208985056,0.24646600489905846,0.7749327475522295,0.915311166548919,0.3106596406133749,0.6158062774241694,0.16280627800462827,0.09650410707466153,0.643831162943588,0.7486508752204041,0.03146669789464896,0.32522978570178057,0.08761448807012681
15.9.1 (Площадь лесовосстановления),0.4186775334584181,0.2727488622955458,0.4186775334584181,0.5005155183201051,0.01175306631972163,0.10132587411687652,0.07863753598028615,0.5606086115849334,0.7505282749380793,0.7505282749380793,0.8316792953080273,0.6394709742674071,0.5786512370455679,1.0,0.6045342011844921,0.8196515446021214,0.8035853419816608,0.42975843788027,0.6689127468516477,0.528596611961098,0.508491976705471,0.7566317735569726,0.793606846558897,0.6745498251661588,0.7445504072162382,0.16060738700807894,0.2832475077015184,0.16060738700807894,0.4512787498827785,0.5162410800349626,0.9037801133873546,0.9112913202025217,0.45655665662861444,0.5339539493052718,0.6223020749110955,0.9098675601316909,0.6324120331032853,0.8372646574561492,0.6950133002238654
Т 15.2.2 (Индекс физического объема природоохранных расходов),0.9243561742960338,0.3769116298928618,0.9243561742960338,0.8727737321135635,0.363974245554291,0.3710866519468289,0.34765459407506993,0.9914320562050457,0.5629358123088176,0.5629358123088176,0.8367313632870821,0.2573553566454455,0.11367797318484998,0.6045342011844921,1.0,0.9359132607808056,0.6925028282720848,0.9498231090741581,0.9729182298063148,0.9098564795831542,0.871631601159399,0.8798434783995224,0.8102940336381856,0.6696542168403351,0.731817630614349,0.5569716128165376,0.2294546436820097,0.5569716128165376,0.09026151664849824,0.24917659449370766,0.7819553072199594,0.48557475613804973,0.9148179928714824,0.985753263449979,0.5714954385317004,0.37770098108411004,0.9062970521691428,0.8751867007959151,0.7911249684364174
Т 16.6 (Доля потерпевших от преступных посягательств),0.8033612173499317,0.3947119596837052,0.8033612173499317,0.7744053261853352,0.2500665039211107,0.3024489916474539,0.2820485953044007,0.9279497295339814,0.7042724139598302,0.7042724139598302,0.9062465058220178,0.45761892477871746,0.33953730569824025,0.8196515446021214,0.9359132607808056,1.0,0.7604788137487516,0.8386121307970245,0.9496064285108139,0.8903370088282869,0.8421212610793528,0.8822269837342653,0.8315654356239847,0.7794450910332673,0.8232970869837329,0.41872504008467143,0.20192278175326261,0.41872504008467143,0.15910854728660034,0.36929045692751766,0.9094616677105385,0.7491625861780582,0.8152709372850669,0.9080443113664922,0.6079592191709499,0.6709049351737779,0.8526792501736882,0.9255874413760754,0.8276854714789692
Т2.3.1,0.5472977307484155,0.23949658000626756,0.5472977307484155,0.808581825905121,0.20974958376126723,0.23954354713159037,0.20919662453214738,0.611177058903639,0.498194507387361,0.498194507387361,0.7412314687205401,0.4013441281355706,0.31879641874163833,0.8035853419816608,0.6925028282720848,0.7604788137487516,1.0,0.5804713540059826,0.6962064702935494,0.5118530787113599,0.5758300184725693,0.9353105452248591,0.7999284115485727,0.6930328642138405,0.7932461388203111,0.6109839074288572,0.39691335094280533,0.6109839074288572,0.17183775388601094,0.44557479945525286,0.7423752555041104,0.6336014638761734,0.6713279700894149,0.5883041598543278,0.6419764507228864,0.6130676118747029,0.832523893925719,0.88289337509756,0.8027322544430536
Т2.3.3,0.861864491017143,0.5349107468651253,0.861864491017143,0.8418161711081409,0.5499323649615439,0.5411419419737371,0.5208260465907075,0.954986993574866,0.5566107605693474,0.5566107605693474,0.6683352034816382,0.3101318866894606,0.16925755799741965,0.42975843788027,0.9498231090741581,0.8386121307970245,0.5804713540059826,1.0,0.8645305633582335,0.9402529798380561,0.8808755415981663,0.8156068248621551,0.6825068797471491,0.5931465315330293,0.6856932830302739,0.5647784686913827,0.3556866750009567,0.5647784686913827,0.04419951307446294,0.353944526588611,0.6005967259161362,0.34146867733765945,0.9636457307040367,0.9511037708813355,0.6072866016405929,0.2538489515141167,0.8018710444670538,0.7500367685886955,0.6852219289812301
Т2.3.5,0.9388505557447484,0.28721043910629057,0.9388505557447484,0.8182465150971379,0.219437181999283,0.2423620428705176,0.2211288649326985,0.9664401747449097,0.5124904926205655,0.5124904926205655,0.9103927436207235,0.18853133519389098,0.04900596665924391,0.6689127468516477,0.9729182298063148,0.9496064285108139,0.6962064702935494,0.8645305633582335,1.0,0.8701973107874506,0.8690741610335455,0.8392254186057837,0.8303827635758848,0.7409547399096054,0.7617671953972778,0.5524062588942048,0.08348907812848447,0.5524062588942048,0.06817632849437637,0.12721146081437115,0.8663672852524434,0.5811890926580994,0.8436380777442399,0.9495865113472595,0.481653716910186,0.4485825010281925,0.9280266223118506,0.8690559984989744,0.8555578288530834
Т2.4.3,0.8232846917326745,0.6102093161706943,0.8232846917326745,0.7050533226300774,0.4731080638254027,0.5048580502376094,0.49236302651802216,0.9419680993382998,0.645500382943294,0.645500382943294,0.7262746695056492,0.4212954570121388,0.29092948764100124,0.528596611961098,0.9098564795831542,0.8903370088282869,0.5118530787113599,0.9402529798380561,0.8701973107874506,1.0,0.9397119562963737,0.7319957900554325,0.6512564743922659,0.7209526511704409,0.7689606704937804,0.4495944493442264,0.23604617212478896,0.4495944493442264,0.17432577766673146,0.3657722775703622,0.6968661750150997,0.5472244564673837,0.905300724497619,0.9168161903545976,0.5706524816572289,0.4497178821470111,0.7388473146868916,0.7072923508475858,0.7274399415679992
